ID,Size,Predicted %,Actual value
0,115,9.37207122774133E-4,NO
1,329,9.37207122774133E-4,NO
2,35,4.690431519699812E-4,NO
3,390,9.37207122774133E-4,NO
4,84,9.37207122774133E-4,NO
5,70,4.690431519699812E-4,NO
6,92,9.37207122774133E-4,NO
7,89,4.690431519699812E-4,NO
8,63,3.127932436659368E-4,NO
9,51,9.37207122774133E-4,NO
10,147,9.37207122774133E-4,NO
11,179,9.37207122774133E-4,NO
12,282,0.9990627928772258,NO
13,295,9.37207122774133E-4,NO
14,106,9.37207122774133E-4,NO
15,47,9.37207122774133E-4,NO
16,45,9.37207122774133E-4,NO
17,90,9.37207122774133E-4,NO
18,691,0.9990627928772258,YES
19,62,4.690431519699812E-4,NO
20,35,4.690431519699812E-4,NO
21,172,9.37207122774133E-4,NO
22,94,9.37207122774133E-4,YES
23,27,1.8772292096865025E-4,NO
24,191,9.37207122774133E-4,NO
25,66,4.690431519699812E-4,NO
26,82,9.37207122774133E-4,NO
27,43,9.37207122774133E-4,NO
28,189,9.37207122774133E-4,YES
29,101,9.37207122774133E-4,NO
30,87,9.37207122774133E-4,NO
31,495,9.37207122774133E-4,YES
32,153,9.37207122774133E-4,YES
33,44,4.690431519699812E-4,NO
34,308,9.37207122774133E-4,YES
35,50,9.37207122774133E-4,NO
36,437,9.37207122774133E-4,NO
37,74,2.3463162834350067E-4,NO
38,62,4.690431519699812E-4,NO
39,65,4.690431519699812E-4,NO
40,48,3.127932436659368E-4,NO
41,46,9.37207122774133E-4,NO
42,577,9.37207122774133E-4,YES
43,90,9.37207122774133E-4,NO
44,109,9.37207122774133E-4,NO
45,92,9.37207122774133E-4,NO
46,226,9.37207122774133E-4,NO
47,56,9.37207122774133E-4,NO
48,74,2.3463162834350067E-4,NO
49,31,4.690431519699812E-4,NO
50,28,4.690431519699812E-4,NO
51,4088,9.37207122774133E-4,NO
52,47,9.37207122774133E-4,NO
53,221,9.37207122774133E-4,NO
54,377,9.37207122774133E-4,NO
55,1248,9.37207122774133E-4,YES
56,125,9.37207122774133E-4,NO
57,183,9.37207122774133E-4,NO
58,58,4.690431519699812E-4,NO
59,792,9.37207122774133E-4,YES
60,42,4.690431519699812E-4,NO
61,45,9.37207122774133E-4,NO
62,648,9.37207122774133E-4,YES
63,84,9.37207122774133E-4,NO
64,143,9.37207122774133E-4,NO
65,106,9.37207122774133E-4,NO
66,62,4.690431519699812E-4,NO
67,148,0.9990627928772258,NO
68,111,9.37207122774133E-4,NO
69,129,9.37207122774133E-4,NO
70,24,9.37207122774133E-4,NO
71,422,9.37207122774133E-4,YES
72,131,9.37207122774133E-4,NO
73,189,9.37207122774133E-4,NO
74,38,9.37207122774133E-4,NO
75,69,4.690431519699812E-4,NO
76,804,9.37207122774133E-4,NO
77,109,9.37207122774133E-4,NO
78,85,9.37207122774133E-4,NO
79,160,9.37207122774133E-4,NO
80,156,9.37207122774133E-4,NO
81,90,9.37207122774133E-4,NO
82,88,9.37207122774133E-4,YES
83,359,0.9990627928772258,YES
84,155,0.9990627928772258,NO
85,273,9.37207122774133E-4,YES
86,86,9.37207122774133E-4,NO
87,466,0.9990627928772258,YES
88,134,9.37207122774133E-4,NO
89,27,1.8772292096865025E-4,NO
90,111,9.37207122774133E-4,NO
91,39,9.37207122774133E-4,NO
92,159,9.37207122774133E-4,NO
93,64,9.37207122774133E-4,NO
94,37,3.127932436659368E-4,NO
95,162,9.37207122774133E-4,NO
96,76,4.690431519699812E-4,NO
97,43,9.37207122774133E-4,NO
98,666,9.37207122774133E-4,NO
99,74,2.3463162834350067E-4,NO
100,48,3.127932436659368E-4,NO
101,262,9.37207122774133E-4,NO
102,979,9.37207122774133E-4,YES
103,45,9.37207122774133E-4,NO
104,582,9.37207122774133E-4,YES
105,358,9.37207122774133E-4,NO
106,136,9.37207122774133E-4,NO
107,89,4.690431519699812E-4,NO
