ID,Size,Predicted %,Actual value
0,68,0.9999132697311361,YES
1,115,1.734304543877905E-4,NO
2,329,1.734304543877905E-4,NO
3,35,3.4674063800277393E-4,NO
4,77,0.9998843663274746,NO
5,63,0.2857355273592387,NO
6,51,1.1563367252543941E-4,NO
7,179,1.1563367252543941E-4,NO
8,282,1.734304543877905E-4,NO
9,53,1.1563367252543941E-4,NO
10,106,0.9996532593619971,NO
11,81,0.9998843663274746,NO
12,47,3.4674063800277393E-4,NO
13,45,0.9998843663274746,NO
14,90,8.673026886383348E-5,NO
15,860,0.9999132697311361,YES
16,62,6.938662225922843E-5,NO
17,35,3.4674063800277393E-4,NO
18,172,1.734304543877905E-4,NO
19,97,0.9998265695456122,NO
20,27,1.1563367252543941E-4,NO
21,191,1.734304543877905E-4,NO
22,43,3.4674063800277393E-4,NO
23,45,3.4674063800277393E-4,NO
24,63,1.734304543877905E-4,NO
25,530,1.734304543877905E-4,NO
26,308,1.734304543877905E-4,YES
27,50,1.1563367252543941E-4,NO
28,437,1.734304543877905E-4,NO
29,74,1.734304543877905E-4,NO
30,62,6.938662225922843E-5,NO
31,48,8.673026886383348E-5,NO
32,109,1.734304543877905E-4,YES
33,226,1.734304543877905E-4,NO
34,356,1.734304543877905E-4,NO
35,28,1.1563367252543941E-4,NO
36,4088,1.734304543877905E-4,NO
37,47,3.4674063800277393E-4,NO
38,1248,1.734304543877905E-4,YES
39,128,1.1563367252543941E-4,NO
40,877,3.4674063800277393E-4,YES
41,83,0.9998843663274746,NO
42,849,1.734304543877905E-4,YES
43,143,0.33337187789084183,NO
44,43,3.4674063800277393E-4,NO
45,49,3.4674063800277393E-4,NO
46,24,1.1563367252543941E-4,NO
47,131,3.4674063800277393E-4,NO
48,199,1.734304543877905E-4,NO
49,38,0.4000138773244518,NO
50,69,0.9998265695456122,NO
51,804,1.734304543877905E-4,NO
52,85,1.734304543877905E-4,NO
53,156,3.4674063800277393E-4,NO
54,90,8.673026886383348E-5,NO
55,88,8.673026886383348E-5,YES
56,86,1.734304543877905E-4,NO
57,476,3.4674063800277393E-4,YES
58,134,3.4674063800277393E-4,NO
59,27,1.1563367252543941E-4,NO
60,39,6.938662225922843E-5,NO
61,37,3.855050115651503E-5,NO
62,162,3.4674063800277393E-4,NO
63,76,6.938662225922843E-5,NO
64,666,1.734304543877905E-4,NO
65,189,1.1563367252543941E-4,NO
66,263,1.734304543877905E-4,YES
67,1059,1.1563367252543941E-4,YES
68,45,0.9998843663274746,NO
69,839,3.4674063800277393E-4,NO
70,358,1.734304543877905E-4,NO
71,136,5.782352260899734E-5,YES
72,106,0.9996532593619971,NO
73,237,1.734304543877905E-4,NO
74,565,1.734304543877905E-4,YES
75,77,3.4674063800277393E-4,NO
76,69,0.9998265695456122,NO
77,34,3.4674063800277393E-4,NO
78,25,5.782352260899734E-5,NO
79,73,1.1563367252543941E-4,NO
80,624,1.734304543877905E-4,NO
81,108,0.33337187789084183,NO
82,49,1.734304543877905E-4,NO
83,213,1.734304543877905E-4,NO
84,47,3.4674063800277393E-4,NO
85,34,3.4674063800277393E-4,NO
86,117,1.734304543877905E-4,NO
87,63,1.734304543877905E-4,NO
88,70,0.3333526078408697,NO
89,517,1.734304543877905E-4,YES
90,94,0.33337187789084183,NO
91,244,1.734304543877905E-4,NO
92,27,1.1563367252543941E-4,NO
93,47,3.4674063800277393E-4,NO
94,50,1.1563367252543941E-4,NO
95,424,0.9998265695456122,YES
96,314,8.673026886383348E-5,YES
97,90,0.9999504361617764,YES
98,175,1.1563367252543941E-4,NO
99,50,8.673026886383348E-5,NO
100,157,3.4674063800277393E-4,NO
101,248,1.734304543877905E-4,NO
102,371,1.734304543877905E-4,NO
103,491,1.734304543877905E-4,NO
104,180,1.1563367252543941E-4,NO
105,27,1.1563367252543941E-4,NO
106,64,8.673026886383348E-5,NO
107,72,0.9998843663274746,NO
108,74,1.734304543877905E-4,NO
109,32,5.782352260899734E-5,NO
110,138,5.782352260899734E-5,NO
111,148,0.9998265695456122,YES
112,74,1.734304543877905E-4,YES
113,86,3.4674063800277393E-4,NO
114,148,5.782352260899734E-5,NO
115,125,1.1563367252543941E-4,NO
116,105,0.9996532593619971,NO
117,271,3.4674063800277393E-4,YES
118,68,0.9998265695456122,NO
119,358,1.734304543877905E-4,NO
120,83,1.1563367252543941E-4,NO
121,51,1.1563367252543941E-4,NO
122,29,6.938662225922843E-5,NO
123,37,3.855050115651503E-5,NO
124,204,1.1563367252543941E-4,NO
125,98,0.9996532593619971,NO
126,135,3.4674063800277393E-4,NO
127,92,0.33337187789084183,NO
128,117,1.734304543877905E-4,NO
129,117,1.734304543877905E-4,NO
130,74,1.734304543877905E-4,NO
131,74,1.734304543877905E-4,NO
132,108,0.33337187789084183,YES
133,224,0.9998843663274746,NO
134,49,1.734304543877905E-4,NO
135,123,1.1563367252543941E-4,NO
136,100,1.734304543877905E-4,NO
137,53,8.673026886383348E-5,NO
138,266,1.734304543877905E-4,YES
139,72,3.4674063800277393E-4,NO
140,27,1.1563367252543941E-4,NO
141,98,0.9996532593619971,NO
142,36,3.469571854833114E-5,NO
143,979,1.734304543877905E-4,NO
144,535,1.734304543877905E-4,NO
145,202,1.734304543877905E-4,NO
146,310,3.4674063800277393E-4,YES
147,79,0.9998843663274746,NO
148,67,8.673026886383348E-5,NO
149,264,1.734304543877905E-4,NO
150,44,0.7499566348655681,NO
151,319,1.734304543877905E-4,NO
152,41,6.938662225922843E-5,NO
153,163,3.4674063800277393E-4,NO
154,70,0.3333526078408697,NO
155,55,0.9998265695456122,NO
156,129,1.1563367252543941E-4,NO
157,78,0.9998843663274746,YES
158,56,1.1563367252543941E-4,NO
159,107,0.9996532593619971,NO
160,55,1.734304543877905E-4,NO
161,69,0.9999132697311361,NO
162,32,5.782352260899734E-5,NO
163,327,1.734304543877905E-4,YES
164,50,3.4674063800277393E-4,NO
165,343,1.734304543877905E-4,NO
166,72,3.4674063800277393E-4,NO
167,343,1.734304543877905E-4,YES
168,867,1.734304543877905E-4,NO
169,183,1.734304543877905E-4,NO
170,223,1.734304543877905E-4,NO
171,45,3.4674063800277393E-4,NO
172,194,3.4674063800277393E-4,NO
173,165,1.734304543877905E-4,NO
174,183,1.734304543877905E-4,NO
175,171,1.734304543877905E-4,NO
176,257,1.734304543877905E-4,NO
177,63,0.2857355273592387,NO
178,40,3.469571854833114E-5,NO
179,164,1.734304543877905E-4,NO
180,57,1.1563367252543941E-4,NO
181,380,1.734304543877905E-4,NO
182,71,8.673026886383348E-5,NO
183,261,1.734304543877905E-4,NO
184,179,1.1563367252543941E-4,NO
185,2009,1.734304543877905E-4,NO
186,100,1.734304543877905E-4,NO
187,141,3.4674063800277393E-4,NO
188,54,1.734304543877905E-4,NO
189,184,1.734304543877905E-4,NO
190,474,3.4674063800277393E-4,YES
191,49,1.734304543877905E-4,NO
