ID,Size,Predicted %,Actual value
0,35,2.96579465867693E-4,NO
1,388,4.605931474186178E-75,NO
2,84,0.051063771007158074,NO
3,70,0.051151726956015296,NO
4,92,4.1000038190752166E-4,NO
5,89,7.351218567156254E-76,NO
6,63,3.541463075023915E-4,NO
7,51,2.96579465867693E-4,NO
8,147,4.602008788540214E-4,NO
9,179,4.64151408078724E-69,NO
10,284,0.32463155359641266,NO
11,106,8.511089257550265E-76,NO
12,47,0.01735296431900447,NO
13,45,0.015768039233420975,NO
14,90,7.351218567156254E-76,NO
15,727,0.2319466503395568,NO
16,62,3.541463075023915E-4,NO
17,35,2.96579465867693E-4,NO
18,172,0.14334887004710836,NO
19,94,0.05864806470171474,NO
20,27,2.96579465867693E-4,NO
21,191,1.0397150596973836E-75,NO
22,66,3.541463075023915E-4,NO
23,82,0.004853281650813227,NO
24,43,0.015768039233420975,NO
25,189,2.6696512081399036E-74,NO
26,87,7.351218567156254E-76,NO
27,467,0.9866116750035538,NO
28,153,2.3065584539937753E-73,YES
29,44,0.015768039233420975,NO
30,306,0.7008928221960606,YES
31,50,2.96579465867693E-4,NO
32,437,9.619700437692113E-76,NO
33,74,3.541463075023915E-4,NO
34,62,3.541463075023915E-4,NO
35,48,2.96579465867693E-4,NO
36,46,2.96579465867693E-4,NO
37,577,0.7916805556082945,NO
38,90,0.012807429746395127,NO
39,109,0.1015384797175501,NO
40,92,3.5106866446887405E-74,NO
41,56,3.541463075023915E-4,NO
42,74,0.051151726956015296,NO
43,31,2.96579465867693E-4,NO
44,28,2.96579465867693E-4,NO
45,4088,0.0,NO
46,47,0.01735296431900447,NO
47,219,1.2137941813317634E-72,NO
48,377,2.55475587385412E-68,NO
49,1242,0.9869533913432766,YES
50,125,0.22941225348551408,NO
51,183,5.008111554626503E-4,NO
52,58,3.541463075023915E-4,NO
53,778,1.62247797793228E-65,NO
54,42,2.96579465867693E-4,NO
55,45,0.013641968744324984,NO
56,648,0.9636148458043257,YES
57,91,7.351218567156254E-76,NO
58,143,4.602008788540214E-4,NO
59,106,5.3700205211395735E-70,NO
60,62,3.7604714055691796E-75,NO
61,142,9.553667863628047E-76,NO
62,111,0.08994922837423573,NO
63,129,8.527367778343516E-77,NO
64,24,0.010289039922671807,NO
65,422,1.3060102710430082E-73,NO
66,131,0.10997843094677838,NO
67,38,2.96579465867693E-4,NO
68,798,0.7933473399543335,NO
69,109,0.008793168528044437,NO
70,85,3.541463075023915E-4,NO
71,160,0.11493464386215049,NO
72,154,0.13692411110802827,NO
73,90,7.351218567156254E-76,NO
74,80,3.541463075023915E-4,YES
75,357,0.9751929449188115,NO
76,155,0.031355795266335904,NO
77,271,5.405337026100817E-4,NO
78,86,3.541463075023915E-4,NO
79,466,3.7151783056481635E-73,YES
80,134,0.2804152624763061,NO
81,27,2.96579465867693E-4,NO
82,111,4.1000038190752166E-4,NO
83,159,0.2729999206371754,NO
84,64,3.541463075023915E-4,NO
85,37,2.96579465867693E-4,NO
86,162,0.13326933971781016,NO
87,43,2.96579465867693E-4,NO
88,664,9.0035419821326E-5,NO
89,74,3.541463075023915E-4,NO
90,48,2.96579465867693E-4,NO
91,260,3.010832236805313E-74,NO
92,978,0.6977797293636365,NO
93,45,2.96579465867693E-4,NO
94,582,0.12038376789720495,NO
95,358,7.54312836055409E-68,NO
96,136,1.947009024159929E-73,NO
97,89,1.8713028378258427E-75,NO
98,191,0.006850433217503649,NO
99,96,1.0670083799982094E-74,NO
100,106,0.08994922837423573,NO
101,236,4.1549789194433154E-73,NO
102,565,0.9998711121400063,NO
103,176,0.006850433217503649,NO
104,77,0.051151726956015296,NO
105,47,0.01735296431900447,NO
106,123,0.005614729942304893,NO
107,69,7.0278824380982995E-75,NO
108,34,1.8151611632158571E-75,NO
109,250,0.8396827664704418,NO
110,93,0.4691711088942072,NO
111,108,1.4979792918997652E-74,NO
112,49,2.96579465867693E-4,NO
113,213,2.1209460355605636E-73,NO
114,150,9.553667863628047E-76,NO
115,34,0.011898867618414828,NO
116,36,2.96579465867693E-4,NO
117,117,0.02166995831470429,NO
118,177,0.006850433217503649,NO
119,549,1.7191672963622125E-67,NO
120,70,0.051151726956015296,NO
121,89,0.051063771007158074,NO
122,503,0.2194113360886545,YES
123,93,8.511089257550265E-76,NO
124,50,6.155916027637843E-76,NO
125,153,4.879378303714357E-75,YES
126,244,0.7932987213740493,NO
127,27,2.96579465867693E-4,NO
128,458,0.005215546768621501,NO
129,50,0.01735296431900447,NO
130,106,8.511089257550265E-76,NO
131,94,9.391016875234592E-75,NO
132,26,0.010289039922671807,NO
133,314,1.7551299978713143E-74,NO
134,156,0.13692411110802827,NO
135,188,2.3085775764355803E-67,NO
136,79,6.621599086348474E-75,NO
137,928,0.14249072282471603,NO
138,60,3.541463075023915E-4,NO
139,48,2.96579465867693E-4,NO
140,254,7.202668054946407E-68,NO
141,154,0.006298182888764888,NO
142,147,1.0616538552341205E-72,NO
143,182,0.47632026812523925,NO
144,248,1.3660296205151028E-75,NO
145,137,1.8119460738213388E-74,NO
146,371,0.0010969677650562832,NO
147,489,0.03857514790943991,NO
148,558,5.742378912389886E-75,NO
149,66,3.541463075023915E-4,NO
150,168,2.1309091675709292E-73,NO
151,72,3.541463075023915E-4,NO
152,27,0.010289039922671807,NO
153,132,4.602008788540214E-4,NO
154,928,1.8058350275577338E-79,NO
155,260,8.342790053120116E-74,NO
156,74,3.541463075023915E-4,NO
157,32,2.96579465867693E-4,NO
158,137,4.602008788540214E-4,NO
159,132,0.006298182888764888,NO
160,74,0.26608710795563895,NO
161,84,3.541463075023915E-4,NO
162,148,4.602008788540214E-4,NO
163,125,3.4909487191480547E-68,NO
164,105,0.07686267476615197,NO
165,273,0.7027214935508753,NO
166,174,5.008111554626503E-4,NO
167,1033,0.002424934267935218,NO
168,68,0.052948577732088435,NO
169,357,7.800128440154287E-76,NO
170,76,3.541463075023915E-4,NO
171,83,7.351218567156254E-76,NO
172,51,0.01735296431900447,NO
173,151,0.1606154539837354,NO
174,55,2.96579465867693E-4,NO
175,25,0.010289039922671807,NO
176,29,2.96579465867693E-4,NO
177,37,2.96579465867693E-4,NO
178,180,5.008111554626503E-4,NO
179,98,4.1000038190752166E-4,NO
180,215,5.284031713080868E-4,NO
181,38,6.155916027637843E-76,NO
182,92,0.05864806470171474,NO
183,158,9.553667863628047E-76,NO
184,27,2.96579465867693E-4,NO
185,140,4.095729662409179E-69,NO
186,117,2.185371800387206E-74,NO
187,74,1.1549581710963513E-75,NO
188,74,3.541463075023915E-4,NO
189,273,9.812101891581715E-67,NO
190,214,0.14292779578607795,NO
191,85,0.024302880699859263,NO
192,108,0.08994922837423573,YES
193,130,0.12083964085280424,YES
194,163,4.602008788540214E-4,NO
195,49,0.01735296431900447,NO
196,123,0.09916681611823899,NO
197,92,0.4691711088942072,NO
198,100,0.037704800895885425,NO
199,42,1.0647503025176904E-74,NO
200,39,2.96579465867693E-4,NO
201,53,2.96579465867693E-4,NO
202,204,0.007225326541054386,YES
203,72,3.541463075023915E-4,NO
204,99,0.005614729942304893,NO
205,34,1.8151611632158571E-75,NO
206,22,2.96579465867693E-4,NO
207,31,2.96579465867693E-4,NO
208,98,4.1000038190752166E-4,NO
209,36,2.96579465867693E-4,NO
210,1262,0.0038291494207626396,NO
211,885,0.9991154975180917,NO
212,525,0.9356894285449017,NO
213,277,2.914581188194427E-70,NO
