ID,Size,Predicted %,Actual value
0,115,0.027019703934129436,NO
1,329,0.028428211149619898,NO
2,35,0.02708748254067297,NO
3,390,0.02708748254067297,NO
4,84,0.02708748254067297,NO
5,70,0.02708748254067297,NO
6,92,0.02708748254067297,NO
7,89,0.02708748254067297,NO
8,63,0.02708748254067297,NO
9,51,0.02708748254067297,NO
10,147,0.02708748254067297,NO
11,179,0.02708748254067297,NO
12,282,0.10876969676479069,NO
13,295,0.028428211149619898,NO
14,106,0.02708748254067297,NO
15,47,0.02708748254067297,NO
16,45,0.02708748254067297,NO
17,90,0.02708748254067297,NO
18,691,0.10948550138013655,YES
19,62,0.02708748254067297,NO
20,35,0.02708748254067297,NO
21,172,0.02708748254067297,NO
22,94,0.02708748254067297,YES
23,27,0.02708748254067297,NO
24,191,0.02708748254067297,NO
25,66,0.02708748254067297,NO
26,82,0.02708748254067297,NO
27,43,0.02708748254067297,NO
28,189,0.02708748254067297,YES
29,101,0.027019703934129436,NO
30,87,0.02708748254067297,NO
31,495,0.10828312132912782,YES
32,153,0.02708748254067297,YES
33,44,0.02708748254067297,NO
34,308,0.02708748254067297,YES
35,50,0.02708748254067297,NO
36,437,0.02708748254067297,NO
37,74,0.02708748254067297,NO
38,62,0.02708748254067297,NO
39,65,0.026955256580167723,NO
40,48,0.02708748254067297,NO
41,46,0.02708748254067297,NO
42,577,0.02708748254067297,YES
43,90,0.02708748254067297,NO
44,109,0.02708748254067297,NO
45,92,0.02708748254067297,NO
46,226,0.0272821982944518,NO
47,56,0.02708748254067297,NO
48,74,0.02708748254067297,NO
49,31,0.02708748254067297,NO
50,28,0.02708748254067297,NO
51,4088,0.02708748254067297,NO
52,47,0.02708748254067297,NO
53,221,0.02708748254067297,NO
54,377,0.02708748254067297,NO
55,1248,0.10876969676479069,YES
56,125,0.02708748254067297,NO
57,183,0.02708748254067297,NO
58,58,0.02708748254067297,NO
59,792,0.02708748254067297,YES
60,42,0.02708748254067297,NO
61,45,0.02708748254067297,NO
62,648,0.02708748254067297,YES
63,84,0.10876969676479069,NO
64,143,0.02708748254067297,NO
65,106,0.02708748254067297,NO
66,62,0.02708748254067297,NO
67,148,0.10876969676479069,NO
68,111,0.02708748254067297,NO
69,129,0.02708748254067297,NO
70,24,0.02708748254067297,NO
71,422,0.02708748254067297,YES
72,131,0.02708748254067297,NO
73,189,0.0272821982944518,NO
74,38,0.02708748254067297,NO
75,69,0.026955256580167723,NO
76,804,0.02708748254067297,NO
77,109,0.02708748254067297,NO
78,85,0.02708748254067297,NO
79,160,0.02708748254067297,NO
80,156,0.02708748254067297,NO
81,90,0.02708748254067297,NO
82,88,0.02708748254067297,YES
83,359,0.10876969676479069,YES
84,155,0.10876969676479069,NO
85,273,0.02708748254067297,YES
86,86,0.02708748254067297,NO
87,466,0.10876969676479069,YES
88,134,0.02708748254067297,NO
89,27,0.02708748254067297,NO
90,111,0.02708748254067297,NO
