ID,Size,Predicted %,Actual value
0,68,0.04114212508666483,YES
1,115,0.0341269869530977,NO
2,329,0.03608756738968408,NO
3,35,0.03276998616171435,NO
4,77,0.04114212508666483,NO
5,63,0.03276998616171435,NO
6,51,0.03276998616171435,NO
7,179,0.034716305693426236,NO
8,282,0.035699487945990226,NO
9,53,0.03955605560726248,NO
10,106,0.03347696737368548,NO
11,81,0.04114212508666483,NO
12,47,0.03276998616171435,NO
13,45,0.03276998616171435,NO
14,90,0.03347696737368548,NO
15,860,0.1428045528916431,YES
16,62,0.03276998616171435,NO
17,35,0.03276998616171435,NO
18,172,0.034716305693426236,NO
19,97,0.03347696737368548,NO
20,27,0.03276998616171435,NO
21,191,0.034716305693426236,NO
22,43,0.03276998616171435,NO
23,45,0.03955605560726248,NO
24,63,0.04028001394406802,NO
25,530,0.03691361175920213,NO
26,308,0.03608756738968408,YES
27,50,0.03276998616171435,NO
28,437,0.036811397497207736,NO
29,74,0.03347696737368548,NO
30,62,0.03276998616171435,NO
31,48,0.03276998616171435,NO
32,109,0.03347696737368548,YES
33,226,0.03524149899447806,NO
34,356,0.03640343065624501,NO
35,28,0.03276998616171435,NO
36,4088,3.4608499078097444E-5,NO
37,47,0.03276998616171435,NO
38,1248,0.8861080380080223,YES
39,128,0.0341269869530977,NO
40,877,0.04090895078101154,YES
41,83,0.04114212508666483,NO
42,849,0.0439003229014644,YES
43,143,0.0341269869530977,NO
44,43,0.03955605560726248,NO
45,49,0.03955605560726248,NO
46,24,0.03276998616171435,NO
47,131,0.0341269869530977,NO
48,199,0.06519687448659399,NO
49,38,0.03276998616171435,NO
50,69,0.03347696737368548,NO
51,804,0.03539801902827722,NO
52,85,0.03347696737368548,NO
53,156,0.034716305693426236,NO
54,90,0.03347696737368548,NO
55,88,0.03347696737368548,YES
56,86,0.03347696737368548,NO
57,476,0.04366256159288274,YES
58,134,0.0341269869530977,NO
59,27,0.03276998616171435,NO
60,39,0.03276998616171435,NO
61,37,0.03276998616171435,NO
62,162,0.034716305693426236,NO
63,76,0.03347696737368548,NO
64,666,0.036490298674531796,NO
65,189,0.06519687448659399,NO
66,263,0.035699487945990226,YES
67,1059,0.060000727631889475,YES
68,45,0.03276998616171435,NO
69,839,0.15280070011016736,NO
70,358,0.03640343065624501,NO
71,136,0.04067390319652061,YES
72,106,0.03347696737368548,NO
73,237,0.03524149899447806,NO
74,565,0.03684900326082432,YES
75,77,0.03990433583013861,NO
76,69,0.03347696737368548,NO
77,34,0.03276998616171435,NO
78,25,0.03276998616171435,NO
79,73,0.03347696737368548,NO
80,624,0.03670761521420675,NO
81,108,0.03347696737368548,NO
82,49,0.03276998616171435,NO
83,213,0.03524149899447806,NO
84,47,0.03276998616171435,NO
85,34,0.03276998616171435,NO
86,117,0.0341269869530977,NO
87,63,0.04028001394406802,NO
88,70,0.03347696737368548,NO
89,517,0.03691361175920213,YES
90,94,0.03347696737368548,NO
91,244,0.03524149899447806,NO
92,27,0.03276998616171435,NO
93,47,0.03276998616171435,NO
94,50,0.03276998616171435,NO
95,424,0.045204325443346426,YES
96,314,0.3197054874796154,YES
97,90,0.03990433583013861,YES
98,175,0.15793452754159354,NO
99,50,0.03906710512743869,NO
100,157,0.034716305693426236,NO
101,248,0.035699487945990226,NO
102,371,0.03640343065624501,NO
103,491,0.03690105125773041,NO
104,180,0.034716305693426236,NO
105,27,0.03276998616171435,NO
106,64,0.03276998616171435,NO
107,72,0.04114212508666483,NO
108,74,0.03347696737368548,NO
109,32,0.03276998616171435,NO
110,138,0.04067390319652061,NO
111,148,0.04067390319652061,YES
112,74,0.03347696737368548,YES
113,86,0.03990433583013861,NO
114,148,0.04067390319652061,NO
115,125,0.0341269869530977,NO
116,105,0.03347696737368548,NO
117,271,0.04253478778361302,YES
118,68,0.03347696737368548,NO
119,358,0.03640343065624501,NO
120,83,0.03347696737368548,NO
121,51,0.03276998616171435,NO
122,29,0.03276998616171435,NO
123,37,0.03276998616171435,NO
124,204,0.06615158174372318,NO
125,98,0.03347696737368548,NO
