ID,Size,Predicted %,Actual value
0,68,0.0013415642157631462,YES
1,115,3.8246333288736843E-4,NO
2,329,4.1497905074160357E-4,NO
3,35,3.625939028810334E-4,NO
4,77,0.0014915044046787875,NO
5,63,3.696089339484387E-4,NO
6,51,3.696089339484387E-4,NO
7,179,3.935879370284145E-4,NO
8,282,4.0997738971739107E-4,NO
9,53,0.001204218811140104,NO
10,106,3.8246333288736843E-4,NO
11,81,0.0016032931909809153,NO
12,47,3.696089339484387E-4,NO
13,45,3.696089339484387E-4,NO
14,90,3.7624051416492485E-4,NO
15,860,0.008368404887831301,YES
16,62,3.696089339484387E-4,NO
17,35,3.625939028810334E-4,NO
18,172,3.935879370284145E-4,NO
19,97,3.7624051416492485E-4,NO
20,27,3.625939028810334E-4,NO
21,191,3.98446050598715E-4,NO
22,43,3.696089339484387E-4,NO
23,45,0.001157466080086586,NO
24,63,0.0013123173464911252,NO
25,530,4.145686210098563E-4,NO
26,308,4.127550870434838E-4,YES
27,50,3.696089339484387E-4,NO
28,437,4.182487798740979E-4,NO
29,74,3.7624051416492485E-4,NO
30,62,3.696089339484387E-4,NO
31,48,3.696089339484387E-4,NO
32,109,3.8246333288736843E-4,YES
33,226,4.028083441057987E-4,NO
34,356,4.1497905074160357E-4,NO
35,28,3.625939028810334E-4,NO
36,4088,5.55689483749031E-9,NO
37,47,3.696089339484387E-4,NO
38,1248,0.805708890351953,YES
39,128,3.8246333288736843E-4,NO
40,877,0.0010636374111859812,YES
41,83,0.0016032931909809153,NO
42,849,0.0018080919189212828,YES
43,143,3.882533473484715E-4,NO
44,43,0.0011403085909306781,NO
45,49,0.001173477975157592,NO
46,24,3.625939028810334E-4,NO
47,131,3.882533473484715E-4,NO
48,199,0.012024129000934674,NO
49,38,3.625939028810334E-4,NO
50,69,3.696089339484387E-4,NO
51,804,3.7491316580681993E-4,NO
52,85,3.7624051416492485E-4,NO
53,156,3.882533473484715E-4,NO
54,90,3.7624051416492485E-4,NO
55,88,3.7624051416492485E-4,YES
56,86,3.7624051416492485E-4,NO
57,476,0.001318007590651325,YES
58,134,3.882533473484715E-4,NO
59,27,3.625939028810334E-4,NO
60,39,3.625939028810334E-4,NO
61,37,3.625939028810334E-4,NO
62,162,3.935879370284145E-4,NO
63,76,3.7624051416492485E-4,NO
64,666,4.019551178471997E-4,NO
65,189,0.007142012209467984,NO
66,263,4.0665730912760475E-4,YES
67,1059,0.009508468432251888,YES
68,45,3.696089339484387E-4,NO
69,839,0.20299375664153754,NO
70,358,4.1664015611611106E-4,NO
71,136,0.001167568230367137,YES
72,106,3.8246333288736843E-4,NO
73,237,4.028083441057987E-4,NO
74,565,4.1223029268414437E-4,YES
75,77,0.0011314701367146748,NO
76,69,3.696089339484387E-4,NO
77,34,3.625939028810334E-4,NO
78,25,3.625939028810334E-4,NO
79,73,3.7624051416492485E-4,NO
80,624,4.0591067798242665E-4,NO
81,108,3.8246333288736843E-4,NO
82,49,3.696089339484387E-4,NO
83,213,3.98446050598715E-4,NO
84,47,3.696089339484387E-4,NO
85,34,3.625939028810334E-4,NO
86,117,3.8246333288736843E-4,NO
87,63,0.0013123173464911252,NO
88,70,3.696089339484387E-4,NO
89,517,4.163457774287353E-4,YES
90,94,3.7624051416492485E-4,NO
91,244,4.0665730912760475E-4,NO
92,27,3.625939028810334E-4,NO
93,47,3.696089339484387E-4,NO
94,50,3.696089339484387E-4,NO
95,424,0.0016925298599875576,YES
96,314,0.06799415867103539,YES
97,90,0.0010940080259192286,YES
98,175,0.9654305602036577,NO
99,50,0.0011410849724796523,NO
100,157,3.935879370284145E-4,NO
101,248,4.0665730912760475E-4,NO
102,371,4.1664015611611106E-4,NO
103,491,4.175544517314808E-4,NO
104,180,3.935879370284145E-4,NO
105,27,3.625939028810334E-4,NO
106,64,3.696089339484387E-4,NO
107,72,0.0014045674891545472,NO
108,74,3.7624051416492485E-4,NO
109,32,3.625939028810334E-4,NO
110,138,0.001167568230367137,NO
111,148,0.0011454974451097374,YES
112,74,3.7624051416492485E-4,YES
113,86,0.0011314701367146748,NO
114,148,0.001167568230367137,NO
115,125,3.8246333288736843E-4,NO
116,105,3.8246333288736843E-4,NO
117,271,0.0012228680377188088,YES
118,68,3.696089339484387E-4,NO
119,358,4.1664015611611106E-4,NO
120,83,3.7624051416492485E-4,NO
121,51,3.696089339484387E-4,NO
122,29,3.625939028810334E-4,NO
123,37,3.625939028810334E-4,NO
124,204,0.01290472161518913,NO
125,98,3.7624051416492485E-4,NO
126,135,3.882533473484715E-4,NO
127,92,3.7624051416492485E-4,NO
128,117,3.8246333288736843E-4,NO
129,117,3.8246333288736843E-4,NO
130,74,3.7624051416492485E-4,NO
131,74,3.7624051416492485E-4,NO
132,108,3.8246333288736843E-4,YES
133,224,0.0015111037365830333,NO
134,49,3.696089339484387E-4,NO
135,123,3.8246333288736843E-4,NO
136,100,3.8246333288736843E-4,NO
137,53,3.696089339484387E-4,NO
138,266,4.0665730912760475E-4,YES
139,72,3.7624051416492485E-4,NO
140,27,3.625939028810334E-4,NO
141,98,3.7624051416492485E-4,NO
142,36,3.625939028810334E-4,NO
143,979,3.295126271513375E-4,NO
144,535,4.145686210098563E-4,NO
145,202,3.98446050598715E-4,NO
146,310,0.0030944873758742223,YES
147,79,3.7624051416492485E-4,NO
148,67,3.696089339484387E-4,NO
149,264,4.0665730912760475E-4,NO
150,44,3.696089339484387E-4,NO
151,319,4.127550870434838E-4,NO
152,41,3.625939028810334E-4,NO
153,163,3.935879370284145E-4,NO
154,70,3.696089339484387E-4,NO
155,55,0.001578200634499424,NO
156,129,3.882533473484715E-4,NO
157,78,0.0014915044046787875,YES
158,56,3.696089339484387E-4,NO
159,107,3.8246333288736843E-4,NO
160,55,0.0012069044447233102,NO
161,69,0.0013798357327786523,NO
162,32,3.625939028810334E-4,NO
163,327,4.127550870434838E-4,YES
164,50,0.001173477975157592,NO
165,343,4.1497905074160357E-4,NO
166,72,3.7624051416492485E-4,NO
167,343,4.1497905074160357E-4,YES
168,867,3.6111042488230066E-4,NO
169,183,3.935879370284145E-4,NO
170,223,4.028083441057987E-4,NO
171,45,0.001157466080086586,NO
172,194,0.001198195539118154,NO
173,165,3.935879370284145E-4,NO
174,183,3.935879370284145E-4,NO
175,171,3.935879370284145E-4,NO
176,257,4.0665730912760475E-4,NO
177,63,3.696089339484387E-4,NO
178,40,3.625939028810334E-4,NO
179,164,3.935879370284145E-4,NO
180,57,3.696089339484387E-4,NO
181,380,4.1664015611611106E-4,NO
182,71,3.696089339484387E-4,NO
183,261,4.0665730912760475E-4,NO
184,179,3.935879370284145E-4,NO
185,2009,5.353707252902524E-5,NO
186,100,3.8246333288736843E-4,NO
187,141,3.882533473484715E-4,NO
188,54,3.696089339484387E-4,NO
189,184,3.935879370284145E-4,NO
190,474,0.006056272481918026,YES
191,49,3.696089339484387E-4,NO
192,200,3.98446050598715E-4,NO
193,94,3.7624051416492485E-4,NO
194,77,3.7624051416492485E-4,NO
195,16883,2.715914168755519E-4,NO
196,867,0.17944674593472967,YES
197,106,3.8246333288736843E-4,NO
198,152,3.882533473484715E-4,NO
199,72,3.7624051416492485E-4,NO
200,373,0.0782949371317621,NO
201,75,3.7624051416492485E-4,NO
202,52,3.696089339484387E-4,NO
203,86,3.7624051416492485E-4,NO
204,88,3.7624051416492485E-4,YES
205,62,3.696089339484387E-4,NO
206,153,3.882533473484715E-4,NO
207,76,0.0011014163442892586,NO
208,47,3.696089339484387E-4,NO
209,53,3.696089339484387E-4,NO
210,151,3.882533473484715E-4,NO
211,37,3.625939028810334E-4,NO
212,41,0.0011186823555091316,NO
213,677,3.974896639680279E-4,NO
214,104,3.8246333288736843E-4,NO
215,77,3.7624051416492485E-4,NO
216,39,3.625939028810334E-4,NO
217,185,3.935879370284145E-4,NO
218,51,3.696089339484387E-4,NO
219,126,3.8246333288736843E-4,YES
220,63,3.696089339484387E-4,NO
221,390,0.0012561417456583384,NO
222,84,3.7624051416492485E-4,NO
223,70,3.696089339484387E-4,NO
224,92,0.0011314701367146748,NO
225,89,3.7624051416492485E-4,NO
226,147,3.882533473484715E-4,NO
227,295,4.0997738971739107E-4,NO
228,83,0.001170655039856118,NO
229,99,0.001969649351613364,NO
230,66,3.696089339484387E-4,NO
231,82,0.0011314701367146748,NO
232,205,0.00701704157014244,YES
233,101,3.8246333288736843E-4,NO
234,87,0.0011314701367146748,NO
235,166,3.935879370284145E-4,NO
236,44,3.696089339484387E-4,NO
237,65,3.696089339484387E-4,NO
238,46,3.696089339484387E-4,NO
239,637,0.10331723604630512,NO
240,90,3.7624051416492485E-4,NO
241,876,3.5366850151624354E-4,NO
242,92,3.7624051416492485E-4,NO
243,547,0.9986753056456967,YES
244,56,3.696089339484387E-4,NO
245,74,3.7624051416492485E-4,NO
246,31,0.001066852716888408,NO
247,31,3.625939028810334E-4,NO
248,221,4.028083441057987E-4,NO
249,377,4.1664015611611106E-4,NO
250,183,3.935879370284145E-4,NO
251,58,3.696089339484387E-4,NO
252,60,3.696089339484387E-4,NO
253,42,3.625939028810334E-4,NO
254,45,3.696089339484387E-4,NO
255,84,3.7624051416492485E-4,NO
256,167,0.0013642707579593362,YES
257,62,3.696089339484387E-4,NO
258,61,3.696089339484387E-4,NO
259,148,3.882533473484715E-4,NO
260,335,0.8891182223136115,YES
261,111,3.8246333288736843E-4,NO
262,129,3.882533473484715E-4,NO
263,422,0.001257695728661257,YES
264,109,3.8246333288736843E-4,NO
265,160,3.935879370284145E-4,NO
266,362,0.007465835601638028,YES
267,155,3.882533473484715E-4,NO
268,274,0.0073472731116765505,YES
269,111,3.8246333288736843E-4,NO
270,31,3.625939028810334E-4,NO
271,159,3.935879370284145E-4,NO
272,64,3.696089339484387E-4,NO
273,131,0.012640335362158124,NO
274,43,3.696089339484387E-4,NO
275,96,0.001883734533648706,NO
276,74,3.7624051416492485E-4,NO
277,48,3.696089339484387E-4,NO
278,89,3.7624051416492485E-4,NO
279,191,3.98446050598715E-4,NO
280,96,3.7624051416492485E-4,NO
281,346,4.1497905074160357E-4,NO
282,47,3.696089339484387E-4,NO
283,123,3.8246333288736843E-4,NO
284,252,4.0665730912760475E-4,NO
285,132,0.001167568230367137,NO
286,93,3.7624051416492485E-4,NO
287,323,4.127550870434838E-4,NO
288,101,3.8246333288736843E-4,NO
289,36,3.625939028810334E-4,NO
290,182,3.935879370284145E-4,NO
291,550,4.145686210098563E-4,NO
292,89,3.7624051416492485E-4,NO
293,50,3.696089339484387E-4,NO
294,190,0.001225613241209646,NO
295,152,3.882533473484715E-4,NO
296,142,3.882533473484715E-4,NO
297,461,0.007493404859955029,YES
298,512,4.163457774287353E-4,NO
299,106,3.8246333288736843E-4,NO
300,97,3.7624051416492485E-4,NO
301,26,3.625939028810334E-4,NO
302,156,3.882533473484715E-4,NO
303,48,3.696089339484387E-4,NO
304,254,4.0665730912760475E-4,NO
305,69,0.0013798357327786523,NO
306,147,3.882533473484715E-4,NO
307,207,0.012503347327991167,YES
308,152,0.0011439316846033173,NO
309,68,0.0010964322865272015,YES
310,182,0.0011624229876337317,NO
311,72,3.7624051416492485E-4,NO
312,90,0.014014325760914477,NO
313,73,0.0014045674891545472,NO
314,132,3.882533473484715E-4,NO
315,1008,0.009912154193570246,YES
316,262,0.0012228680377188088,NO
317,752,3.871024640090748E-4,NO
318,174,0.0011835979052233843,NO
319,1038,3.121724443860037E-4,NO
320,72,0.0014045674891545472,NO
321,76,3.7624051416492485E-4,NO
322,151,3.882533473484715E-4,NO
323,657,4.019551178471997E-4,NO
324,187,3.98446050598715E-4,NO
325,55,3.696089339484387E-4,NO
326,25,3.625939028810334E-4,NO
327,215,0.0012113030928364399,NO
328,38,3.625939028810334E-4,NO
329,104,3.8246333288736843E-4,NO
330,211,0.0069940360592026015,NO
331,27,3.625939028810334E-4,NO
332,160,3.935879370284145E-4,YES
333,168,3.935879370284145E-4,NO
334,275,0.0012328437054875965,YES
335,214,4.028083441057987E-4,NO
336,85,3.7624051416492485E-4,NO
337,130,3.882533473484715E-4,YES
338,872,3.5366850151624354E-4,NO
339,566,0.9998850939581123,NO
340,92,3.7624051416492485E-4,NO
341,42,3.625939028810334E-4,NO
342,39,3.625939028810334E-4,NO
343,99,3.7624051416492485E-4,NO
344,34,3.625939028810334E-4,NO
345,22,3.625939028810334E-4,NO
346,31,3.625939028810334E-4,NO
347,1263,2.3797177684592024E-4,NO
348,277,4.0997738971739107E-4,NO
349,618,0.0016707322734204053,YES
350,60,3.696089339484387E-4,NO
351,64,3.696089339484387E-4,NO
352,387,0.012987919425667087,YES
353,372,0.1543518196629727,NO
354,421,4.182487798740979E-4,NO
355,55,0.0012069044447233102,NO
356,628,4.0591067798242665E-4,YES
357,103,3.8246333288736843E-4,NO
358,42,3.625939028810334E-4,NO
359,354,4.1497905074160357E-4,YES
360,58,3.696089339484387E-4,NO
361,56,3.696089339484387E-4,NO
362,214,4.028083441057987E-4,NO
363,1126,2.8489586113770196E-4,NO
364,332,4.1497905074160357E-4,NO
365,83,3.7624051416492485E-4,NO
366,319,4.127550870434838E-4,YES
