ID,Size,Predicted %,Actual value
0,68,1.7502284539642126E-4,YES
1,115,5.227179901864735E-5,NO
2,329,5.5387046322492164E-5,NO
3,35,5.012298876049228E-5,NO
4,77,1.841440400710281E-4,NO
5,63,5.012298876049228E-5,NO
6,51,5.012298876049228E-5,NO
7,179,5.320686374558442E-5,NO
8,282,5.476940683656418E-5,NO
9,53,1.463604084116615E-4,NO
10,106,5.124174149938986E-5,NO
11,81,1.841440400710281E-4,NO
12,47,5.012298876049228E-5,NO
13,45,5.012298876049228E-5,NO
14,90,5.124174149938986E-5,NO
15,860,7.752236092229987E-4,YES
16,62,5.012298876049228E-5,NO
17,35,5.012298876049228E-5,NO
18,172,5.320686374558442E-5,NO
19,97,5.124174149938986E-5,NO
20,27,5.012298876049228E-5,NO
21,191,5.320686374558442E-5,NO
22,43,5.012298876049228E-5,NO
23,45,1.4256920884507282E-4,NO
24,63,1.623636610747776E-4,NO
25,530,5.6703374268780216E-5,NO
26,308,5.5387046322492164E-5,YES
27,50,5.012298876049228E-5,NO
28,437,5.654037037840606E-5,NO
29,74,5.124174149938986E-5,NO
30,62,5.012298876049228E-5,NO
31,48,5.012298876049228E-5,NO
32,109,5.124174149938986E-5,YES
33,226,5.404114262662334E-5,NO
34,356,5.589011838695126E-5,NO
35,28,5.012298876049228E-5,NO
36,4088,5.120472144746715E-8,NO
37,47,5.012298876049228E-5,NO
38,1248,0.12528232413160556,YES
39,128,5.227179901864735E-5,NO
40,877,1.5084961759274639E-4,YES
41,83,1.841440400710281E-4,NO
42,849,2.477561072515366E-4,YES
43,143,5.227179901864735E-5,NO
44,43,1.4256920884507282E-4,NO
45,49,1.463604084116615E-4,NO
46,24,5.012298876049228E-5,NO
47,131,5.227179901864735E-5,NO
48,199,8.203666032897995E-4,NO
49,38,5.012298876049228E-5,NO
50,69,5.124174149938986E-5,NO
51,804,5.428995292684059E-5,NO
52,85,5.124174149938986E-5,NO
53,156,5.320686374558442E-5,NO
54,90,5.124174149938986E-5,NO
55,88,5.124174149938986E-5,YES
56,86,5.124174149938986E-5,NO
57,476,1.704125171937117E-4,YES
58,134,5.227179901864735E-5,NO
59,27,5.012298876049228E-5,NO
60,39,5.012298876049228E-5,NO
61,37,5.012298876049228E-5,NO
62,162,5.320686374558442E-5,NO
63,76,5.124174149938986E-5,NO
64,666,5.6028529896381114E-5,NO
65,189,8.645655622120509E-4,NO
66,263,5.476940683656418E-5,YES
67,1059,7.525969983769962E-4,YES
68,45,5.012298876049228E-5,NO
69,839,0.018796511132902732,NO
70,358,5.589011838695126E-5,NO
71,136,1.4994627959132468E-4,YES
72,106,5.124174149938986E-5,NO
73,237,5.404114262662334E-5,NO
74,565,5.660033730559551E-5,YES
75,77,1.4699175141332047E-4,NO
76,69,5.124174149938986E-5,NO
77,34,5.012298876049228E-5,NO
78,25,5.012298876049228E-5,NO
79,73,5.124174149938986E-5,NO
80,624,5.6374901260042026E-5,NO
81,108,5.124174149938986E-5,NO
82,49,5.012298876049228E-5,NO
83,213,5.404114262662334E-5,NO
84,47,5.012298876049228E-5,NO
85,34,5.012298876049228E-5,NO
86,117,5.227179901864735E-5,NO
87,63,1.623636610747776E-4,NO
88,70,5.124174149938986E-5,NO
89,517,5.6703374268780216E-5,YES
90,94,5.124174149938986E-5,NO
91,244,5.404114262662334E-5,NO
92,27,5.012298876049228E-5,NO
93,47,5.012298876049228E-5,NO
94,50,5.012298876049228E-5,NO
95,424,2.0318257802032504E-4,YES
96,314,0.005501927295560549,YES
97,90,1.448486552113571E-4,YES
98,175,0.9643592043337695,NO
99,50,1.4710950132684568E-4,NO
100,157,5.320686374558442E-5,NO
101,248,5.476940683656418E-5,NO
102,371,5.589011838695126E-5,NO
103,491,5.668334183041669E-5,NO
104,180,5.320686374558442E-5,NO
105,27,5.012298876049228E-5,NO
106,64,5.012298876049228E-5,NO
107,72,1.7502284539642126E-4,NO
108,74,5.124174149938986E-5,NO
109,32,5.012298876049228E-5,NO
110,138,1.4994627959132468E-4,NO
111,148,1.418248512582724E-4,YES
112,74,5.124174149938986E-5,YES
113,86,1.4699175141332047E-4,NO
114,148,1.4994627959132468E-4,NO
115,125,5.227179901864735E-5,NO
116,105,5.124174149938986E-5,NO
117,271,1.571101552906338E-4,YES
118,68,5.124174149938986E-5,NO
119,358,5.589011838695126E-5,NO
120,83,5.124174149938986E-5,NO
121,51,5.012298876049228E-5,NO
122,29,5.012298876049228E-5,NO
123,37,5.012298876049228E-5,NO
124,204,9.047680468842812E-4,NO
125,98,5.124174149938986E-5,NO
126,135,5.227179901864735E-5,NO
127,92,5.124174149938986E-5,NO
128,117,5.227179901864735E-5,NO
129,117,5.227179901864735E-5,NO
130,74,5.124174149938986E-5,NO
131,74,5.124174149938986E-5,NO
132,108,5.124174149938986E-5,YES
133,224,1.905598420652721E-4,NO
134,49,5.012298876049228E-5,NO
135,123,5.227179901864735E-5,NO
136,100,5.124174149938986E-5,NO
137,53,5.012298876049228E-5,NO
138,266,5.476940683656418E-5,YES
139,72,5.124174149938986E-5,NO
140,27,5.012298876049228E-5,NO
141,98,5.124174149938986E-5,NO
142,36,5.012298876049228E-5,NO
143,979,5.049630138873037E-5,NO
144,535,5.6703374268780216E-5,NO
145,202,5.404114262662334E-5,NO
146,310,2.5110276403149314E-4,YES
147,79,5.124174149938986E-5,NO
148,67,5.124174149938986E-5,NO
149,264,5.476940683656418E-5,NO
150,44,5.012298876049228E-5,NO
151,319,5.5387046322492164E-5,NO
152,41,5.012298876049228E-5,NO
153,163,5.320686374558442E-5,NO
154,70,5.124174149938986E-5,NO
155,55,2.240345976999784E-4,NO
156,129,5.227179901864735E-5,NO
157,78,1.841440400710281E-4,YES
158,56,5.012298876049228E-5,NO
159,107,5.124174149938986E-5,NO
160,55,1.463604084116615E-4,NO
161,69,1.7502284539642126E-4,NO
162,32,5.012298876049228E-5,NO
163,327,5.5387046322492164E-5,YES
164,50,1.463604084116615E-4,NO
165,343,5.589011838695126E-5,NO
166,72,5.124174149938986E-5,NO
167,343,5.589011838695126E-5,YES
168,867,5.258673676281809E-5,NO
169,183,5.320686374558442E-5,NO
170,223,5.404114262662334E-5,NO
171,45,1.4256920884507282E-4,NO
172,194,1.5262832878496218E-4,NO
173,165,5.320686374558442E-5,NO
174,183,5.320686374558442E-5,NO
175,171,5.320686374558442E-5,NO
176,257,5.476940683656418E-5,NO
177,63,5.012298876049228E-5,NO
178,40,5.012298876049228E-5,NO
179,164,5.320686374558442E-5,NO
180,57,5.012298876049228E-5,NO
181,380,5.627538959445348E-5,NO
182,71,5.124174149938986E-5,NO
183,261,5.476940683656418E-5,NO
184,179,5.320686374558442E-5,NO
185,2009,1.6960796346566066E-5,NO
186,100,5.124174149938986E-5,NO
187,141,5.227179901864735E-5,NO
188,54,5.012298876049228E-5,NO
189,184,5.320686374558442E-5,NO
190,474,7.793006344600005E-4,YES
191,49,5.012298876049228E-5,NO
192,200,5.404114262662334E-5,NO
193,94,5.124174149938986E-5,NO
194,77,5.124174149938986E-5,NO
195,16883,4.073275826334721E-5,NO
196,867,0.014411450203223793,YES
197,106,5.124174149938986E-5,NO
198,152,5.227179901864735E-5,NO
199,72,5.124174149938986E-5,NO
200,373,0.0066142242119754426,NO
201,75,5.124174149938986E-5,NO
202,52,5.012298876049228E-5,NO
203,86,5.124174149938986E-5,NO
204,88,5.124174149938986E-5,YES
205,62,5.012298876049228E-5,NO
206,153,5.227179901864735E-5,NO
207,76,1.4112031855436654E-4,NO
208,47,5.012298876049228E-5,NO
209,53,5.012298876049228E-5,NO
210,151,5.227179901864735E-5,NO
211,37,5.012298876049228E-5,NO
212,41,1.4256920884507282E-4,NO
213,677,5.6028529896381114E-5,NO
214,104,5.124174149938986E-5,NO
215,77,5.124174149938986E-5,NO
216,39,5.012298876049228E-5,NO
217,185,5.320686374558442E-5,NO
218,51,5.012298876049228E-5,NO
219,126,5.227179901864735E-5,YES
220,63,5.012298876049228E-5,NO
221,390,1.6142972559749587E-4,NO
222,84,5.124174149938986E-5,NO
223,70,5.124174149938986E-5,NO
224,92,1.4699175141332047E-4,NO
225,89,5.124174149938986E-5,NO
226,147,5.227179901864735E-5,NO
227,295,5.5387046322492164E-5,NO
228,83,1.4699175141332047E-4,NO
229,99,2.3734619702070497E-4,NO
230,66,5.012298876049228E-5,NO
231,82,1.4699175141332047E-4,NO
232,205,8.332198551756824E-4,YES
233,101,5.124174149938986E-5,NO
234,87,1.4699175141332047E-4,NO
235,166,5.320686374558442E-5,NO
236,44,5.012298876049228E-5,NO
237,65,5.012298876049228E-5,NO
238,46,5.012298876049228E-5,NO
239,637,0.008743570167454813,NO
240,90,5.124174149938986E-5,NO
241,876,5.258673676281809E-5,NO
242,92,5.124174149938986E-5,NO
243,547,0.994164892759549,YES
244,56,5.012298876049228E-5,NO
245,74,5.124174149938986E-5,NO
246,31,1.3890540219831248E-4,NO
247,31,5.012298876049228E-5,NO
