ID,Size,Predicted %,Actual value
0,68,0.34,YES
1,115,0.17587393723485176,NO
2,329,0.17587393723485176,NO
3,35,0.17587393723485176,NO
4,77,0.9433333333333332,NO
5,63,0.17587393723485176,NO
6,51,0.17587393723485176,NO
7,179,0.17587393723485176,NO
8,282,0.17587393723485176,NO
9,53,0.53,NO
10,106,0.17587393723485176,NO
11,81,0.925,NO
12,47,0.17587393723485176,NO
13,45,0.17587393723485176,NO
14,90,0.17587393723485176,NO
15,860,0.8401666666666666,YES
16,62,0.17587393723485176,NO
17,35,0.17587393723485176,NO
18,172,0.17587393723485176,NO
19,97,0.17587393723485176,NO
20,27,0.17587393723485176,NO
21,191,0.17587393723485176,NO
22,43,0.17587393723485176,NO
23,45,0.03,NO
24,63,0.24,NO
25,530,0.17587393723485176,NO
26,308,0.17587393723485176,YES
27,50,0.17587393723485176,NO
28,437,0.17587393723485176,NO
29,74,0.17587393723485176,NO
30,62,0.17587393723485176,NO
31,48,0.17587393723485176,NO
32,109,0.17587393723485176,YES
33,226,0.17587393723485176,NO
34,356,0.17587393723485176,NO
35,28,0.17587393723485176,NO
36,4088,0.17587393723485176,NO
37,47,0.17587393723485176,NO
38,1248,0.3483333333333333,YES
39,128,0.17587393723485176,NO
40,877,0.17587393723485176,YES
41,83,0.82,NO
42,849,0.31,YES
43,143,0.17587393723485176,NO
44,43,0.07935714285714286,NO
45,49,0.06,NO
46,24,0.17587393723485176,NO
47,131,0.17587393723485176,NO
48,199,0.63,NO
49,38,0.17587393723485176,NO
50,69,0.17587393723485176,NO
51,804,0.17587393723485176,NO
52,85,0.17587393723485176,NO
53,156,0.17587393723485176,NO
54,90,0.17587393723485176,NO
55,88,0.17587393723485176,YES
56,86,0.17587393723485176,NO
57,476,0.8809249594442743,YES
58,134,0.17587393723485176,NO
59,27,0.17587393723485176,NO
60,39,0.17587393723485176,NO
61,37,0.17587393723485176,NO
62,162,0.17587393723485176,NO
63,76,0.17587393723485176,NO
64,666,0.17587393723485176,NO
65,189,0.8146502415968732,NO
66,263,0.17587393723485176,YES
67,1059,0.04,YES
68,45,0.17587393723485176,NO
69,839,0.65,NO
70,358,0.17587393723485176,NO
71,136,0.17587393723485176,YES
72,106,0.17587393723485176,NO
73,237,0.17587393723485176,NO
74,565,0.17587393723485176,YES
75,77,0.17587393723485176,NO
76,69,0.17587393723485176,NO
77,34,0.17587393723485176,NO
78,25,0.17587393723485176,NO
79,73,0.17587393723485176,NO
80,624,0.17587393723485176,NO
81,108,0.17587393723485176,NO
82,49,0.17587393723485176,NO
83,213,0.17587393723485176,NO
84,47,0.17587393723485176,NO
85,34,0.17587393723485176,NO
86,117,0.17587393723485176,NO
87,63,0.24,NO
88,70,0.17587393723485176,NO
89,517,0.17587393723485176,YES
90,94,0.17587393723485176,NO
91,244,0.17587393723485176,NO
92,27,0.17587393723485176,NO
93,47,0.17587393723485176,NO
94,50,0.17587393723485176,NO
95,424,0.9183333333333333,YES
96,314,0.23,YES
97,90,0.25103571428571425,YES
98,175,0.9009249594442743,NO
99,50,0.8724555716891722,NO
100,157,0.17587393723485176,NO
101,248,0.17587393723485176,NO
102,371,0.17587393723485176,NO
103,491,0.17587393723485176,NO
104,180,0.17587393723485176,NO
105,27,0.17587393723485176,NO
106,64,0.17587393723485176,NO
107,72,0.7543333333333334,NO
108,74,0.17587393723485176,NO
109,32,0.17587393723485176,NO
110,138,0.17587393723485176,NO
111,148,0.08,YES
112,74,0.17587393723485176,YES
113,86,0.17587393723485176,NO
114,148,0.17587393723485176,NO
115,125,0.17587393723485176,NO
116,105,0.17587393723485176,NO
117,271,0.17587393723485176,YES
118,68,0.17587393723485176,NO
119,358,0.17587393723485176,NO
120,83,0.17587393723485176,NO
121,51,0.17587393723485176,NO
122,29,0.17587393723485176,NO
123,37,0.17587393723485176,NO
124,204,0.25103571428571425,NO
125,98,0.17587393723485176,NO
126,135,0.17587393723485176,NO
127,92,0.17587393723485176,NO
128,117,0.17587393723485176,NO
129,117,0.17587393723485176,NO
130,74,0.17587393723485176,NO
131,74,0.17587393723485176,NO
132,108,0.17587393723485176,YES
133,224,0.16,NO
134,49,0.17587393723485176,NO
135,123,0.17587393723485176,NO
136,100,0.17587393723485176,NO
137,53,0.17587393723485176,NO
138,266,0.17587393723485176,YES
139,72,0.17587393723485176,NO
140,27,0.17587393723485176,NO
141,98,0.17587393723485176,NO
142,36,0.17587393723485176,NO
143,979,0.17587393723485176,NO
144,535,0.17587393723485176,NO
145,202,0.17587393723485176,NO
146,310,0.01,YES
147,79,0.17587393723485176,NO
148,67,0.17587393723485176,NO
149,264,0.17587393723485176,NO
150,44,0.17587393723485176,NO
151,319,0.17587393723485176,NO
152,41,0.17587393723485176,NO
153,163,0.17587393723485176,NO
154,70,0.17587393723485176,NO
155,55,0.1,NO
156,129,0.17587393723485176,NO
157,78,0.9283333333333333,YES
158,56,0.17587393723485176,NO
159,107,0.17587393723485176,NO
160,55,0.1,NO
161,69,0.36,NO
162,32,0.17587393723485176,NO
163,327,0.17587393723485176,YES
164,50,0.19,NO
165,343,0.17587393723485176,NO
166,72,0.17587393723485176,NO
167,343,0.17587393723485176,YES
168,867,0.17587393723485176,NO
169,183,0.17587393723485176,NO
170,223,0.17587393723485176,NO
171,45,0.03,NO
172,194,0.17587393723485176,NO
173,165,0.17587393723485176,NO
174,183,0.17587393723485176,NO
175,171,0.17587393723485176,NO
176,257,0.17587393723485176,NO
177,63,0.17587393723485176,NO
178,40,0.17587393723485176,NO
179,164,0.17587393723485176,NO
180,57,0.17587393723485176,NO
181,380,0.17587393723485176,NO
182,71,0.17587393723485176,NO
183,261,0.17587393723485176,NO
184,179,0.17587393723485176,NO
185,2009,0.17587393723485176,NO
186,100,0.17587393723485176,NO
187,141,0.17587393723485176,NO
188,54,0.17587393723485176,NO
189,184,0.17587393723485176,NO
190,474,0.73,YES
191,49,0.17587393723485176,NO
192,200,0.17587393723485176,NO
193,94,0.17587393723485176,NO
194,77,0.17587393723485176,NO
195,16883,0.17587393723485176,NO
196,867,0.7,YES
197,106,0.17587393723485176,NO
198,152,0.17587393723485176,NO
199,72,0.17587393723485176,NO
200,373,0.8433333333333333,NO
201,75,0.17587393723485176,NO
202,52,0.17587393723485176,NO
203,86,0.17587393723485176,NO
204,88,0.17587393723485176,YES
205,62,0.17587393723485176,NO
206,153,0.17587393723485176,NO
207,76,0.0,NO
208,47,0.17587393723485176,NO
209,53,0.17587393723485176,NO
210,151,0.17587393723485176,NO
211,37,0.17587393723485176,NO
212,41,0.0,NO
213,677,0.17587393723485176,NO
214,104,0.17587393723485176,NO
215,77,0.17587393723485176,NO
216,39,0.17587393723485176,NO
217,185,0.17587393723485176,NO
218,51,0.17587393723485176,NO
219,126,0.17587393723485176,YES
220,63,0.17587393723485176,NO
221,390,0.17587393723485176,NO
222,84,0.17587393723485176,NO
223,70,0.17587393723485176,NO
224,92,0.17587393723485176,NO
225,89,0.17587393723485176,NO
226,147,0.17587393723485176,NO
227,295,0.17587393723485176,NO
228,83,0.178346159457074,NO
229,99,0.49,NO
230,66,0.17587393723485176,NO
231,82,0.17587393723485176,NO
232,205,0.08,YES
233,101,0.17587393723485176,NO
234,87,0.17587393723485176,NO
235,166,0.17587393723485176,NO
236,44,0.17587393723485176,NO
237,65,0.17587393723485176,NO
238,46,0.17587393723485176,NO
239,637,0.05583333333333334,NO
240,90,0.17587393723485176,NO
241,876,0.17587393723485176,NO
242,92,0.17587393723485176,NO
243,547,0.67,YES
244,56,0.17587393723485176,NO
245,74,0.17587393723485176,NO
246,31,0.01,NO
247,31,0.17587393723485176,NO
248,221,0.17587393723485176,NO
249,377,0.17587393723485176,NO
250,183,0.17587393723485176,NO
251,58,0.17587393723485176,NO
252,60,0.17587393723485176,NO
253,42,0.17587393723485176,NO
254,45,0.17587393723485176,NO
255,84,0.17587393723485176,NO
256,167,0.16,YES
257,62,0.17587393723485176,NO
258,61,0.17587393723485176,NO
259,148,0.17587393723485176,NO
260,335,0.43,YES
261,111,0.17587393723485176,NO
262,129,0.17587393723485176,NO
263,422,0.17587393723485176,YES
264,109,0.17587393723485176,NO
265,160,0.17587393723485176,NO
266,362,0.09818159644647854,YES
267,155,0.17587393723485176,NO
268,274,0.09818159644647854,YES
269,111,0.17587393723485176,NO
270,31,0.17587393723485176,NO
271,159,0.17587393723485176,NO
272,64,0.17587393723485176,NO
273,131,0.6766666666666666,NO
274,43,0.17587393723485176,NO
275,96,0.31,NO
276,74,0.17587393723485176,NO
277,48,0.17587393723485176,NO
278,89,0.17587393723485176,NO
279,191,0.17587393723485176,NO
280,96,0.17587393723485176,NO
281,346,0.17587393723485176,NO
282,47,0.17587393723485176,NO
283,123,0.17587393723485176,NO
284,252,0.17587393723485176,NO
285,132,0.17587393723485176,NO
286,93,0.17587393723485176,NO
287,323,0.17587393723485176,NO
288,101,0.17587393723485176,NO
289,36,0.17587393723485176,NO
290,182,0.17587393723485176,NO
291,550,0.17587393723485176,NO
292,89,0.17587393723485176,NO
293,50,0.17587393723485176,NO
294,190,0.02,NO
295,152,0.17587393723485176,NO
296,142,0.17587393723485176,NO
297,461,0.09818159644647854,YES
298,512,0.17587393723485176,NO
299,106,0.17587393723485176,NO
300,97,0.17587393723485176,NO
301,26,0.17587393723485176,NO
302,156,0.17587393723485176,NO
303,48,0.17587393723485176,NO
304,254,0.17587393723485176,NO
305,69,0.36,NO
306,147,0.17587393723485176,NO
307,207,0.27266666666666667,YES
308,152,0.63,NO
309,68,0.03258560086156912,YES
310,182,0.63,NO
311,72,0.17587393723485176,NO
312,90,0.8909249594442743,NO
313,73,0.7736666666666666,NO
314,132,0.17587393723485176,NO
315,1008,0.6240370577972754,YES
316,262,0.17587393723485176,NO
317,752,0.17587393723485176,NO
318,174,0.17587393723485176,NO
319,1038,0.17587393723485176,NO
320,72,0.7543333333333334,NO
321,76,0.17587393723485176,NO
322,151,0.17587393723485176,NO
323,657,0.17587393723485176,NO
324,187,0.17587393723485176,NO
325,55,0.17587393723485176,NO
326,25,0.17587393723485176,NO
327,215,0.17587393723485176,NO
328,38,0.17587393723485176,NO
329,104,0.17587393723485176,NO
330,211,0.235,NO
331,27,0.17587393723485176,NO
332,160,0.17587393723485176,YES
333,168,0.17587393723485176,NO
334,275,0.09818159644647854,YES
335,214,0.17587393723485176,NO
336,85,0.17587393723485176,NO
337,130,0.17587393723485176,YES
338,872,0.17587393723485176,NO
339,566,0.72,NO
340,92,0.17587393723485176,NO
341,42,0.17587393723485176,NO
342,39,0.17587393723485176,NO
343,99,0.17587393723485176,NO
344,34,0.17587393723485176,NO
345,22,0.17587393723485176,NO
346,31,0.17587393723485176,NO
347,1263,0.17587393723485176,NO
348,277,0.17587393723485176,NO
349,618,0.25103571428571425,YES
350,60,0.17587393723485176,NO
351,64,0.17587393723485176,NO
352,387,0.235,YES
353,372,0.6952857142857144,NO
354,421,0.17587393723485176,NO
355,55,0.1,NO
356,628,0.17587393723485176,YES
357,103,0.17587393723485176,NO
358,42,0.17587393723485176,NO
359,354,0.17587393723485176,YES
360,58,0.17587393723485176,NO
361,56,0.17587393723485176,NO
362,214,0.17587393723485176,NO
363,1126,0.17587393723485176,NO
364,332,0.17587393723485176,NO
365,83,0.17587393723485176,NO
366,319,0.17587393723485176,YES
367,352,0.17587393723485176,YES
368,101,0.17587393723485176,NO
369,54,0.17587393723485176,NO
370,476,0.17587393723485176,NO
371,56,0.17587393723485176,NO
372,76,0.8433333333333333,NO
373,94,0.17587393723485176,NO
374,61,0.17587393723485176,NO
375,167,0.17587393723485176,NO
376,842,0.17587393723485176,NO
377,101,0.17587393723485176,NO
378,84,0.17587393723485176,NO
379,40,0.0,NO
380,140,0.17587393723485176,NO
381,573,0.17587393723485176,NO
382,422,0.17587393723485176,NO
383,50,0.17587393723485176,NO
384,84,0.17587393723485176,NO
385,132,0.17587393723485176,NO
386,33,0.17587393723485176,NO
387,77,0.17587393723485176,NO
388,355,0.17587393723485176,NO
389,382,0.17587393723485176,NO
390,444,0.17587393723485176,NO
