ID,Size,Predicted %,Actual value
0,68,0.2975,YES
1,115,0.13,NO
2,329,0.26,NO
3,35,0.014166666666666666,NO
4,77,0.84,NO
5,63,0.385,NO
6,51,0.0,NO
7,179,0.02,NO
8,282,0.13,NO
9,53,0.08,NO
10,106,0.8740000000000001,NO
11,81,0.9,NO
12,47,0.0,NO
13,45,0.72,NO
14,90,0.5941666666666666,NO
15,860,0.87,YES
16,62,0.0625,NO
17,35,0.014166666666666666,NO
18,172,0.12,NO
19,97,0.3847857142857144,NO
20,27,0.0,NO
21,191,0.04,NO
22,43,0.09,NO
23,45,0.04,NO
24,63,0.2275,NO
25,530,0.26,NO
26,308,0.2,YES
27,50,0.0,NO
28,437,0.21,NO
29,74,0.0,NO
30,62,0.0625,NO
31,48,0.0,NO
32,109,0.35,YES
33,226,0.04,NO
34,356,0.2,NO
35,28,0.0,NO
36,4088,0.24,NO
37,47,0.0,NO
38,1248,0.87,YES
39,128,0.015,NO
40,877,0.49,YES
41,83,0.82,NO
42,849,0.43,YES
43,143,0.16466666666666666,NO
44,43,0.3557857142857143,NO
45,49,0.0,NO
46,24,0.0,NO
47,131,0.015,NO
48,199,0.6258333333333332,NO
49,38,0.3411666666666667,NO
50,69,0.6,NO
51,804,0.29,NO
52,85,0.03,NO
53,156,0.2791666666666666,NO
54,90,0.5941666666666666,NO
55,88,0.08,YES
56,86,0.02,NO
57,476,0.72,YES
58,134,0.025,NO
59,27,0.0,NO
60,39,0.0,NO
61,37,0.024166666666666666,NO
62,162,0.56,NO
63,76,0.18,NO
64,666,0.27,NO
65,189,0.6283333333333333,NO
66,263,0.1,YES
67,1059,0.78,YES
68,45,0.72,NO
69,839,0.67,NO
70,358,0.2,NO
71,136,0.1,YES
72,106,0.8740000000000001,NO
73,237,0.08,NO
74,565,0.27,YES
75,77,0.19,NO
76,69,0.6,NO
77,34,0.0075,NO
78,25,0.0,NO
79,73,0.0,NO
80,624,0.26,NO
81,108,0.35,NO
82,49,0.0,NO
83,213,0.03,NO
84,47,0.0,NO
85,34,0.0075,NO
86,117,0.13,NO
87,63,0.2275,NO
88,70,0.23,NO
89,517,0.25,YES
90,94,0.5651666666666667,NO
91,244,0.09,NO
92,27,0.0,NO
93,47,0.0,NO
94,50,0.0,NO
95,424,0.66,YES
96,314,0.74,YES
97,90,0.48,YES
98,175,0.71,NO
99,50,0.2,NO
100,157,0.2791666666666666,NO
101,248,0.08,NO
102,371,0.2,NO
103,491,0.22,NO
104,180,0.02,NO
105,27,0.0,NO
106,64,0.12749999999999997,NO
107,72,0.235,NO
108,74,0.0,NO
109,32,0.0,NO
110,138,0.1,NO
111,148,0.44,YES
112,74,0.0,YES
113,86,0.09,NO
114,148,0.16399999999999998,NO
115,125,0.045,NO
116,105,0.87,NO
117,271,0.29,YES
118,68,0.59,NO
119,358,0.2,NO
120,83,0.02,NO
121,51,0.0,NO
122,29,0.0,NO
123,37,0.024166666666666666,NO
124,204,0.71,NO
125,98,0.3647857142857143,NO
126,135,0.025,NO
127,92,0.8133333333333332,NO
128,117,0.13,NO
129,117,0.13,NO
130,74,0.0,NO
131,74,0.0,NO
132,108,0.35,YES
133,224,0.49,NO
134,49,0.0,NO
135,123,0.045,NO
136,100,0.13149999999999998,NO
137,53,0.0,NO
138,266,0.12,YES
139,72,0.0,NO
140,27,0.0,NO
141,98,0.3647857142857143,NO
142,36,0.014166666666666666,NO
143,979,0.29,NO
144,535,0.26,NO
145,202,0.02,NO
146,310,0.7525,YES
147,79,0.31,NO
148,67,0.29333333333333333,NO
149,264,0.11,NO
150,44,0.68,NO
151,319,0.22,NO
152,41,0.0,NO
153,163,0.54,NO
154,70,0.23,NO
155,55,0.33699999999999997,NO
156,129,0.015,NO
157,78,0.89,YES
158,56,0.0,NO
159,107,0.84,NO
160,55,0.17,NO
161,69,0.21,NO
162,32,0.0,NO
163,327,0.26,YES
164,50,0.0,NO
165,343,0.2,NO
166,72,0.0,NO
167,343,0.2,YES
168,867,0.29,NO
169,183,0.02,NO
170,223,0.04,NO
171,45,0.04,NO
172,194,0.14,NO
173,165,0.52,NO
174,183,0.02,NO
175,171,0.14,NO
176,257,0.1,NO
177,63,0.385,NO
178,40,0.0,NO
179,164,0.52,NO
180,57,0.0,NO
181,380,0.23,NO
182,71,0.09,NO
183,261,0.1,NO
184,179,0.02,NO
185,2009,0.29,NO
186,100,0.13149999999999998,NO
187,141,0.11083333333333334,NO
188,54,0.0,NO
189,184,0.02,NO
190,474,0.72,YES
191,49,0.0,NO
192,200,0.02,NO
193,94,0.5651666666666667,NO
194,77,0.33,NO
195,16883,0.22,NO
196,867,0.64,YES
197,106,0.8740000000000001,NO
198,152,0.17233333333333334,NO
199,72,0.0,NO
200,373,0.85,NO
201,75,0.01,NO
202,52,0.0,NO
203,86,0.02,NO
204,88,0.08,YES
205,62,0.0625,NO
206,153,0.17233333333333334,NO
207,76,0.3475,NO
208,47,0.0,NO
209,53,0.0,NO
210,151,0.17233333333333334,NO
211,37,0.024166666666666666,NO
212,41,0.0125,NO
213,677,0.27,NO
214,104,0.86,NO
215,77,0.33,NO
216,39,0.0,NO
217,185,0.03,NO
218,51,0.0,NO
219,126,0.015,YES
220,63,0.385,NO
221,390,0.46,NO
222,84,0.02,NO
223,70,0.23,NO
224,92,0.1,NO
225,89,0.16416666666666666,NO
226,147,0.15466666666666665,NO
227,295,0.18,NO
228,83,0.09,NO
229,99,0.22,NO
230,66,0.14666666666666667,NO
231,82,0.12,NO
232,205,0.5625,YES
233,101,0.055,NO
234,87,0.1,NO
235,166,0.52,NO
236,44,0.68,NO
