ID,Size,Predicted %,Actual value
0,68,0.4775,YES
1,115,0.0,NO
2,329,0.21,NO
3,35,0.02,NO
4,77,0.96,NO
5,63,0.14179123654123651,NO
6,51,0.0,NO
7,179,0.0,NO
8,282,0.08,NO
9,53,0.19,NO
10,106,0.61,NO
11,81,0.93,NO
12,47,0.0,NO
13,45,0.95,NO
14,90,0.0025,NO
15,860,0.84,YES
16,62,0.0,NO
17,35,0.02,NO
18,172,0.0,NO
19,97,0.8948809523809524,NO
20,27,0.0,NO
21,191,0.02,NO
22,43,0.02,NO
23,45,0.0,NO
24,63,0.05,NO
25,530,0.18,NO
26,308,0.19,YES
27,50,0.0,NO
28,437,0.18,NO
29,74,0.0,NO
30,62,0.0,NO
31,48,0.0,NO
32,109,0.19,YES
33,226,0.01,NO
34,356,0.18,NO
35,28,0.0,NO
36,4088,0.18,NO
37,47,0.0,NO
38,1248,0.86,YES
39,128,0.0,NO
40,877,0.48,YES
41,83,0.85,NO
42,849,0.35,YES
43,143,0.35510714285714284,NO
44,43,0.0,NO
45,49,0.0,NO
46,24,0.0,NO
47,131,0.0,NO
48,199,0.69,NO
49,38,0.4479722222222222,NO
50,69,0.84,NO
51,804,0.19,NO
52,85,0.0,NO
53,156,0.06392857142857143,NO
54,90,0.0025,NO
55,88,0.0,YES
56,86,0.0,NO
57,476,0.58,YES
58,134,0.0,NO
59,27,0.0,NO
60,39,0.003333333333333333,NO
61,37,0.01,NO
62,162,0.0,NO
63,76,0.02,NO
64,666,0.19,NO
65,189,0.33,NO
66,263,0.08,YES
67,1059,0.82,YES
68,45,0.95,NO
69,839,0.69,NO
70,358,0.18,NO
71,136,0.16,YES
72,106,0.61,NO
73,237,0.07,NO
74,565,0.18,YES
75,77,0.31,NO
76,69,0.84,NO
77,34,0.02,NO
78,25,0.0,NO
79,73,0.0,NO
80,624,0.18,NO
81,108,0.19,NO
82,49,0.0,NO
83,213,0.01,NO
84,47,0.0,NO
85,34,0.02,NO
86,117,0.0,NO
87,63,0.05,NO
88,70,0.02,NO
89,517,0.18,YES
90,94,0.38728571428571434,NO
91,244,0.09,NO
92,27,0.0,NO
93,47,0.0,NO
94,50,0.0,NO
95,424,0.64,YES
96,314,0.8,YES
97,90,0.65,YES
98,175,0.67,NO
99,50,0.12,NO
100,157,0.06392857142857143,NO
101,248,0.09,NO
102,371,0.18,NO
103,491,0.18,NO
104,180,0.0,NO
105,27,0.0,NO
106,64,0.0075,NO
107,72,0.32,NO
108,74,0.0,NO
109,32,0.02,NO
110,138,0.16,NO
111,148,0.73,YES
112,74,0.0,YES
113,86,0.11,NO
114,148,0.1726666666666667,NO
115,125,0.0,NO
116,105,0.61,NO
117,271,0.36,YES
118,68,0.84,NO
119,358,0.18,NO
120,83,0.0,NO
121,51,0.0,NO
122,29,0.0,NO
123,37,0.01,NO
124,204,0.55,NO
125,98,0.8557142857142856,NO
126,135,0.0,NO
127,92,0.37728571428571434,NO
128,117,0.0,NO
129,117,0.0,NO
130,74,0.0,NO
131,74,0.0,NO
132,108,0.19,YES
133,224,0.56,NO
134,49,0.0,NO
135,123,0.0,NO
136,100,0.13,NO
137,53,0.0,NO
138,266,0.08,YES
139,72,0.0,NO
140,27,0.0,NO
141,98,0.8557142857142856,NO
142,36,0.04,NO
143,979,0.18,NO
144,535,0.18,NO
145,202,0.01,NO
146,310,0.81,YES
147,79,0.99,NO
148,67,0.01,NO
149,264,0.08,NO
150,44,0.94,NO
151,319,0.19,NO
152,41,0.0,NO
153,163,0.0,NO
154,70,0.02,NO
155,55,0.23714285714285716,NO
156,129,0.0,NO
157,78,0.96,YES
158,56,0.0,NO
159,107,0.59,NO
160,55,0.67,NO
161,69,0.31,NO
162,32,0.02,NO
163,327,0.21,YES
164,50,0.0,NO
165,343,0.18,NO
166,72,0.0,NO
167,343,0.18,YES
168,867,0.19,NO
169,183,0.0,NO
170,223,0.01,NO
171,45,0.0,NO
172,194,0.23,NO
173,165,0.0,NO
174,183,0.0,NO
175,171,0.0,NO
176,257,0.07,NO
177,63,0.14179123654123651,NO
178,40,0.0,NO
179,164,0.0,NO
180,57,0.0,NO
181,380,0.18,NO
182,71,0.0,NO
183,261,0.08,NO
184,179,0.0,NO
185,2009,0.18,NO
186,100,0.13,NO
187,141,0.08925,NO
188,54,0.0,NO
189,184,0.0,NO
190,474,0.64,YES
191,49,0.0,NO
192,200,0.01,NO
193,94,0.38728571428571434,NO
194,77,0.92,NO
195,16883,0.18,NO
196,867,0.75,YES
197,106,0.61,NO
198,152,0.07559523809523809,NO
199,72,0.0,NO
200,373,0.85,NO
201,75,0.0,NO
202,52,0.01,NO
203,86,0.0,NO
204,88,0.0,YES
205,62,0.0,NO
206,153,0.08142857142857142,NO
207,76,0.37,NO
208,47,0.0,NO
209,53,0.0,NO
210,151,0.07559523809523809,NO
211,37,0.01,NO
212,41,0.0,NO
213,677,0.19,NO
214,104,0.62,NO
215,77,0.92,NO
216,39,0.003333333333333333,NO
217,185,0.01,NO
218,51,0.0,NO
219,126,0.0,YES
