ID,Size,Predicted %,Actual value
0,68,0.38333333333333336,YES
1,115,0.1,NO
2,329,0.19,NO
3,35,0.04,NO
4,77,0.95,NO
5,63,0.4968333333333333,NO
6,51,0.02,NO
7,179,0.02,NO
8,282,0.11,NO
9,53,0.1,NO
10,106,0.8540000000000001,NO
11,81,0.98,NO
12,47,0.03,NO
13,45,0.61,NO
14,90,0.6058333333333333,NO
15,860,0.88,YES
16,62,0.13666666666666663,NO
17,35,0.04,NO
18,172,0.1,NO
19,97,0.9766666666666667,NO
20,27,0.02,NO
21,191,0.03,NO
22,43,0.03,NO
23,45,0.07066666666666667,NO
24,63,0.29,NO
25,530,0.19,NO
26,308,0.16,YES
27,50,0.02,NO
28,437,0.19,NO
29,74,0.02,NO
30,62,0.13666666666666663,NO
31,48,0.02,NO
32,109,0.254,YES
33,226,0.04,NO
34,356,0.18,NO
35,28,0.02,NO
36,4088,0.21,NO
37,47,0.03,NO
38,1248,0.88,YES
39,128,0.0,NO
40,877,0.49,YES
41,83,0.95,NO
42,849,0.42,YES
43,143,0.187,NO
44,43,0.3671666666666667,NO
45,49,0.03,NO
46,24,0.02,NO
47,131,0.0,NO
48,199,0.6300000000000001,NO
49,38,0.46083333333333326,NO
50,69,0.65,NO
51,804,0.24,NO
52,85,0.01,NO
53,156,0.785,NO
54,90,0.6058333333333333,NO
55,88,0.05,YES
56,86,0.01,NO
57,476,0.76,YES
58,134,0.01,NO
59,27,0.02,NO
60,39,0.02,NO
61,37,0.0475,NO
62,162,0.88,NO
63,76,0.2,NO
64,666,0.23,NO
65,189,0.6466666666666667,NO
66,263,0.12,YES
67,1059,0.76,YES
68,45,0.61,NO
69,839,0.75,NO
70,358,0.18,NO
71,136,0.18,YES
72,106,0.8540000000000001,NO
73,237,0.07,NO
74,565,0.19,YES
75,77,0.23,NO
76,69,0.65,NO
77,34,0.04,NO
78,25,0.02,NO
79,73,0.02,NO
80,624,0.21,NO
81,108,0.264,NO
82,49,0.02,NO
83,213,0.03,NO
84,47,0.03,NO
85,34,0.04,NO
86,117,0.1,NO
87,63,0.29,NO
88,70,0.22,NO
89,517,0.19,YES
90,94,0.6046666666666666,NO
91,244,0.07,NO
92,27,0.02,NO
93,47,0.03,NO
94,50,0.02,NO
95,424,0.78,YES
96,314,0.77,YES
97,90,0.56,YES
98,175,0.72,NO
99,50,0.18,NO
100,157,0.785,NO
101,248,0.07,NO
102,371,0.18,NO
103,491,0.18,NO
104,180,0.02,NO
105,27,0.02,NO
106,64,0.34049999999999997,NO
107,72,0.17,NO
108,74,0.02,NO
109,32,0.02,NO
110,138,0.19,NO
111,148,0.5,YES
112,74,0.02,YES
113,86,0.13,NO
114,148,0.22250000000000003,NO
115,125,0.01,NO
116,105,0.8740000000000001,NO
117,271,0.39,YES
118,68,0.68,NO
119,358,0.18,NO
120,83,0.03,NO
121,51,0.02,NO
122,29,0.02,NO
123,37,0.0475,NO
124,204,0.58,NO
125,98,0.3663809523809523,NO
126,135,0.01,NO
127,92,0.7829999999999999,NO
128,117,0.1,NO
129,117,0.1,NO
130,74,0.02,NO
131,74,0.02,NO
132,108,0.264,YES
133,224,0.62,NO
134,49,0.02,NO
135,123,0.01,NO
136,100,0.15121428571428572,NO
137,53,0.02,NO
138,266,0.13,YES
139,72,0.02,NO
140,27,0.02,NO
141,98,0.3663809523809523,NO
142,36,0.04,NO
143,979,0.23,NO
144,535,0.19,NO
145,202,0.02,NO
146,310,0.81,YES
147,79,0.36,NO
148,67,0.285,NO
149,264,0.13,NO
150,44,0.59,NO
151,319,0.18,NO
152,41,0.02,NO
153,163,0.86,NO
154,70,0.22,NO
155,55,0.38,NO
156,129,0.0,NO
157,78,0.99,YES
158,56,0.02,NO
159,107,0.784,NO
160,55,0.26,NO
161,69,0.19,NO
162,32,0.02,NO
