Index,Class,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,Churn,MAX_Churn,AVG_Churn,AVG_Holiday,Buggy
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,35,37,2,0,2,36,35,35,35,17.5,0.0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,231,255,5,0,2,243,224,231,224,46.2,0.0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,92,1576,6,0,3,834,763,92,763,15.333333,0.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,50,56,2,0,2,53,50,50,50,25.0,0.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,29,31,2,0,2,30,29,29,29,14.5,0.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,37,43,2,0,2,40,37,37,37,18.5,0.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,210,4,0,2,195,168,180,168,45.0,0.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,147,147,1,0,1,147,147,147,147,147.0,0.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java,98,100,2,0,2,99,98,98,98,49.0,0.0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,149,155,2,0,2,152,149,149,149,74.5,0.0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,45,45,1,0,1,45,45,45,45,45.0,0.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,105,191,5,0,3,148,103,105,103,21.0,0.0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,227,331,3,0,2,279,226,227,226,75.666664,0.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,98,106,2,0,2,102,98,98,98,49.0,0.0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,96,118,4,0,2,107,95,96,95,24.0,0.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,60,62,2,0,2,61,60,60,60,30.0,0.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,68,90,2,0,2,79,68,68,68,34.0,0.0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,74,82,2,0,2,78,74,74,74,37.0,0.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,603,763,9,0,3,683,573,603,573,67.0,0.0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,62,62,1,0,1,62,62,62,62,62.0,0.0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,84,102,4,0,2,93,83,84,83,21.0,0.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,157,171,3,0,3,164,151,157,151,52.333332,0.0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,35,35,1,0,1,35,35,35,35,35.0,0.0,YES
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,41,43,2,0,2,42,41,41,41,20.5,0.0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,177,185,3,0,2,181,176,177,176,59.0,0.0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,66,92,2,0,2,79,65,66,65,33.0,0.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,84,182,3,0,2,133,83,84,83,28.0,0.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39,59,3,0,2,49,38,39,38,13.0,0.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,53,53,1,0,1,53,53,53,53,53.0,0.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,197,219,4,0,3,208,187,197,187,49.25,0.0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,72,72,1,0,1,72,72,72,72,72.0,0.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,91,101,2,0,2,96,91,91,91,45.5,0.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,169,295,9,0,3,232,140,169,140,18.777779,0.0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,22,22,1,0,1,22,22,22,22,22.0,0.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,248,328,7,0,3,288,198,248,198,35.42857,0.0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,193,193,1,0,1,193,193,193,193,193.0,0.0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,50,50,1,0,1,50,50,50,50,50.0,0.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,74,78,2,0,2,76,73,74,73,37.0,0.0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,98,102,2,0,2,100,97,98,97,49.0,0.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,62,62,1,0,1,62,62,62,62,62.0,0.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,737,1035,3,0,2,886,736,737,736,245.66667,0.0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,48,64,3,0,2,56,48,48,48,16.0,0.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,566,634,4,0,3,600,561,566,561,141.5,0.0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,385,415,6,0,3,400,364,385,364,64.166664,0.0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,46,48,2,0,2,47,46,46,46,23.0,0.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,61,71,3,0,3,66,61,61,61,20.333334,0.0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,29,31,2,0,2,30,29,29,29,14.5,0.0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,56,56,1,0,1,56,56,56,56,56.0,0.0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,204,216,5,0,3,210,124,204,124,40.8,0.0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,393,585,11,0,3,489,209,393,209,35.727272,0.0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,28,28,1,0,1,28,28,28,28,28.0,0.0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,114,132,4,0,2,123,113,114,113,28.5,0.0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1026,1466,14,0,3,1246,545,1026,545,73.28571,0.0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,369,369,1,0,1,369,369,369,369,369.0,0.0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,183,223,4,0,3,203,185,183,185,45.75,0.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,58,62,2,0,2,60,57,58,57,29.0,0.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,728,1134,6,0,2,931,714,728,714,121.333336,0.0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,42,42,1,0,1,42,42,42,42,42.0,0.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,289,291,2,0,2,290,289,289,289,144.5,0.0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,103,164,2,0,2,134,104,104,104,52.0,0.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,181,225,7,0,3,203,178,181,178,25.857143,0.0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,42,42,1,0,1,42,42,42,42,42.0,0.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,64,96,2,0,2,80,64,64,64,32.0,0.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,548,1532,9,0,3,1040,410,548,410,60.88889,0.0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,138,138,1,0,1,138,138,138,138,138.0,0.0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,78,78,1,0,1,78,78,78,78,78.0,0.0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java,52,56,2,0,2,54,52,52,52,26.0,0.0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,58,60,2,0,2,59,58,58,58,29.0,0.0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,137,163,4,0,2,150,136,137,136,34.25,0.0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,58,68,3,0,2,63,58,58,58,19.333334,0.0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,41,41,1,0,1,41,41,41,41,41.0,0.0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,38,42,2,0,2,40,38,38,38,19.0,0.0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69,127,3,0,3,98,94,69,94,23.0,0.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,452,492,4,0,2,472,450,452,450,113.0,0.0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,87,89,2,0,2,88,87,87,87,43.5,0.0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,72,74,2,0,2,73,72,72,72,36.0,0.0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,85,87,2,0,2,86,85,85,85,42.5,0.0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,81,81,1,0,1,81,81,81,81,81.0,0.0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,75,87,2,0,2,81,75,75,75,37.5,0.0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,32,38,2,0,2,35,31,32,31,16.0,0.0,YES
