Dataset, #TrainingReleases, Classifier, Feature, TruePositive, FalsePositive, TrueNegative, FalseNegative, Cost, Precision, Recall, AUC, Kappa, FMeasure
BOOKKEEPER,2,NAIVE_BAYES,NONE,3,12,284,12,0.0,0.2,0.2,0.6599099099099099,0.15945945945945902,0.20000000000000004
BOOKKEEPER,2,NAIVE_BAYES,BESTFIRST,0,0,296,15,0.0,0.0,0.0,0.5823198198198198,0.0,0.0
BOOKKEEPER,2,NAIVE_BAYES,GREEDYSTEPWISE,0,0,296,15,0.0,0.0,0.0,0.5823198198198198,0.0,0.0
BOOKKEEPER,2,NAIVE_BAYES,OVERSAMPLING,4,16,280,11,0.0,0.2,0.26666666666666666,0.6620495495495495,0.1835683033543991,0.2285714285714286
BOOKKEEPER,2,NAIVE_BAYES,UNDERSAMPLING,8,88,208,7,0.0,0.08333333333333333,0.5333333333333333,0.6541666666666667,0.06624316551310012,0.14414414414414412
BOOKKEEPER,2,NAIVE_BAYES,SMOTE,4,20,276,11,0.0,0.16666666666666666,0.26666666666666666,0.6560810810810811,0.15496537821018463,0.2051282051282051
BOOKKEEPER,2,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,5,25,271,10,125.0,0.16666666666666666,0.3333333333333333,0.6244369369369369,0.16876670484917894,0.2222222222222222
BOOKKEEPER,3,NAIVE_BAYES,NONE,1,12,290,54,0.0,0.07692307692307693,0.01818181818181818,0.7611077664057796,-0.03134027838571308,0.02941176470588235
BOOKKEEPER,3,NAIVE_BAYES,BESTFIRST,2,0,302,53,0.0,1.0,0.03636363636363636,0.6152317880794702,0.060012916687366455,0.07017543859649122
BOOKKEEPER,3,NAIVE_BAYES,GREEDYSTEPWISE,2,0,302,53,0.0,1.0,0.03636363636363636,0.6152317880794702,0.060012916687366455,0.07017543859649122
BOOKKEEPER,3,NAIVE_BAYES,OVERSAMPLING,4,15,287,51,0.0,0.21052631578947367,0.07272727272727272,0.7091511137868753,0.03148635317329846,0.1081081081081081
BOOKKEEPER,3,NAIVE_BAYES,UNDERSAMPLING,4,17,285,51,0.0,0.19047619047619047,0.07272727272727272,0.7129440096327514,0.021996615905245175,0.10526315789473682
BOOKKEEPER,3,NAIVE_BAYES,SMOTE,2,13,289,53,0.0,0.13333333333333333,0.03636363636363636,0.756953642384106,-0.009511568123393271,0.05714285714285715
BOOKKEEPER,3,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,2,13,289,53,543.0,0.13333333333333333,0.03636363636363636,0.49665863937387117,-0.009511568123393271,0.05714285714285715
BOOKKEEPER,4,NAIVE_BAYES,NONE,1,3,339,34,0.0,0.25,0.02857142857142857,0.8468671679197995,0.03286417527560119,0.05128205128205128
BOOKKEEPER,4,NAIVE_BAYES,BESTFIRST,0,0,342,35,0.0,0.0,0.0,0.5682121971595656,0.0,0.0
BOOKKEEPER,4,NAIVE_BAYES,GREEDYSTEPWISE,0,0,342,35,0.0,0.0,0.0,0.5682121971595656,0.0,0.0
BOOKKEEPER,4,NAIVE_BAYES,OVERSAMPLING,1,3,339,34,0.0,0.25,0.02857142857142857,0.8419381787802841,0.03286417527560119,0.05128205128205128
BOOKKEEPER,4,NAIVE_BAYES,UNDERSAMPLING,0,5,337,35,0.0,0.0,0.0,0.8284043441938179,-0.02376103190767186,0.0
BOOKKEEPER,4,NAIVE_BAYES,SMOTE,1,5,337,34,0.0,0.16666666666666666,0.02857142857142857,0.84640768588137,0.022211877369156263,0.048780487804878044
