ID,Size,Predicted %,Actual value
0,58,0.9999758185423419,NO
1,125,1.6121231662098982E-5,NO
2,78,1.6121231662098982E-5,NO
3,59,4.836057645807138E-5,NO
4,129,2.418145765826764E-5,NO
5,79,4.836057645807138E-5,NO
6,53,6.045583701106341E-6,NO
7,225,6.909226581176503E-6,NO
8,84,1.6121231662098982E-5,NO
9,26,4.836478656619688E-6,NO
10,65,1.6121231662098982E-5,NO
11,75,2.418145765826764E-5,NO
12,96,6.045583701106341E-6,NO
13,41,6.909226581176503E-6,NO
14,40,1.2401316523762163E-6,NO
15,69,6.909226581176503E-6,NO
16,37,6.909226581176503E-6,NO
17,643,2.418145765826764E-5,NO
18,94,6.909226581176503E-6,NO
19,209,0.9999516394235419,NO
20,188,2.418145765826764E-5,NO
21,143,9.672863748041244E-6,NO
22,425,4.836057645807138E-5,NO
23,221,9.672863748041244E-6,NO
24,84,1.6121231662098982E-5,NO
25,176,4.836057645807138E-5,NO
26,37,6.909226581176503E-6,NO
27,89,4.836057645807138E-5,NO
28,131,1.6121231662098982E-5,NO
29,37,6.909226581176503E-6,NO
30,207,1.6121231662098982E-5,NO
31,489,9.672863748041244E-6,YES
32,49,6.909226581176503E-6,NO
33,107,6.045583701106341E-6,NO
34,42,8.060745780199583E-6,NO
35,61,8.060745780199583E-6,NO
36,127,1.6121231662098982E-5,NO
37,122,4.836057645807138E-5,YES
38,54,4.836057645807138E-5,NO
39,42,8.060745780199583E-6,NO
40,39,2.418145765826764E-5,NO
41,75,4.030405378172936E-6,NO
42,60,4.836057645807138E-5,NO
43,283,1.6121231662098982E-5,NO
44,432,2.418145765826764E-5,NO
45,36,4.836478656619688E-6,NO
46,42,8.060745780199583E-6,NO
47,125,2.418145765826764E-5,NO
48,300,4.836057645807138E-5,NO
49,43,4.836057645807138E-5,NO
50,185,9.672863748041244E-6,NO
51,225,0.9999903271362519,NO
52,80,2.418145765826764E-5,NO
53,170,2.418145765826764E-5,NO
54,90,8.060745780199583E-6,NO
55,66,6.909226581176503E-6,NO
56,75,4.030405378172936E-6,NO
57,204,2.418145765826764E-5,NO
58,74,2.418145765826764E-5,NO
59,43,6.909226581176503E-6,NO
60,225,6.909226581176503E-6,NO
61,99,4.836057645807138E-5,NO
62,120,4.836057645807138E-5,NO
63,74,2.418145765826764E-5,NO
64,73,2.418145765826764E-5,NO
65,97,4.836057645807138E-5,NO
66,271,4.836057645807138E-5,NO
67,130,1.6121231662098982E-5,NO
68,115,2.418145765826764E-5,NO
69,152,2.418145765826764E-5,NO
70,185,4.836057645807138E-5,NO
71,101,4.030405378172936E-6,NO
72,94,6.909226581176503E-6,NO
73,40,1.2401316523762163E-6,NO
74,225,6.909226581176503E-6,NO
75,103,1.6121231662098982E-5,NO
76,32,1.934602690645422E-6,NO
77,228,4.836057645807138E-5,NO
78,66,2.418145765826764E-5,NO
79,170,2.418145765826764E-5,NO
80,176,4.836057645807138E-5,NO
81,102,1.6121231662098982E-5,NO
82,202,2.418145765826764E-5,NO
83,74,2.418145765826764E-5,NO
84,89,8.060745780199583E-6,NO
85,143,9.672863748041244E-6,NO
86,319,9.672863748041244E-6,NO
87,19,6.909226581176503E-6,NO
88,35,1.6121231662098982E-5,NO
89,32,1.934602690645422E-6,NO
90,280,1.6121231662098982E-5,NO
91,69,6.909226581176503E-6,NO
92,75,4.030405378172936E-6,NO
93,173,4.836057645807138E-5,NO
94,28,3.7203765021020125E-6,NO
95,195,2.418145765826764E-5,NO
96,86,1.2091021207651197E-5,NO
97,44,2.418145765826764E-5,NO
98,101,4.836057645807138E-5,NO
99,48,2.418145765826764E-5,NO
100,28,3.7203765021020125E-6,NO
101,305,4.836057645807138E-5,NO
102,31,3.7203765021020125E-6,NO
103,32,1.934602690645422E-6,NO
104,217,2.418145765826764E-5,NO
105,423,4.836057645807138E-5,NO
106,149,2.418145765826764E-5,NO
107,102,1.6121231662098982E-5,NO
108,162,2.418145765826764E-5,NO
109,34,2.418145765826764E-5,NO
110,110,6.045583701106341E-6,NO
111,28,3.7203765021020125E-6,NO
112,48,5.373859398342702E-6,NO
113,68,9.672863748041244E-6,NO
114,66,6.909226581176503E-6,NO
115,36,4.836478656619688E-6,NO
116,164,2.418145765826764E-5,NO
117,65,1.6121231662098982E-5,NO
118,166,1.2091021207651197E-5,NO
119,516,1.6121231662098982E-5,YES
120,27,2.418145765826764E-5,NO
121,38,5.373859398342702E-6,NO
122,29,6.045583701106341E-6,NO
123,110,4.836057645807138E-5,NO
124,45,3.4546371594591416E-6,NO
125,192,1.6121231662098982E-5,YES
126,39,5.373859398342702E-6,NO
127,58,0.9999758185423419,NO
128,19,4.836057645807138E-5,NO
129,198,4.836057645807138E-5,NO
130,49,6.909226581176503E-6,NO
131,52,6.045583701106341E-6,NO
132,35,1.6121231662098982E-5,NO
133,56,4.836057645807138E-5,NO
134,468,1.6121231662098982E-5,NO
135,67,6.045583701106341E-6,NO
136,346,1.6121231662098982E-5,NO
137,33,4.836478656619688E-6,NO
138,383,1.6121231662098982E-5,NO
139,54,4.836057645807138E-5,NO
140,288,1.6121231662098982E-5,NO
141,45,3.4546371594591416E-6,NO
142,52,6.045583701106341E-6,NO
143,634,2.418145765826764E-5,NO
144,30,1.6121231662098982E-5,NO
145,45,9.672863748041244E-6,NO
146,57,9.672863748041244E-6,NO
147,28,3.7203765021020125E-6,NO
148,63,3.4546371594591416E-6,NO
149,119,2.418145765826764E-5,NO
150,167,2.418145765826764E-5,NO
151,41,6.909226581176503E-6,NO
152,74,2.418145765826764E-5,NO
153,203,2.418145765826764E-5,NO
154,30,1.6121231662098982E-5,NO
155,380,1.6121231662098982E-5,NO
156,41,2.418145765826764E-5,NO
157,110,6.045583701106341E-6,NO
158,195,0.9999758185423419,NO
159,54,4.836057645807138E-5,NO
160,37,6.909226581176503E-6,NO
161,165,8.060745780199583E-6,NO
162,100,1.2091021207651197E-5,NO
163,69,6.909226581176503E-6,NO
164,479,1.6121231662098982E-5,NO
165,113,1.6121231662098982E-5,NO
166,46,1.6121231662098982E-5,NO
167,39,5.373859398342702E-6,NO
168,77,4.836057645807138E-5,NO
169,149,9.672863748041244E-6,YES
170,40,1.2401316523762163E-6,NO
171,100,1.2091021207651197E-5,NO
172,55,4.836057645807138E-5,NO
173,28,2.418145765826764E-5,NO
174,133,2.418145765826764E-5,NO
175,229,0.9999879089787923,NO
176,52,6.045583701106341E-6,NO
177,41,6.909226581176503E-6,NO
178,57,9.672863748041244E-6,NO
179,79,4.836057645807138E-5,NO
180,40,2.418145765826764E-5,NO
181,32,1.934602690645422E-6,NO
182,73,5.373859398342702E-6,NO
183,173,4.836057645807138E-5,NO
184,143,4.836057645807138E-5,NO
185,33,4.836478656619688E-6,NO
186,87,2.418145765826764E-5,NO
187,97,4.836057645807138E-5,NO
188,29,6.045583701106341E-6,NO
189,19,6.909226581176503E-6,NO
190,43,6.909226581176503E-6,NO
191,44,2.418145765826764E-5,NO
192,38,2.418145765826764E-5,NO
193,73,5.373859398342702E-6,NO
194,52,6.045583701106341E-6,NO
195,42,8.060745780199583E-6,NO
196,77,4.836057645807138E-5,NO
197,53,6.045583701106341E-6,NO
198,167,2.418145765826764E-5,NO
199,42,8.060745780199583E-6,NO
200,119,2.418145765826764E-5,NO
201,103,9.672863748041244E-6,NO
202,59,4.836057645807138E-5,NO
203,355,1.6121231662098982E-5,NO
204,136,1.2091021207651197E-5,NO
205,82,1.6121231662098982E-5,NO
206,54,4.836057645807138E-5,NO
207,41,6.909226581176503E-6,NO
208,190,4.836057645807138E-5,NO
209,157,9.672863748041244E-6,NO
210,365,9.672863748041244E-6,NO
211,88,1.2091021207651197E-5,NO
212,562,0.9999919392542198,NO
213,41,6.909226581176503E-6,NO
214,53,6.045583701106341E-6,NO
215,118,9.672863748041244E-6,NO
216,122,2.418145765826764E-5,NO
217,100,1.2091021207651197E-5,NO
218,78,1.6121231662098982E-5,NO
219,108,2.418145765826764E-5,NO
220,40,1.2401316523762163E-6,NO
221,100,1.2091021207651197E-5,NO
222,75,2.418145765826764E-5,NO
223,71,4.836057645807138E-5,NO
224,47,1.6121231662098982E-5,NO
225,34,4.3968026451164706E-6,NO
226,89,8.060745780199583E-6,NO
227,41,6.909226581176503E-6,NO
228,116,2.418145765826764E-5,NO
229,411,2.418145765826764E-5,NO
230,138,4.836057645807138E-5,NO
231,76,2.418145765826764E-5,NO
232,190,4.836057645807138E-5,NO
233,135,2.418145765826764E-5,NO
234,31,3.7203765021020125E-6,NO
235,94,6.909226581176503E-6,NO
236,42,2.418145765826764E-5,NO
237,48,5.373859398342702E-6,NO
238,40,1.2401316523762163E-6,NO
239,123,4.836057645807138E-5,NO
240,185,2.418145765826764E-5,NO
241,32,1.934602690645422E-6,NO
242,45,3.4546371594591416E-6,NO
243,92,8.060745780199583E-6,NO
244,376,1.2091021207651197E-5,NO
245,122,2.418145765826764E-5,NO
246,105,2.418145765826764E-5,NO
247,29,2.418145765826764E-5,NO
248,170,2.418145765826764E-5,NO
249,277,1.6121231662098982E-5,NO
250,99,4.836057645807138E-5,NO
251,357,1.6121231662098982E-5,NO
252,38,5.373859398342702E-6,NO
253,56,4.836057645807138E-5,NO
254,205,2.418145765826764E-5,NO
255,244,1.6121231662098982E-5,NO
256,45,3.4546371594591416E-6,NO
257,66,6.909226581176503E-6,NO
258,41,6.909226581176503E-6,NO
259,41,6.909226581176503E-6,NO
260,128,4.836057645807138E-5,NO
261,78,1.6121231662098982E-5,NO
262,242,4.836057645807138E-5,NO
263,127,2.418145765826764E-5,NO
264,31,3.7203765021020125E-6,NO
265,110,2.418145765826764E-5,NO
266,119,4.836057645807138E-5,NO
267,323,0.9999838787683379,NO
268,526,1.6121231662098982E-5,NO
269,43,2.418145765826764E-5,NO
270,60,4.836057645807138E-5,NO
271,117,2.418145765826764E-5,NO
272,26,4.836478656619688E-6,NO
273,114,9.672863748041244E-6,NO
274,63,2.418145765826764E-5,NO
275,47,1.6121231662098982E-5,NO
276,41,6.909226581176503E-6,NO
277,65,2.418145765826764E-5,NO
278,48,5.373859398342702E-6,NO
279,88,1.2091021207651197E-5,NO
280,89,8.060745780199583E-6,NO
281,66,6.909226581176503E-6,NO
282,31,3.7203765021020125E-6,NO
283,120,2.418145765826764E-5,NO
284,84,1.6121231662098982E-5,NO
285,49,4.836057645807138E-5,NO
286,143,9.672863748041244E-6,NO
287,114,9.672863748041244E-6,NO
288,135,1.6121231662098982E-5,NO
289,196,9.672863748041244E-6,NO
290,127,4.836057645807138E-5,NO
291,175,2.418145765826764E-5,NO
292,181,4.836057645807138E-5,NO
293,33,2.418145765826764E-5,NO
294,112,1.2091021207651197E-5,NO
