ID,Size,Predicted %,Actual value
0,210,0.0,NO
1,66,0.0,NO
2,117,0.0,NO
3,45,0.0,NO
4,41,0.0,NO
5,53,1.0,NO
6,34,0.0,NO
7,130,1.0,NO
8,26,0.0,NO
9,127,0.0,YES
10,315,0.0,NO
11,220,1.0,NO
12,172,1.0,NO
13,89,0.0,NO
14,39,0.0,NO
15,37,0.0,NO
16,33,0.0,NO
17,36,0.0,NO
18,62,0.0,NO
19,49,0.0,NO
20,166,0.0,NO
21,79,0.0,NO
22,58,0.0,NO
23,31,0.0,NO
24,47,1.0,NO
25,34,0.0,NO
26,35,0.0,NO
27,89,0.0,NO
28,89,1.0,NO
29,90,0.0,YES
30,33,0.0,NO
31,70,0.0,NO
32,46,0.0,NO
33,125,0.0,YES
34,90,0.0,NO
35,70,0.0,NO
36,155,1.0,NO
37,89,1.0,NO
38,97,0.0,NO
39,30,0.0,NO
40,32,0.0,NO
41,46,0.0,NO
42,155,0.0,NO
43,47,1.0,NO
44,193,0.0,NO
45,113,0.0,NO
46,122,0.0,NO
47,62,0.0,NO
48,32,0.0,NO
49,114,0.0,NO
50,305,1.0,NO
51,44,0.0,NO
52,152,0.0,NO
53,59,0.0,NO
54,101,0.0,NO
55,461,0.0,NO
56,42,0.0,NO
57,97,0.0,NO
58,40,0.0,NO
59,85,0.0,NO
60,67,0.0,NO
61,51,0.0,NO
62,46,0.0,NO
63,43,0.0,NO
64,227,1.0,NO
65,23,0.0,NO
66,231,0.0,NO
67,103,0.0,NO
68,35,0.0,NO
69,108,0.0,NO
70,44,0.0,NO
71,32,0.0,NO
72,101,0.0,NO
73,108,0.0,NO
74,126,0.0,NO
75,35,0.0,NO
76,42,0.0,NO
77,102,0.0,NO
78,65,0.0,NO
79,95,0.0,NO
80,108,0.0,NO
81,180,1.0,NO
82,60,0.0,NO
83,107,0.0,NO
84,110,0.0,NO
85,66,0.0,NO
86,35,0.0,NO
87,46,0.0,NO
88,41,0.0,NO
89,83,0.0,NO
90,25,0.0,NO
91,59,0.0,NO
92,77,0.0,NO
93,217,0.0,NO
94,29,0.0,NO
95,27,0.0,NO
96,92,0.0,NO
97,729,0.0,NO
98,43,0.0,NO
99,26,0.0,NO
100,45,0.0,NO
101,83,0.0,NO
102,69,0.0,NO
103,49,0.0,NO
104,44,0.0,YES
105,39,1.0,NO
106,84,0.0,NO
107,103,0.0,NO
108,53,0.0,NO
109,28,0.0,NO
110,103,0.0,NO
111,160,1.0,NO
112,104,0.0,NO
113,31,0.0,NO
114,45,0.0,NO
115,37,0.0,NO
116,49,0.0,NO
117,105,0.0,NO
118,66,0.0,NO
119,92,0.0,NO
120,25,0.0,NO
121,257,0.0,NO
122,78,0.0,NO
123,479,0.0,NO
124,104,0.0,NO
125,31,0.0,NO
126,189,0.0,NO
127,72,0.0,NO
128,80,0.0,NO
129,138,1.0,NO
130,231,0.0,NO
131,78,0.0,NO
132,30,0.0,NO
133,32,0.0,NO
134,97,0.0,NO
135,188,0.0,YES
136,174,0.0,NO
137,131,0.0,NO
138,28,0.0,NO
139,331,0.0,NO
140,83,0.0,NO
141,43,0.0,NO
142,83,0.0,NO
143,62,0.0,NO
144,23,0.0,NO
145,105,0.0,NO
146,184,0.0,NO
147,140,1.0,NO
148,200,0.0,NO
149,148,0.0,NO
150,93,1.0,NO
151,55,0.0,NO
152,255,0.0,YES
153,262,0.0,NO
154,66,0.0,NO
155,87,1.0,NO
156,69,0.0,NO
157,135,1.0,NO
158,57,1.0,NO
159,23,0.0,NO
160,90,1.0,NO
161,133,0.0,NO
162,48,1.0,NO
163,44,0.0,NO
164,23,0.0,NO
165,39,1.0,NO
166,32,0.0,NO
167,30,0.0,NO
168,78,0.0,NO
169,212,0.0,NO
170,450,0.0,NO
171,37,0.0,NO
172,44,0.0,NO
173,33,0.0,NO
174,106,0.0,NO
175,225,0.0,NO
176,60,0.0,NO
177,207,0.0,YES
178,82,0.0,NO
179,83,0.0,NO
180,25,0.0,NO
181,39,1.0,NO
182,23,0.0,NO
183,119,0.0,NO
184,142,0.0,NO
185,142,0.0,NO
186,83,0.0,NO
187,44,0.0,NO
188,114,0.0,NO
189,38,0.0,NO
190,411,0.0,NO
191,46,0.0,NO
192,86,0.0,NO
193,30,0.0,NO
194,133,0.0,NO
195,66,0.0,NO
196,22,0.0,NO
197,34,0.0,NO
198,114,0.0,NO
199,58,0.0,NO
200,76,0.0,NO
201,89,0.0,NO
202,91,0.0,NO
203,110,1.0,NO
204,149,0.0,NO
205,61,0.0,NO
206,43,0.0,NO
207,251,0.0,NO
208,468,0.0,NO
209,44,0.0,NO
210,42,0.0,NO
211,547,0.0,YES
212,35,0.0,NO
213,108,0.0,YES
214,48,1.0,NO
215,40,0.0,NO
216,104,0.0,NO
217,28,0.0,NO
218,363,0.0,NO
219,30,0.0,NO
220,185,0.0,NO
221,81,0.0,NO
222,123,0.0,NO
223,41,0.0,NO
224,122,0.0,NO
225,131,0.0,NO
226,74,0.0,NO
227,185,0.0,YES
228,95,0.0,NO
229,41,0.0,NO
230,255,0.0,NO
231,162,1.0,NO
232,35,0.0,NO
233,68,0.0,NO
234,48,1.0,NO
235,114,0.0,NO
236,97,0.0,NO
237,103,0.0,NO
238,103,0.0,NO
239,58,0.0,NO
240,31,0.0,NO
241,30,0.0,NO
242,99,0.0,NO
243,106,0.0,NO
244,35,0.0,NO
245,401,0.0,NO
246,89,0.0,NO
247,281,0.0,YES
248,94,0.0,NO
249,29,0.0,NO
250,39,0.0,NO
251,92,0.0,NO
252,166,0.0,NO
253,64,0.0,NO
254,204,0.0,YES
255,204,0.0,YES
256,70,0.0,NO
257,70,0.0,NO
258,166,0.0,NO
259,36,0.0,NO
260,69,0.0,NO
261,160,0.0,NO
262,27,0.0,NO
263,78,0.0,NO
264,177,0.0,NO
265,69,0.0,NO
266,80,1.0,NO
267,33,0.0,NO
268,40,0.0,NO
269,63,0.0,NO
270,209,0.0,NO
271,217,1.0,NO
272,403,0.0,YES
273,283,1.0,NO
274,130,1.0,NO
275,73,0.0,NO
276,60,0.0,NO
277,76,0.0,NO
278,129,1.0,NO
279,39,0.0,NO
280,123,0.0,NO
281,55,0.0,NO
282,43,0.0,NO
283,29,0.0,NO
284,41,0.0,NO
285,61,0.0,NO
286,46,0.0,NO
287,716,1.0,YES
288,318,0.0,NO
289,47,0.0,NO
290,167,0.0,NO
291,198,0.0,NO
292,96,0.0,NO
293,43,0.0,NO
294,176,0.0,NO
295,239,0.0,NO
296,40,0.0,NO
297,183,0.0,NO
298,33,0.0,NO
299,119,0.0,NO
300,252,0.0,YES
301,145,0.0,YES
302,66,0.0,NO
303,32,0.0,NO
304,43,0.0,NO
305,90,1.0,NO
306,46,0.0,NO
