ID,Size,Predicted %,Actual value
0,66,8.16783929612828E-7,NO
1,107,8.16783929612828E-7,NO
2,63,8.16783929612828E-7,NO
3,110,8.16783929612828E-7,NO
4,75,8.16783929612828E-7,NO
5,58,8.16783929612828E-7,NO
6,208,8.16783929612828E-7,NO
7,42,8.16783929612828E-7,NO
8,45,8.16783929612828E-7,NO
9,82,8.16783929612828E-7,NO
10,31,8.16783929612828E-7,NO
11,157,8.16783929612828E-7,NO
12,66,8.16783929612828E-7,NO
13,40,8.16783929612828E-7,NO
14,71,8.16783929612828E-7,NO
15,36,8.16783929612828E-7,NO
16,594,8.16783929612828E-7,NO
17,245,8.16783929612828E-7,NO
18,130,8.16783929612828E-7,NO
19,40,8.16783929612828E-7,NO
20,93,8.16783929612828E-7,NO
21,36,8.16783929612828E-7,NO
22,123,8.16783929612828E-7,NO
23,36,8.16783929612828E-7,NO
24,214,8.16783929612828E-7,YES
25,420,8.16783929612828E-7,NO
26,609,8.16783929612828E-7,NO
27,41,8.16783929612828E-7,NO
28,33,8.16783929612828E-7,NO
29,50,8.16783929612828E-7,NO
30,41,8.16783929612828E-7,NO
31,72,8.16783929612828E-7,NO
32,311,8.16783929612828E-7,NO
33,35,8.16783929612828E-7,NO
34,448,8.16783929612828E-7,NO
35,40,8.16783929612828E-7,NO
36,109,8.16783929612828E-7,NO
37,115,8.16783929612828E-7,NO
38,223,8.16783929612828E-7,NO
39,102,8.16783929612828E-7,NO
40,221,8.16783929612828E-7,NO
41,235,8.16783929612828E-7,NO
42,177,8.16783929612828E-7,NO
43,66,8.16783929612828E-7,NO
44,202,8.16783929612828E-7,NO
45,74,8.16783929612828E-7,NO
46,96,8.16783929612828E-7,NO
47,72,8.16783929612828E-7,NO
48,75,8.16783929612828E-7,NO
49,89,8.16783929612828E-7,NO
50,285,8.16783929612828E-7,NO
51,539,8.16783929612828E-7,NO
52,167,8.16783929612828E-7,NO
53,40,8.16783929612828E-7,NO
54,65,8.16783929612828E-7,NO
55,139,8.16783929612828E-7,NO
56,98,8.16783929612828E-7,NO
57,75,8.16783929612828E-7,NO
58,87,8.16783929612828E-7,NO
59,40,8.16783929612828E-7,NO
60,27,8.16783929612828E-7,NO
61,40,8.16783929612828E-7,NO
62,208,8.16783929612828E-7,NO
63,93,8.16783929612828E-7,NO
64,32,8.16783929612828E-7,NO
65,235,8.16783929612828E-7,NO
66,94,8.16783929612828E-7,NO
67,144,8.16783929612828E-7,NO
68,102,8.16783929612828E-7,NO
69,91,8.16783929612828E-7,NO
70,72,8.16783929612828E-7,NO
71,85,8.16783929612828E-7,NO
72,121,8.16783929612828E-7,NO
73,318,8.16783929612828E-7,NO
74,61,8.16783929612828E-7,NO
75,272,8.16783929612828E-7,NO
76,68,8.16783929612828E-7,NO
77,74,8.16783929612828E-7,NO
78,193,8.16783929612828E-7,NO
79,43,8.16783929612828E-7,NO
80,87,8.16783929612828E-7,YES
81,63,8.16783929612828E-7,NO
82,28,8.16783929612828E-7,NO
83,32,8.16783929612828E-7,NO
84,436,1.5171421896002936E-6,NO
85,136,8.16783929612828E-7,NO
86,135,8.16783929612828E-7,NO
87,53,8.16783929612828E-7,NO
88,59,8.16783929612828E-7,NO
89,62,8.16783929612828E-7,NO
90,453,8.16783929612828E-7,NO
91,66,8.16783929612828E-7,NO
92,29,8.16783929612828E-7,NO
93,49,8.16783929612828E-7,NO
94,50,8.16783929612828E-7,NO
95,143,8.16783929612828E-7,NO
96,38,8.16783929612828E-7,NO
97,194,8.16783929612828E-7,NO
98,85,8.16783929612828E-7,NO
99,151,8.16783929612828E-7,NO
100,54,8.16783929612828E-7,NO
101,95,8.16783929612828E-7,NO
102,63,8.16783929612828E-7,NO
103,46,8.16783929612828E-7,NO
