ID,Size,Predicted %,Actual value
0,66,1.1204983976872912E-5,YES
1,107,2.12300702715326E-5,NO
2,63,1.3909560040615915E-5,NO
3,64,2.6891117863769597E-5,NO
4,93,2.5210507739625877E-5,YES
5,58,8.066467693796885E-5,NO
6,209,8.066467693796885E-5,YES
7,82,2.881180131381814E-5,NO
8,32,6.6128381640116115E-6,NO
9,67,2.372760707082691E-5,NO
10,41,1.26055716626749E-5,NO
11,109,8.066467693796885E-5,NO
12,41,1.26055716626749E-5,NO
13,41,1.26055716626749E-5,YES
14,73,8.066467693796885E-5,NO
15,37,1.7538013644574617E-5,NO
16,642,4.030632809351068E-4,YES
17,245,1.008267795926598E-4,NO
18,185,8.066467693796885E-5,NO
19,151,3.666898903597228E-5,YES
20,369,4.030632809351068E-4,NO
21,200,1.008267795926598E-4,YES
22,60,1.008267795926598E-4,NO
23,167,0.2500504133897963,NO
24,37,1.7538013644574617E-5,NO
25,86,2.5210507739625877E-5,NO
26,129,8.066467693796885E-5,NO
27,37,1.7538013644574617E-5,NO
28,215,3.1027956188525866E-5,YES
29,489,5.762028233938346E-5,NO
30,54,4.481692287007574E-5,NO
31,87,4.0335592126492416E-5,YES
32,42,1.680728763992067E-5,NO
33,127,2.0161290322580642E-4,NO
34,54,4.481692287007574E-5,YES
35,34,1.1525118996853641E-5,NO
36,71,1.9208236491807687E-5,NO
37,247,1.008267795926598E-4,NO
38,313,2.0161290322580642E-4,YES
39,35,2.0168609576055828E-5,NO
40,462,4.030632809351068E-4,NO
41,42,1.680728763992067E-5,NO
42,124,4.0335592126492416E-5,NO
43,43,1.7538013644574617E-5,NO
44,171,4.030632809351068E-4,NO
45,225,5.762028233938346E-5,YES
46,207,8.066467693796885E-5,NO
47,71,1.9208236491807687E-5,NO
48,66,1.1204983976872912E-5,NO
49,76,8.066467693796885E-5,NO
50,204,8.066467693796885E-5,NO
51,75,1.1204983976872912E-5,NO
52,30,3.666898903597228E-5,NO
53,99,5.762028233938346E-5,NO
54,112,2.0168609576055828E-5,NO
55,71,1.9208236491807687E-5,NO
56,73,8.066467693796885E-5,NO
57,104,3.1027956188525866E-5,YES
58,288,1.3442667025137785E-4,YES
59,557,0.9995969367190648,YES
60,148,4.030632809351068E-4,NO
61,107,2.12300702715326E-5,NO
62,152,1.008267795926598E-4,NO
63,144,1.9208236491807687E-5,NO
64,101,2.6891117863769597E-5,YES
65,103,1.3442667025137785E-4,YES
66,40,3.361547925588775E-6,NO
67,121,4.0335592126492416E-5,NO
68,225,5.762028233938346E-5,NO
69,103,1.3442667025137785E-4,NO
70,32,6.6128381640116115E-6,NO
71,246,1.008267795926598E-4,NO
72,151,3.666898903597228E-5,NO
73,145,8.066467693796885E-5,YES
74,103,1.3442667025137785E-4,NO
75,176,1.008267795926598E-4,NO
76,72,8.067639086097843E-6,NO
77,89,4.0335592126492416E-5,NO
78,143,2.6891117863769597E-5,NO
79,319,1.008267795926598E-4,NO
80,19,1.61350178291947E-5,NO
81,278,2.0161290322580642E-4,YES
82,32,6.6128381640116115E-6,NO
83,69,1.301219242430157E-5,NO
84,75,1.1204983976872912E-5,NO
85,181,5.762028233938346E-5,YES
86,28,1.0084508178536132E-5,NO
87,125,8.066467693796885E-5,NO
88,163,4.030632809351068E-4,NO
89,84,3.361344537815126E-5,YES
90,44,3.666898903597228E-5,NO
91,88,3.361344537815126E-5,YES
92,48,1.9208236491807687E-5,NO
93,28,1.0084508178536132E-5,NO
94,253,8.066467693796885E-5,YES
95,31,8.964027358211497E-6,NO
96,32,6.6128381640116115E-6,NO
97,203,4.030632809351068E-4,NO
98,439,4.030632809351068E-4,NO
99,149,1.008267795926598E-4,NO
100,156,5.041847332862761E-5,NO
101,28,1.0084508178536132E-5,NO
102,136,5.041847332862761E-5,YES
103,24,4.030632809351068E-4,YES
104,48,1.9208236491807687E-5,NO
105,65,2.5210507739625877E-5,NO
106,66,1.1204983976872912E-5,NO
107,46,1.9208236491807687E-5,NO
108,174,4.481692287007574E-5,NO
109,452,8.066467693796885E-5,YES
110,192,4.030632809351068E-4,NO
111,29,2.6891117863769597E-5,NO
112,28,1.0084508178536132E-5,NO
113,29,2.6891117863769597E-5,NO
114,79,4.0335592126492416E-5,NO
115,50,2.12300702715326E-5,NO
116,156,5.041847332862761E-5,YES
117,39,2.12300702715326E-5,NO
118,19,1.61350178291947E-5,NO
119,194,8.066467693796885E-5,NO
120,42,1.680728763992067E-5,NO
121,56,2.12300702715326E-5,NO
122,67,2.372760707082691E-5,NO
123,345,4.030632809351068E-4,NO
124,386,4.030632809351068E-4,YES
125,52,3.666898903597228E-5,NO
126,291,4.030632809351068E-4,YES
127,45,1.1864085041761578E-5,NO
128,52,3.666898903597228E-5,NO
129,549,1.008267795926598E-4,NO
130,30,3.666898903597228E-5,NO
131,43,1.7538013644574617E-5,NO
132,57,1.680728763992067E-5,NO
133,28,1.0084508178536132E-5,NO
134,58,8.066467693796885E-5,NO
135,84,3.361344537815126E-5,NO
136,41,1.26055716626749E-5,NO
137,75,1.1204983976872912E-5,NO
138,179,8.066467693796885E-5,YES
139,30,3.666898903597228E-5,NO
140,444,4.030632809351068E-4,YES
141,37,1.7538013644574617E-5,NO
142,110,2.881180131381814E-5,YES
143,208,4.481692287007574E-5,YES
144,59,2.12300702715326E-5,NO
145,37,1.7538013644574617E-5,NO
146,165,3.666898903597228E-5,NO
147,94,2.0168609576055828E-5,NO
148,70,3.1027956188525866E-5,YES
149,484,6.722237160527022E-5,YES
150,118,4.030632809351068E-4,YES
151,46,1.9208236491807687E-5,NO
152,39,2.12300702715326E-5,NO
153,68,2.6891117863769597E-5,YES
154,83,8.066467693796885E-5,NO
155,100,3.666898903597228E-5,NO
156,49,1.301219242430157E-5,NO
157,28,1.0084508178536132E-5,NO
158,98,2.5210507739625877E-5,NO
159,265,2.0161290322580642E-4,YES
160,41,1.26055716626749E-5,NO
161,55,8.066467693796885E-5,NO
162,40,3.361547925588775E-6,NO
163,32,6.6128381640116115E-6,NO
164,66,1.1204983976872912E-5,NO
165,144,1.9208236491807687E-5,YES
166,33,2.12300702715326E-5,NO
167,87,4.0335592126492416E-5,NO
168,81,2.0161290322580642E-4,NO
169,103,1.3442667025137785E-4,YES
170,31,8.964027358211497E-6,NO
171,143,2.6891117863769597E-5,NO
172,19,1.61350178291947E-5,NO
173,31,8.964027358211497E-6,NO
174,84,3.361344537815126E-5,YES
175,46,1.9208236491807687E-5,NO
176,41,1.26055716626749E-5,NO
177,87,4.0335592126492416E-5,NO
178,53,2.12300702715326E-5,NO
179,166,2.0161290322580642E-4,NO
180,78,3.361344537815126E-5,NO
