ID,Size,Predicted %,Actual value
0,58,2.3100023100023102E-4,NO
1,126,2.3100023100023102E-4,NO
2,66,2.3100023100023102E-4,NO
3,64,1.155268022181146E-4,NO
4,129,1.155268022181146E-4,YES
5,78,1.155268022181146E-4,NO
6,53,7.702380035430948E-5,NO
7,226,2.3100023100023102E-4,YES
8,84,1.155268022181146E-4,NO
9,26,7.702380035430948E-5,NO
10,67,7.702380035430948E-5,NO
11,75,3.851486673856109E-5,NO
12,41,4.621712806766188E-5,NO
13,109,7.702380035430948E-5,NO
14,41,4.621712806766188E-5,NO
15,40,1.0047928619515087E-5,NO
16,73,2.3100023100023102E-4,NO
17,37,5.7770075101097634E-5,NO
18,646,2.3100023100023102E-4,NO
19,208,2.3100023100023102E-4,NO
20,187,2.3100023100023102E-4,NO
21,147,1.155268022181146E-4,NO
22,365,2.3100023100023102E-4,NO
23,221,2.3100023100023102E-4,NO
24,84,1.155268022181146E-4,NO
25,176,2.3100023100023102E-4,NO
26,37,5.7770075101097634E-5,NO
27,89,1.155268022181146E-4,NO
28,135,1.155268022181146E-4,NO
29,37,5.7770075101097634E-5,NO
30,215,1.155268022181146E-4,YES
31,489,2.3100023100023102E-4,NO
32,54,2.3100023100023102E-4,NO
33,86,1.155268022181146E-4,NO
34,42,5.7770075101097634E-5,NO
35,61,2.3100023100023102E-4,NO
36,127,2.3100023100023102E-4,NO
37,121,1.155268022181146E-4,YES
38,54,2.3100023100023102E-4,NO
39,42,5.7770075101097634E-5,NO
40,39,7.702380035430948E-5,NO
41,75,3.851486673856109E-5,NO
42,264,2.3100023100023102E-4,NO
43,301,2.3100023100023102E-4,NO
44,426,2.3100023100023102E-4,NO
45,36,3.851486673856109E-5,NO
46,42,5.7770075101097634E-5,NO
47,125,2.3100023100023102E-4,NO
48,300,2.3100023100023102E-4,NO
49,43,5.7770075101097634E-5,NO
50,185,2.3100023100023102E-4,NO
51,232,2.3100023100023102E-4,NO
52,75,3.851486673856109E-5,NO
53,203,2.3100023100023102E-4,NO
54,90,7.702380035430948E-5,NO
55,66,3.3013106203162655E-5,NO
56,75,3.851486673856109E-5,NO
57,204,2.3100023100023102E-4,NO
58,74,1.155268022181146E-4,NO
59,43,5.7770075101097634E-5,NO
60,180,2.3100023100023102E-4,YES
61,99,2.3100023100023102E-4,NO
62,120,4.621712806766188E-5,NO
63,73,2.3100023100023102E-4,NO
64,73,2.3100023100023102E-4,NO
65,103,4.621712806766188E-5,NO
66,287,2.3100023100023102E-4,NO
67,130,1.155268022181146E-4,YES
68,115,2.3100023100023102E-4,NO
69,152,5.7770075101097634E-5,NO
70,144,1.155268022181146E-4,NO
71,101,1.155268022181146E-4,NO
72,102,7.702380035430948E-5,NO
73,40,1.0047928619515087E-5,NO
74,225,2.3100023100023102E-4,NO
