ID,Size,Predicted %,Actual value
0,58,6.66482599027897E-5,NO
1,126,4.304144103714745E-4,NO
2,66,6.703732783378764E-5,NO
3,65,6.703732783378764E-5,YES
4,129,7.650907357562519E-5,YES
5,78,6.792734333964724E-5,YES
6,53,6.651385186719367E-5,NO
7,225,1.240831292633913E-4,YES
8,84,6.851408266258578E-5,NO
9,26,6.66811783856176E-5,NO
10,67,6.715989485957025E-5,NO
11,75,6.775301576734935E-5,NO
12,41,6.634845984893077E-5,NO
13,109,7.22233473688286E-5,NO
14,41,6.634845984893077E-5,NO
15,40,6.635543764195032E-5,NO
16,75,6.775301576734935E-5,YES
17,37,6.637227853661444E-5,NO
18,643,0.05227284019229958,NO
19,208,1.1041111240062731E-4,YES
20,187,9.835797898532577E-5,NO
21,143,8.036695769125346E-5,NO
22,392,6.419905389453905E-4,NO
23,221,1.207798275663652E-4,NO
24,84,6.851408266258578E-5,NO
25,176,9.242407593416839E-5,NO
26,37,6.637227853661444E-5,NO
27,89,6.919837522123681E-5,NO
28,131,7.795471046009614E-4,NO
29,37,6.637227853661444E-5,NO
30,215,1.1611834614431978E-4,YES
31,489,0.0027345641828468935,NO
32,49,6.641918342196807E-5,NO
33,107,7.186691914991204E-5,NO
34,42,6.634845984893077E-5,NO
35,61,6.68226478126776E-5,NO
36,127,7.601844819761623E-5,NO
37,121,7.463188011711418E-5,YES
38,54,6.651385186719367E-5,NO
39,42,6.634845984893077E-5,NO
40,39,6.635543764195032E-5,NO
41,75,6.775301576734935E-5,NO
42,265,1.679153988078752E-4,NO
43,282,1.926935397081793E-4,NO
44,414,8.618526399419771E-4,NO
45,36,6.639899004189235E-5,NO
46,42,6.634845984893077E-5,NO
47,125,7.554219362532097E-5,NO
48,300,2.2753607904714648E-4,NO
49,43,6.635134204671142E-5,NO
50,185,9.730702377191953E-5,NO
51,232,1.2935230183951828E-4,NO
52,80,6.811224031790608E-5,NO
53,203,1.0775958726846691E-4,NO
54,90,6.919837522123681E-5,NO
55,66,6.703732783378764E-5,NO
56,75,6.775301576734935E-5,NO
57,204,1.0775958726846691E-4,NO
58,74,6.758917873298702E-5,NO
59,43,6.635134204671142E-5,NO
60,184,9.6281603152607E-5,YES
61,99,7.056348942785185E-5,NO
62,120,7.419738189750839E-5,NO
63,74,6.758917873298702E-5,NO
64,73,6.758917873298702E-5,NO
65,97,7.026744223975821E-5,NO
66,269,1.7363914447854163E-4,NO
67,130,7.650907357562519E-5,YES
68,115,7.336865979928363E-5,NO
69,152,8.292884621429932E-5,NO
70,148,7.945234777527602E-4,NO
71,101,7.087131465818423E-5,NO
72,102,7.087131465818423E-5,NO
73,40,6.635543764195032E-5,NO
74,225,1.240831292633913E-4,NO
75,103,7.119106099345665E-5,NO
76,32,6.648207694728724E-5,NO
77,246,1.4327675370507756E-4,NO
78,84,6.851408266258578E-5,NO
79,170,8.97726514480903E-5,NO
80,165,8.811286792949122E-5,YES
81,102,7.087131465818423E-5,NO
82,189,9.943505854465908E-5,NO
83,72,6.743575823605193E-5,YES
84,89,6.919837522123681E-5,YES
85,143,8.036695769125346E-5,NO
86,319,2.775749467538882E-4,NO
87,19,6.697038396421436E-5,NO
88,35,0.0033176009957909514,NO
89,32,6.648207694728724E-5,NO
90,280,1.8930814741102895E-4,NO
91,69,6.72926850878632E-5,NO
92,75,6.775301576734935E-5,NO
93,173,9.151807928471383E-5,YES
94,28,6.660484668556637E-5,NO
95,195,1.0282921600222183E-4,NO
96,86,6.873121065696544E-5,NO
97,44,6.635134204671142E-5,NO
98,101,7.087131465818423E-5,YES
99,48,6.63866959510958E-5,NO
100,28,6.660484668556637E-5,NO
101,269,1.7363914447854163E-4,NO
102,31,6.648207694728724E-5,NO
103,32,6.648207694728724E-5,NO
104,215,1.1611834614431978E-4,YES
105,441,0.0012866254753748619,YES
106,32,6.648207694728724E-5,NO
107,149,8.226248000044467E-5,NO
108,102,7.087131465818423E-5,YES
109,162,5.251876898945373E-4,NO
110,34,6.643558407039506E-5,NO
111,110,7.22233473688286E-5,NO
112,28,6.660484668556637E-5,NO
113,48,6.63866959510958E-5,YES
114,68,6.715989485957025E-5,NO
115,66,6.703732783378764E-5,NO
116,164,8.731397867780858E-5,YES
117,65,6.703732783378764E-5,NO
118,166,8.811286792949122E-5,NO
119,512,0.004113969066708652,NO
120,27,6.660484668556637E-5,NO
121,38,6.637227853661444E-5,NO
122,29,6.653848942236965E-5,NO
123,110,7.22233473688286E-5,NO
124,45,6.636408552021686E-5,NO
125,159,8.577609282858145E-5,YES
126,39,6.635543764195032E-5,NO
127,19,6.697038396421436E-5,NO
128,198,1.0401706140304044E-4,NO
129,49,6.641918342196807E-5,NO
130,52,6.646156242390507E-5,NO
131,35,6.639899004189235E-5,NO
132,56,6.657607509541443E-5,NO
133,67,6.715989485957025E-5,NO
134,346,3.6749160859988187E-4,YES
135,386,5.942862150323467E-4,NO
136,52,6.646156242390507E-5,YES
137,289,2.0715888567198964E-4,YES
138,45,6.636408552021686E-5,NO
139,52,6.646156242390507E-5,NO
140,594,0.0193101418372151,NO
141,30,6.653848942236965E-5,NO
142,55,6.657607509541443E-5,NO
143,57,6.66482599027897E-5,NO
144,28,6.660484668556637E-5,NO
145,63,6.692492895987225E-5,NO
146,119,7.419738189750839E-5,NO
147,41,6.634845984893077E-5,NO
148,74,6.758917873298702E-5,NO
149,160,8.577609282858145E-5,NO
150,30,6.653848942236965E-5,NO
151,427,0.0010492336069690075,NO
152,41,6.634845984893077E-5,NO
153,109,7.22233473688286E-5,NO
154,197,5.948957483292319E-4,YES
155,57,6.66482599027897E-5,NO
156,37,6.637227853661444E-5,NO
157,165,8.811286792949122E-5,NO
158,100,7.056348942785185E-5,NO
159,69,6.72926850878632E-5,NO
160,479,0.002320894530916902,NO
161,113,7.297404032282529E-5,NO
162,46,6.636408552021686E-5,NO
163,39,6.635543764195032E-5,YES
164,77,6.792734333964724E-5,NO
165,149,8.226248000044467E-5,YES
166,100,7.056348942785185E-5,NO
167,55,6.657607509541443E-5,NO
168,28,6.660484668556637E-5,NO
169,133,7.753440094201916E-5,NO
170,250,1.4772111205545887E-4,YES
171,52,6.646156242390507E-5,NO
172,41,6.634845984893077E-5,NO
173,57,6.66482599027897E-5,YES
174,79,0.0019529733195775391,NO
175,40,6.635543764195032E-5,NO
176,32,6.648207694728724E-5,NO
177,67,6.715989485957025E-5,YES
178,162,8.653519020448287E-5,NO
179,141,7.976857621195769E-5,NO
180,33,6.643558407039506E-5,NO
181,87,6.895927345152446E-5,NO
182,83,6.851408266258578E-5,NO
183,97,7.026744223975821E-5,NO
184,31,6.648207694728724E-5,YES
185,19,6.697038396421436E-5,NO
186,43,6.635134204671142E-5,NO
187,37,6.637227853661444E-5,NO
188,38,6.637227853661444E-5,NO
189,78,6.792734333964724E-5,NO
190,52,6.646156242390507E-5,NO
191,41,6.634845984893077E-5,NO
192,89,6.919837522123681E-5,YES
193,53,6.651385186719367E-5,NO
194,166,8.811286792949122E-5,NO
195,92,6.94486254240909E-5,NO
196,108,7.186691914991204E-5,YES
197,59,6.673043855489365E-5,NO
198,355,4.12115948340419E-4,NO
199,110,7.22233473688286E-5,NO
200,83,6.851408266258578E-5,NO
201,54,6.651385186719367E-5,NO
202,41,6.634845984893077E-5,YES
203,201,1.0648152882611274E-4,YES
204,157,4.86117827800899E-4,NO
205,365,4.638759486113818E-4,NO
206,64,6.692492895987225E-5,NO
207,541,0.037145066064274215,NO
208,41,6.634845984893077E-5,NO
209,53,6.651385186719367E-5,NO
210,118,7.37763755637893E-5,NO
211,132,7.701430878405435E-5,NO
212,100,7.056348942785185E-5,NO
213,78,6.792734333964724E-5,NO
214,108,7.186691914991204E-5,NO
215,40,6.635543764195032E-5,NO
216,100,7.056348942785185E-5,NO
217,75,6.775301576734935E-5,NO
218,71,6.743575823605193E-5,NO
219,47,6.63866959510958E-5,YES
220,34,6.643558407039506E-5,NO
221,89,6.919837522123681E-5,NO
222,41,6.634845984893077E-5,NO
223,116,7.336865979928363E-5,NO
224,396,6.764029851563564E-4,NO
225,138,7.862018626721681E-5,YES
226,76,6.775301576734935E-5,NO
227,183,9.6281603152607E-5,NO
228,135,7.80696054638094E-5,NO
229,31,6.648207694728724E-5,NO
230,94,6.971013888456503E-5,NO
231,42,6.634845984893077E-5,NO
232,48,6.63866959510958E-5,NO
233,40,6.635543764195032E-5,NO
234,123,7.508007873492335E-5,NO
235,185,9.730702377191953E-5,NO
236,45,6.636408552021686E-5,NO
237,92,6.94486254240909E-5,NO
238,376,5.240758670840184E-4,NO
239,112,4.1030810954079984E-4,YES
240,105,7.152287745729332E-5,NO
241,29,6.653848942236965E-5,NO
242,170,8.97726514480903E-5,NO
243,277,1.860098575050805E-4,NO
244,99,7.056348942785185E-5,NO
245,40,6.635543764195032E-5,NO
246,356,4.12115948340419E-4,NO
247,38,6.637227853661444E-5,NO
248,56,6.657607509541443E-5,NO
249,205,1.0906919018239785E-4,NO
250,244,1.4113641835393218E-4,NO
251,45,6.636408552021686E-5,NO
252,66,6.703732783378764E-5,NO
253,41,6.634845984893077E-5,NO
254,41,6.634845984893077E-5,NO
255,128,7.601844819761623E-5,NO
256,78,6.792734333964724E-5,NO
257,107,7.186691914991204E-5,NO
258,31,6.648207694728724E-5,NO
259,110,7.22233473688286E-5,NO
260,119,7.419738189750839E-5,NO
261,333,3.2184552282830964E-4,NO
262,456,0.001638791386293832,NO
263,43,6.635134204671142E-5,NO
264,60,6.673043855489365E-5,NO
265,117,7.37763755637893E-5,NO
266,26,6.66811783856176E-5,NO
267,114,7.297404032282529E-5,NO
268,62,6.68226478126776E-5,NO
269,47,6.63866959510958E-5,NO
270,41,6.634845984893077E-5,NO
271,65,6.703732783378764E-5,YES
272,48,3.720053034381285E-4,NO
273,88,6.895927345152446E-5,NO
274,65,6.703732783378764E-5,NO
275,66,6.703732783378764E-5,NO
276,33,6.643558407039506E-5,YES
277,79,6.811224031790608E-5,NO
278,84,6.851408266258578E-5,NO
279,49,6.641918342196807E-5,NO
280,143,8.036695769125346E-5,NO
281,117,4.291215376402036E-4,NO
282,135,7.80696054638094E-5,NO
283,196,1.0282921600222183E-4,NO
284,127,7.601844819761623E-5,NO
285,175,9.242407593416839E-5,NO
286,180,9.430509405399796E-5,YES
287,33,6.643558407039506E-5,NO
288,112,7.259232973475592E-5,NO
289,33,6.643558407039506E-5,YES
290,19,6.697038396421436E-5,NO
291,51,6.646156242390507E-5,NO
292,31,6.648207694728724E-5,NO
293,126,4.321778703257568E-4,NO
294,53,6.651385186719367E-5,NO
295,101,7.087131465818423E-5,YES
296,36,6.639899004189235E-5,NO
297,31,3.7898530565151373E-4,NO
298,73,6.758917873298702E-5,YES
299,104,7.119106099345665E-5,NO
300,55,6.657607509541443E-5,NO
301,53,6.651385186719367E-5,NO
302,42,6.634845984893077E-5,NO
303,50,6.641918342196807E-5,NO
304,392,6.419905389453905E-4,NO
305,374,5.112895794489807E-4,NO
306,59,6.673043855489365E-5,NO
307,77,6.792734333964724E-5,NO
308,278,1.860098575050805E-4,NO
309,72,6.743575823605193E-5,NO
310,168,8.89322803580563E-5,NO
311,130,7.650907357562519E-5,NO
312,30,6.653848942236965E-5,NO
313,303,2.3648325628812314E-4,NO
314,131,4.4247393222975566E-4,NO
315,71,6.743575823605193E-5,NO
316,34,6.643558407039506E-5,NO
317,41,6.634845984893077E-5,NO
318,32,6.648207694728724E-5,NO
319,54,6.651385186719367E-5,NO
320,180,9.430509405399796E-5,NO
321,155,8.431539411099472E-5,YES
322,328,3.017988636084007E-4,NO
323,61,6.68226478126776E-5,NO
324,37,6.637227853661444E-5,NO
325,272,1.7661311775148228E-4,NO
326,52,6.431018363413836E-4,NO
327,47,6.63866959510958E-5,NO
328,213,1.1463890733807632E-4,NO
329,102,7.087131465818423E-5,YES
330,91,6.94486254240909E-5,YES
331,107,7.186691914991204E-5,NO
332,88,6.895927345152446E-5,NO
333,43,6.635134204671142E-5,NO
334,52,6.646156242390507E-5,NO
335,64,6.692492895987225E-5,NO
336,96,6.998303588140138E-5,NO
337,252,1.5002815265683405E-4,NO
338,183,9.6281603152607E-5,NO
339,256,0.005211400507959796,NO
340,69,6.72926850878632E-5,NO
341,145,8.098186060131602E-5,NO
342,41,6.634845984893077E-5,NO
343,189,9.943505854465908E-5,NO
344,67,6.715989485957025E-5,NO
345,35,6.639899004189235E-5,NO
346,65,6.703732783378764E-5,NO
347,45,6.636408552021686E-5,NO
348,197,1.0401706140304044E-4,NO
349,70,6.72926850878632E-5,YES
350,267,1.7074060912297695E-4,NO
351,494,0.02842112928450478,YES
352,81,6.830779049713064E-5,NO
353,105,7.152287745729332E-5,NO
354,72,6.743575823605193E-5,NO
355,41,6.634845984893077E-5,NO
356,148,8.161359478249736E-5,NO
357,307,2.459282808581694E-4,YES
358,26,3.801199402831283E-4,NO
359,200,1.0523426324200968E-4,NO
360,94,6.971013888456503E-5,NO
361,68,6.715989485957025E-5,NO
362,100,7.056348942785185E-5,NO
363,105,7.152287745729332E-5,NO
364,91,6.94486254240909E-5,YES
365,38,6.637227853661444E-5,NO
366,133,7.753440094201916E-5,NO
367,64,6.692492895987225E-5,YES
368,143,8.036695769125346E-5,NO
369,162,8.653519020448287E-5,NO
370,69,6.72926850878632E-5,NO
371,412,8.384634117898599E-4,NO
372,50,6.641918342196807E-5,NO
373,35,6.639899004189235E-5,NO
374,76,6.775301576734935E-5,NO
375,163,8.731397867780858E-5,NO
376,63,6.692492895987225E-5,NO
377,43,6.635134204671142E-5,NO
378,94,6.971013888456503E-5,YES
379,57,6.66482599027897E-5,NO
380,157,8.503628923100116E-5,NO
381,250,1.4772111205545887E-4,NO
382,99,7.056348942785185E-5,NO
383,333,3.2184552282830964E-4,NO
384,39,6.635543764195032E-5,NO
385,121,7.463188011711418E-5,NO
386,34,6.643558407039506E-5,NO
387,146,8.098186060131602E-5,NO
388,463,0.001798780899904179,NO
389,191,1.0053887032151872E-4,NO
390,65,6.703732783378764E-5,NO
391,44,6.635134204671142E-5,NO
392,49,6.641918342196807E-5,NO
393,35,6.639899004189235E-5,NO
394,54,6.651385186719367E-5,YES
395,321,2.8337915169552E-4,NO
396,216,1.1611834614431978E-4,YES
397,77,6.792734333964724E-5,NO
398,33,6.643558407039506E-5,NO
399,62,6.68226478126776E-5,NO
400,31,6.648207694728724E-5,NO
401,71,6.743575823605193E-5,NO
402,112,7.259232973475592E-5,NO
403,746,0.40801281470299006,NO
404,62,6.68226478126776E-5,NO
405,461,0.001743531095714345,YES
406,221,1.207798275663652E-4,NO
407,93,6.971013888456503E-5,YES
408,26,6.66811783856176E-5,NO
409,650,0.06194307944511681,NO
410,46,6.636408552021686E-5,NO
411,97,7.026744223975821E-5,NO
412,191,1.0053887032151872E-4,NO
413,110,7.22233473688286E-5,YES
414,92,6.94486254240909E-5,NO
415,34,6.643558407039506E-5,NO
416,316,2.664393853857866E-4,NO
417,206,1.0906919018239785E-4,NO
418,62,6.68226478126776E-5,NO
419,137,7.862018626721681E-5,NO
420,171,9.063443015188907E-5,NO
421,122,7.463188011711418E-5,NO
422,571,0.012002756821262995,NO
423,54,6.651385186719367E-5,NO
424,69,6.72926850878632E-5,NO
425,58,6.66482599027897E-5,NO
426,692,0.1501263702004879,YES
427,44,6.635134204671142E-5,NO
428,45,6.636408552021686E-5,NO
429,41,6.634845984893077E-5,NO
430,245,1.4327675370507756E-4,NO
431,75,6.775301576734935E-5,YES
432,39,6.635543764195032E-5,NO
433,87,6.895927345152446E-5,YES
434,39,6.635543764195032E-5,NO
435,705,0.5753927120351292,NO
436,113,7.297404032282529E-5,NO
