ID,Size,Predicted %,Actual value
0,124,1.0,NO
1,195,0.0,NO
2,48,0.0,NO
3,81,0.0,NO
4,96,0.0,NO
5,73,0.0,NO
6,26,0.0,NO
7,77,0.0,NO
8,47,0.0,NO
9,96,0.0,NO
10,640,1.0,NO
11,641,1.0,NO
12,429,0.0,NO
13,49,0.0,NO
14,30,0.0,NO
15,257,0.0,NO
16,143,0.0,NO
17,68,0.0,NO
18,201,1.0,YES
19,604,1.0,YES
20,49,0.0,NO
21,113,0.0,NO
22,81,0.0,NO
23,47,0.0,NO
24,44,0.0,NO
25,61,0.0,NO
26,127,0.0,NO
27,222,0.0,NO
28,39,0.0,NO
29,51,0.0,NO
30,61,0.0,NO
31,286,1.0,NO
32,516,1.0,NO
33,42,0.0,NO
34,156,0.0,NO
35,134,0.0,NO
36,157,1.0,NO
37,43,0.0,NO
38,86,0.0,NO
39,51,0.0,NO
40,204,0.0,NO
41,74,0.0,NO
42,43,0.0,NO
43,41,0.0,NO
44,94,0.0,NO
45,91,0.0,NO
46,30,0.0,NO
47,273,1.0,NO
48,228,0.0,YES
49,34,0.0,NO
50,204,1.0,NO
51,179,0.0,NO
52,50,0.0,NO
53,112,0.0,NO
54,49,0.0,NO
55,40,0.0,NO
56,63,0.0,NO
57,323,1.0,NO
58,164,0.0,NO
59,256,1.0,NO
60,90,0.0,NO
61,190,0.0,NO
62,172,0.0,NO
63,75,0.0,NO
64,19,0.0,NO
65,35,0.0,NO
66,250,1.0,NO
67,25,0.0,NO
68,29,0.0,NO
69,58,0.0,NO
70,311,1.0,NO
71,67,0.0,NO
72,31,0.0,NO
73,258,0.0,NO
74,110,0.0,NO
75,28,0.0,NO
76,50,0.0,NO
77,69,0.0,NO
78,36,0.0,NO
79,65,0.0,NO
80,77,0.0,NO
81,29,0.0,NO
82,34,0.0,NO
83,45,0.0,NO
84,23,0.0,NO
85,110,0.0,NO
86,468,0.0,NO
87,23,0.0,NO
88,33,0.0,NO
89,39,0.0,NO
90,58,0.0,NO
91,45,0.0,NO
92,30,0.0,NO
93,89,0.0,NO
94,41,0.0,NO
95,78,0.0,NO
96,151,1.0,NO
97,30,0.0,NO
98,103,0.0,NO
99,41,0.0,NO
100,197,0.0,YES
101,44,0.0,NO
102,247,0.0,NO
103,187,0.0,NO
104,71,0.0,NO
105,299,0.0,NO
106,250,0.0,NO
107,100,0.0,NO
108,55,0.0,NO
109,197,0.0,NO
110,41,0.0,NO
111,57,0.0,NO
112,79,0.0,NO
113,40,0.0,NO
114,146,0.0,NO
115,90,0.0,NO
116,67,1.0,NO
117,30,0.0,NO
118,19,0.0,NO
119,38,0.0,NO
120,377,1.0,NO
121,119,0.0,NO
122,54,0.0,NO
123,59,0.0,NO
124,353,0.0,NO
125,58,0.0,NO
126,84,0.0,NO
127,42,0.0,NO
128,209,0.0,NO
129,354,0.0,NO
130,67,0.0,NO
131,78,0.0,NO
132,40,0.0,NO
133,53,0.0,NO
134,25,0.0,NO
135,116,0.0,NO
136,571,1.0,NO
137,320,0.0,NO
138,69,0.0,NO
139,38,0.0,NO
140,40,0.0,NO
141,153,0.0,NO
142,376,0.0,NO
143,78,0.0,NO
144,361,1.0,NO
145,45,0.0,NO
146,66,0.0,NO
147,41,0.0,NO
148,41,0.0,NO
149,110,0.0,NO
150,57,0.0,NO
151,151,0.0,NO
152,159,1.0,NO
153,43,0.0,NO
154,68,0.0,NO
155,82,0.0,NO
156,46,0.0,NO
157,60,0.0,YES
158,53,0.0,NO
159,66,0.0,NO
160,31,0.0,NO
161,120,0.0,NO
162,49,0.0,NO
163,196,0.0,NO
164,175,0.0,NO
165,91,0.0,NO
166,31,0.0,NO
167,129,1.0,NO
168,31,0.0,NO
169,19,0.0,NO
170,55,0.0,NO
171,130,0.0,NO
172,36,0.0,NO
173,70,0.0,NO
174,31,0.0,NO
175,62,0.0,NO
176,66,0.0,NO
177,55,0.0,NO
178,42,0.0,NO
179,435,1.0,NO
180,77,0.0,NO
181,166,0.0,NO
182,89,0.0,NO
183,31,0.0,NO
184,57,0.0,NO
185,115,0.0,NO
186,23,0.0,NO
187,70,0.0,NO
188,197,1.0,NO
189,32,0.0,NO
190,54,0.0,NO
191,47,0.0,NO
192,452,1.0,NO
193,439,1.0,NO
194,46,0.0,NO
195,217,0.0,NO
196,43,0.0,NO
197,108,0.0,NO
198,52,0.0,NO
199,64,0.0,NO
200,184,0.0,NO
201,189,0.0,NO
202,107,0.0,NO
203,35,0.0,NO
204,72,0.0,NO
205,270,0.0,NO
206,404,0.0,NO
207,58,0.0,NO
208,46,0.0,NO
209,202,0.0,NO
210,461,0.0,NO
211,88,1.0,NO
212,26,0.0,NO
213,201,0.0,NO
214,84,0.0,NO
215,79,0.0,NO
216,68,0.0,NO
217,89,0.0,YES
218,162,0.0,NO
219,76,0.0,NO
220,82,0.0,NO
221,50,0.0,NO
222,50,0.0,NO
223,35,0.0,NO
224,98,0.0,NO
225,67,0.0,NO
226,43,0.0,NO
227,130,0.0,YES
228,56,0.0,NO
229,57,0.0,NO
230,101,0.0,NO
231,71,0.0,NO
232,39,0.0,NO
233,106,0.0,NO
234,146,0.0,NO
235,470,1.0,NO
236,46,0.0,NO
237,96,0.0,NO
238,126,0.0,NO
239,46,0.0,YES
240,45,0.0,NO
241,49,0.0,NO
242,33,0.0,NO
243,923,1.0,NO
244,62,0.0,NO
245,206,1.0,NO
246,236,0.0,NO
247,227,0.0,NO
248,117,0.0,NO
249,26,0.0,NO
250,113,0.0,NO
251,45,0.0,NO
252,31,0.0,NO
253,129,0.0,NO
254,69,0.0,NO
255,323,1.0,NO
256,400,1.0,NO
257,19,0.0,NO
258,61,0.0,NO
259,188,1.0,NO
260,111,0.0,NO
261,122,0.0,NO
262,597,1.0,NO
263,54,0.0,NO
264,125,1.0,NO
265,101,0.0,NO
266,856,1.0,NO
267,278,0.0,YES
268,335,1.0,NO
269,79,0.0,NO
270,39,0.0,NO
271,593,1.0,NO
272,116,0.0,NO
273,41,0.0,NO
274,41,0.0,NO
275,60,0.0,NO
276,108,0.0,NO
277,127,1.0,NO
278,58,0.0,NO
279,451,1.0,NO
280,29,0.0,NO
281,37,0.0,NO
282,149,0.0,NO
283,47,0.0,NO
284,97,0.0,NO
285,48,0.0,NO
286,299,0.0,NO
287,163,0.0,NO
288,29,0.0,NO
289,53,0.0,NO
290,162,0.0,NO
291,51,0.0,NO
292,47,0.0,NO
293,37,0.0,NO
294,133,0.0,YES
295,34,0.0,NO
296,203,0.0,NO
297,76,0.0,NO
298,63,0.0,NO
299,51,0.0,NO
300,35,0.0,NO
301,93,0.0,NO
302,181,0.0,NO
303,41,0.0,NO
304,53,0.0,NO
305,401,1.0,NO
306,93,0.0,NO
307,206,0.0,NO
308,61,0.0,NO
309,32,0.0,NO
310,97,0.0,NO
311,23,0.0,NO
312,28,0.0,NO
313,178,0.0,NO
314,285,1.0,NO
315,73,0.0,NO
316,37,0.0,NO
317,232,0.0,NO
318,117,0.0,NO
319,54,0.0,NO
320,58,0.0,NO
321,29,0.0,NO
322,40,0.0,NO
323,114,0.0,NO
324,184,0.0,NO
325,273,0.0,NO
326,132,0.0,NO
327,87,0.0,YES
328,37,0.0,NO
329,105,0.0,NO
330,38,0.0,NO
331,54,0.0,NO
332,176,0.0,NO
333,719,1.0,NO
334,125,0.0,NO
335,117,0.0,NO
336,44,0.0,NO
337,122,0.0,NO
338,23,0.0,NO
339,49,0.0,NO
340,50,0.0,NO
341,69,0.0,NO
342,35,0.0,NO
343,122,0.0,NO
344,106,0.0,NO
345,72,0.0,NO
346,70,0.0,NO
347,108,0.0,NO
348,59,0.0,NO
349,57,0.0,NO
350,600,1.0,NO
351,99,0.0,NO
352,414,0.0,NO
353,50,0.0,NO
354,79,0.0,NO
355,45,0.0,NO
356,32,0.0,NO
357,55,0.0,NO
358,113,0.0,NO
359,130,0.0,NO
360,37,0.0,NO
361,76,0.0,NO
362,70,0.0,NO
363,90,0.0,NO
364,35,0.0,NO
365,186,0.0,NO
366,214,0.0,NO
367,116,1.0,NO
368,281,0.0,NO
369,110,1.0,NO
370,39,0.0,NO
371,31,0.0,NO
372,306,0.0,NO
373,211,1.0,NO
374,141,0.0,NO
375,54,0.0,NO
376,59,0.0,NO
377,89,0.0,NO
378,48,0.0,NO
379,52,0.0,NO
380,54,0.0,NO
381,203,0.0,NO
382,196,0.0,NO
383,30,0.0,NO
384,215,0.0,NO
385,49,0.0,NO
386,40,0.0,NO
387,78,0.0,NO
388,133,1.0,NO
