ID,Size,Predicted %,Actual value
0,222,0.04649285915378261,NO
1,44,0.024783249463150196,NO
2,66,0.024884646312448046,NO
3,117,0.027261964247561755,NO
4,45,0.024783249463150196,NO
5,187,0.03698483948335017,NO
6,129,0.028273597323057502,NO
7,254,0.059623275458925214,NO
8,26,0.025090999249004025,NO
9,309,0.1000365537960646,NO
10,218,0.04486204878667699,NO
11,94,0.025792646221910367,NO
12,37,0.02487798021648398,NO
13,30,0.025007824108802635,NO
14,36,0.02487798021648398,NO
15,62,0.02481662183730107,NO
16,53,0.024762856225088767,NO
17,49,0.016477041226715314,NO
18,170,0.03347197922635672,NO
19,79,0.02519923877536341,NO
20,31,0.024970818961135295,NO
21,47,0.02477323888329678,NO
22,31,0.016617102747480027,NO
23,32,0.024970818961135295,NO
24,35,0.02490590841848885,NO
25,90,0.025565816999730265,NO
26,89,0.025565816999730265,NO
27,39,0.024831128932398965,NO
28,70,0.016599785945007307,NO
29,47,0.02477323888329678,NO
30,136,0.028943730046758535,YES
31,112,0.026770027773389618,NO
32,71,0.024979739795986767,NO
33,150,0.03050425445268156,NO
34,90,0.025565816999730265,NO
35,97,0.025874876371283544,NO
36,34,0.024936851044076284,NO
37,30,0.025007824108802635,NO
38,38,0.02485305663540395,NO
39,81,0.02525242441410623,NO
40,25,0.025137198538534574,NO
41,132,0.028599939396037014,NO
42,47,0.02477323888329678,NO
43,201,0.040117258669025435,NO
44,80,0.016770421532310273,NO
45,95,0.025792646221910367,NO
46,122,0.027671321548606086,NO
47,52,0.024761005794842597,NO
48,111,0.026770027773389618,NO
49,32,0.024970818961135295,NO
50,117,0.027261964247561755,NO
51,54,0.024767670933505296,NO
52,467,0.5412917945744211,NO
53,264,0.06500362715039995,NO
54,41,0.01651064237315949,NO
55,123,0.027671321548606086,NO
56,47,0.02477323888329678,NO
57,42,0.02481218941960722,NO
58,51,0.024761005794842597,NO
59,46,0.02477323888329678,NO
60,103,0.02623769319700421,NO
61,110,0.026656358117069474,NO
62,40,0.024831128932398965,NO
63,118,0.027261964247561755,NO
64,32,0.024970818961135295,NO
65,36,0.02487798021648398,NO
66,108,0.026546329171797327,NO
67,35,0.02490590841848885,NO
68,42,0.02481218941960722,NO
69,96,0.025874876371283544,NO
70,160,0.03188655514488872,NO
71,206,0.041436612903829835,NO
72,412,0.3141877510085422,NO
73,111,0.026770027773389618,NO
74,73,0.025017502441223045,NO
75,139,0.029305489871505358,NO
76,60,0.024799922772567543,NO
77,88,0.025496737675381752,NO
78,107,0.02643990090275499,NO
79,107,0.02643990090275499,NO
80,35,0.02490590841848885,NO
81,46,0.02477323888329678,NO
82,83,0.02530874661054988,NO
83,33,0.024936851044076284,NO
84,101,0.026141840569018783,NO
85,195,0.03887946354550428,NO
86,59,0.024799922772567543,NO
87,77,0.02510220306638134,NO
88,217,0.04486204878667699,NO
89,652,0.9965329503536254,NO
90,306,0.09668193395079229,NO
91,46,0.02477323888329678,NO
92,34,0.024936851044076284,NO
93,92,0.025638144141487452,NO
94,25,0.025137198538534574,NO
95,879,0.9999999868059104,YES
96,47,0.02477323888329678,YES
97,39,0.024831128932398965,NO
98,593,0.9454683001504397,NO
99,90,0.025565816999730265,NO
100,401,0.2812472979123776,NO
101,105,0.02633703466806254,NO
102,51,0.024761005794842597,NO
103,365,0.18563797275179855,NO
104,82,0.02525242441410623,NO
105,101,0.026141840569018783,NO
106,45,0.024783249463150196,NO
107,49,0.016477041226715314,NO
108,105,0.02633703466806254,NO
109,66,0.024884646312448046,NO
110,25,0.025137198538534574,NO
111,313,0.987761638114417,NO
