ID,Size,Predicted %,Actual value
0,210,0.04144373278915496,NO
1,143,0.01882251210709909,NO
2,40,0.01534971695797239,NO
3,218,0.5129684148906138,NO
4,237,1.0,YES
5,48,0.01530614734766228,NO
6,76,0.030929825809133962,NO
7,41,0.015341471796169761,NO
8,34,0.015414408141454207,NO
9,130,0.017823396746037078,NO
10,26,0.015543607851059899,NO
11,113,0.025414968664613735,YES
12,215,0.029484716794962694,NO
13,97,0.03222022410499279,NO
14,63,0.015354609766100823,NO
15,63,0.015354609766100823,NO
16,42,0.015334387507515125,NO
17,31,0.023011040726099528,NO
18,30,0.015473229743744295,NO
19,65,0.015373783287998925,NO
20,49,0.9928107944918593,YES
21,90,0.10676977806368661,NO
22,52,0.09740891825313419,NO
23,61,0.0153380365043167,NO
24,49,0.015304057888473473,NO
25,32,0.015441862486445728,NO
26,166,0.02114051460662015,NO
27,79,0.01559531157354657,NO
28,31,0.015457143342103933,NO
29,80,0.07250158105480088,NO
30,47,0.015309019489287166,NO
31,35,0.015401488496018577,NO
32,101,0.1704301605387325,NO
33,78,0.021861058566376556,NO
34,123,0.01736985821220689,NO
35,254,0.9999989442959977,NO
36,80,0.07764441485070375,NO
37,77,0.022937091972261618,NO
38,47,0.02232229747241118,NO
39,70,0.015435282892244955,NO
40,50,0.015302800089390722,NO
41,29,0.023102372406197842,YES
42,77,0.06513794253539676,YES
43,153,0.01973485704210068,YES
44,40,0.01534971695797239,NO
45,109,0.032486306885137615,YES
46,91,0.0232883065522006,NO
47,71,0.05330496161699159,NO
48,70,0.015435282892244955,NO
49,140,0.5537322025767545,YES
50,142,0.7489773606748049,NO
51,218,0.05937471461891935,NO
52,59,0.015324926316128494,NO
53,155,0.01993303013345309,NO
54,50,0.03080957002103016,NO
55,85,0.03196670068246128,NO
56,32,0.015441862486445728,NO
57,159,0.02035276801497898,NO
58,23,0.015605113657292153,NO
59,60,0.01533128604071411,NO
60,167,0.021262352836511747,NO
61,123,0.01736985821220689,NO
62,50,0.015302800089390722,NO
63,57,0.015314795110833638,NO
64,96,0.02369945239311411,NO
65,66,0.02262539162091429,NO
66,203,0.9991100376545076,NO
67,51,0.015302234003156437,NO
68,53,0.07615541551189296,NO
69,309,0.14197468225092946,NO
70,77,0.015554591083789966,NO
71,432,0.7532061150840902,YES
72,186,0.994155084072077,YES
73,41,0.033738508206303953,NO
74,44,0.01532204246196407,NO
75,62,0.015345928788716868,NO
76,32,0.015441862486445728,YES
77,42,0.015334387507515125,NO
78,40,0.01534971695797239,NO
79,53,0.0153033761044285,NO
80,128,0.9939006976975465,NO
81,52,0.015302450008629388,NO
82,90,0.2377250451358411,YES
83,57,0.015314795110833638,NO
84,40,0.01534971695797239,NO
85,361,0.2565959362519232,NO
86,108,0.024415281734664878,NO
87,73,0.051007184893899694,YES
88,67,0.015395963813369431,NO
89,35,0.015401488496018577,NO
90,323,0.9999634354655937,YES
91,148,0.9996343485532637,YES
92,44,0.01532204246196407,NO
93,69,0.05002775239795421,NO
94,414,0.892769888959799,NO
95,32,0.015441862486445728,NO
96,95,0.06684523864984486,NO
97,126,0.017558682186179536,NO
98,32,0.02368702829221832,NO
99,42,0.015334387507515125,NO
100,102,0.016304074009496645,NO
101,93,0.01597319823809182,NO
102,33,0.02235251554862473,NO
103,65,0.015373783287998925,NO
104,95,0.023473932340351705,NO
105,94,0.0160070790600207,NO
106,202,0.3544172679786487,NO
107,65,0.015373783287998925,YES
108,107,0.01651844996787902,NO
109,79,0.022996687698021625,NO
110,51,0.015302234003156437,NO
111,47,0.015309019489287166,NO
112,103,0.016346022464024414,NO
113,53,0.02278386652011149,NO
114,40,0.025989764924176338,NO
115,27,0.015525352322028478,NO
116,80,0.023331894725927293,NO
117,199,0.9985887212385716,NO
118,106,0.06239502147322097,NO
119,25,0.015563674780849216,NO
120,37,0.015378615052064584,NO
121,60,0.01533128604071411,NO
122,59,0.015324926316128494,NO
123,30,0.015473229743744295,NO
124,28,0.022943120488078717,NO
125,72,0.022807324788355943,NO
126,189,0.036110877343823664,NO
127,29,0.01548921477177898,NO
128,374,0.9983404314335124,YES
129,38,0.015368039602562878,NO
130,36,0.024692620433955637,NO
131,106,0.26282942239557916,NO
132,43,0.015327675867567336,NO
133,26,0.015543607851059899,NO
134,61,0.0153380365043167,NO
135,121,0.017247217009562606,NO
136,47,0.022459082954357116,NO
137,59,0.2220230540943334,NO
138,52,0.015302450008629388,NO
139,49,0.015304057888473473,NO
140,91,0.023333741449803286,NO
141,53,0.0153033761044285,NO
142,49,0.022315114402577916,YES
143,39,0.015358751385597022,NO
144,103,0.016346022464024414,NO
145,55,0.022133145576912906,NO
146,28,0.015506876993912818,NO
147,77,0.022937091972261618,NO
148,128,0.03540873978619389,YES
149,356,0.9774303092727854,YES
150,40,0.025989764924176338,NO
151,207,0.04033404109862869,YES
152,105,0.01643042332577235,NO
153,114,0.016860059393250724,NO
154,48,0.02257343600324886,YES
155,46,0.015312462832957842,NO
156,53,0.0153033761044285,NO
157,110,0.016658694033376414,NO
158,66,0.015384796924652902,NO
159,107,0.01651844996787902,NO
160,66,0.015384796924652902,NO
161,37,0.02497890824449161,NO
162,249,0.0574156063146511,NO
163,49,0.015304057888473473,NO
164,78,0.015574011025235368,NO
165,57,0.015314795110833638,NO
166,57,0.035944887393608016,NO
167,41,0.02636222889731826,NO
168,31,0.015457143342103933,NO
169,64,0.01536356255843983,NO
170,55,0.015307637084644693,NO
171,42,0.026766957371887626,NO
172,66,0.015384796924652902,NO
173,300,0.9936816959732815,NO
174,64,0.01536356255843983,NO
175,317,0.9999999999729565,YES
176,71,0.022784307381593528,NO
177,67,0.04706412673754663,NO
178,31,0.0234774208744303,NO
179,32,0.015441862486445728,NO
180,188,0.03554770620370628,NO
181,272,0.09557898259363956,NO
182,142,0.06947872770399503,NO
183,28,0.015506876993912818,NO
184,339,0.15324279565066176,NO
185,51,0.022312473896529485,NO
186,64,0.01536356255843983,NO
187,44,0.01532204246196407,NO
188,39,0.015358751385597022,NO
189,105,0.01643042332577235,NO
190,44,0.02761206043734847,NO
191,32,0.015441862486445728,NO
192,127,0.017621460199530325,NO
193,204,0.04624186818304646,YES
194,45,0.015316860497372523,NO
195,104,0.016386632674630332,NO
196,50,0.015302800089390722,NO
197,49,0.015304057888473473,YES
198,61,0.0153380365043167,NO
199,319,0.7701588989900482,YES
200,186,0.994155084072077,YES
201,114,0.08001548950813002,YES
202,248,0.9999974701957481,YES
203,334,0.49676252670506793,NO
204,57,0.015314795110833638,NO
205,129,0.26436657495010535,NO
206,75,0.015516981759419814,NO
207,32,0.015441862486445728,NO
208,78,0.015574011025235368,NO
209,219,0.9998718353982569,YES
210,37,0.015378615052064584,NO
211,52,0.2753187046153104,NO
212,195,0.03716025703633449,NO
213,334,0.9999999999989762,YES
214,44,0.01532204246196407,NO
215,239,0.05153245326391709,NO
216,261,0.0446030667188669,NO
217,79,0.01559531157354657,NO
218,30,0.023282033546175383,NO
219,93,0.121042966286662,NO
220,66,0.02268856762259724,NO
221,39,0.015358751385597022,NO
222,58,0.015319625919969397,NO
223,72,0.05497428686323221,NO
224,141,0.03625189411153059,NO
225,241,0.9754915047386808,NO
226,49,0.030202503881116612,NO
227,67,0.015395963813369431,NO
228,52,0.015302450008629388,NO
229,44,0.022596704858507632,NO
230,114,0.016860059393250724,NO
231,158,0.029581231276198338,NO
232,65,0.044412115689232236,NO
233,66,0.5343430249916651,YES
