ID,Size,Predicted %,Actual value
0,209,0.05698928899141927,NO
1,224,0.06445184490878368,NO
2,109,0.034252479280564525,NO
3,60,0.031679027881133,NO
4,68,0.1469852432439188,NO
5,78,0.03220410672532776,NO
6,34,0.03179146282306277,NO
7,130,0.03682064776913745,NO
8,114,0.03485557860406427,YES
9,211,0.0587096796536687,NO
10,63,0.031752542487847875,NO
11,31,0.03184263837996801,NO
12,65,0.031752542487847875,NO
13,90,0.0328393883187637,NO
14,166,0.04351884677916747,NO
15,65,0.031752542487847875,NO
16,31,0.03184263837996801,NO
17,80,0.03229375196008416,NO
18,47,0.03160393788276167,NO
19,35,0.03174642538522384,NO
20,106,0.03406666238006287,NO
21,257,0.0850704338203373,NO
22,70,0.03190876045483995,NO
23,77,0.03212082973275159,YES
24,153,0.04049002828115977,YES
25,121,0.056878226513795,YES
26,52,0.03160480789090544,NO
27,71,0.031973197796597685,NO
28,143,0.039013262542257336,NO
29,143,0.039013262542257336,NO
30,265,0.09174425406079544,NO
31,55,0.03162981940563605,NO
32,61,0.04991830461216799,NO
33,233,0.10702304188075618,NO
34,167,0.04400197336503187,NO
35,123,0.03602019352016099,NO
36,50,0.03160135657257466,NO
37,195,0.05234245597418505,NO
38,309,0.14424261525152962,NO
39,73,0.031973197796597685,NO
40,219,0.09716603200994835,NO
41,422,0.49748665485369525,NO
42,41,0.031674668191219016,NO
43,44,0.03162720745269458,NO
44,62,0.05026944535006177,NO
45,61,0.19156864187125805,NO
46,482,0.8624052867443089,NO
47,32,0.03184263837996801,NO
48,102,0.03371720310563082,NO
49,93,0.032968427478714146,NO
50,93,0.032968427478714146,NO
51,94,0.03310426517818586,NO
52,153,0.06372789449063045,NO
53,107,0.034252479280564525,NO
54,65,0.031752542487847875,NO
55,47,0.03160393788276167,NO
56,103,0.03388827117650141,NO
57,61,0.031679027881133,NO
58,80,0.03229375196008416,NO
59,56,0.03162981940563605,NO
60,203,0.05535756613183038,NO
61,90,0.0328393883187637,NO
62,337,0.770326359875583,YES
63,30,0.03189998051063288,NO
64,28,0.03196352112720028,NO
65,63,0.031752542487847875,NO
66,269,0.16837690662840205,NO
67,373,0.8434549833212469,NO
68,26,0.0320332956267118,NO
69,51,0.08923551330178242,NO
70,85,0.060891208574319795,NO
71,121,0.0355296491989608,NO
72,52,0.03160480789090544,NO
73,27,0.056606903844290325,NO
74,82,0.03238981563539535,NO
75,61,0.11708197019113803,NO
76,79,0.03229375196008416,NO
77,107,0.9388758997436016,NO
78,103,0.03388827117650141,NO
79,69,0.7657996503562181,NO
80,26,0.0320332956267118,NO
81,371,0.2962107008810156,NO
82,182,0.04778028192222886,NO
83,53,0.03160480789090544,NO
84,109,0.034252479280564525,NO
85,66,0.031798463482787365,NO
86,37,0.03174642538522384,NO
87,249,0.07906930394809612,NO
88,49,0.03160393788276167,NO
89,78,0.03220410672532776,NO
90,57,0.03162981940563605,NO
91,37,0.06460023281029005,NO
92,31,0.03184263837996801,NO
93,42,0.0316479086072976,NO
94,297,0.1267952302827156,NO
95,31,0.03184263837996801,NO
96,32,0.03184263837996801,NO
97,291,0.12156189712872137,NO
98,142,0.03867053841341831,NO
99,28,0.03196352112720028,NO
100,339,0.2061680469537119,NO
101,70,0.05057417937901894,NO
102,44,0.03162720745269458,NO
103,32,0.03184263837996801,NO
104,45,0.03162720745269458,NO
105,62,0.031712737987645546,NO
106,43,0.03162720745269458,NO
107,342,0.7072386132949344,NO
108,150,0.1081649092199112,NO
109,309,0.14424261525152962,YES
110,58,0.05936033475540283,NO
111,83,0.03249235162418333,NO
112,201,0.053810029533014093,NO
113,198,0.0827172061220233,NO
114,334,0.19261890836195963,YES
115,80,0.03229375196008416,NO
116,41,0.031674668191219016,NO
117,116,0.03507221633875386,NO
118,44,0.03162720745269458,NO
119,119,0.7752976298460694,NO
120,87,0.03271707468904881,NO
121,95,0.05227359020531161,NO
122,70,0.03190876045483995,NO
123,30,0.03189998051063288,NO
124,83,0.03249235162418333,NO
125,141,0.03833797167912376,NO
126,52,0.03160480789090544,NO
127,65,0.031752542487847875,NO
128,69,0.03185052648788008,NO
129,100,0.03355336006267099,NO
130,53,0.03160480789090544,NO
131,60,0.031679027881133,NO
132,22,0.03219170547324237,NO
133,73,0.031973197796597685,NO
134,34,0.03179146282306277,NO
135,155,0.041295146643529755,NO
136,91,0.032968427478714146,NO
137,79,0.05086836477837767,NO
138,252,0.147074624219062,NO
