ID,Size,Predicted %,Actual value
0,66,9.389856654199066E-5,NO
1,107,0.0012607564197883703,NO
2,62,1.8702666650395678E-4,NO
3,63,9.274178585236847E-5,NO
4,58,9.164258501770348E-5,NO
5,208,0.0026122517549005846,NO
6,42,8.695358774742583E-5,NO
7,45,8.778871589855243E-5,NO
8,82,1.0061372765568134E-4,NO
9,31,8.473566966038297E-5,NO
10,66,1.8935925239844028E-4,NO
11,40,8.695358774742583E-5,NO
12,109,2.322481681718987E-4,NO
13,40,1.7535499467180064E-4,NO
14,41,1.7535499467180064E-4,NO
15,71,1.9438761672555E-4,NO
16,36,8.54282067667767E-5,NO
17,643,0.8739784316671322,NO
18,245,3.432206966956403E-4,NO
19,130,1.3000716177248516E-4,NO
20,93,1.0546801232848281E-4,NO
21,36,8.54282067667767E-5,NO
22,128,0.021857863420524055,NO
23,36,8.54282067667767E-5,NO
24,214,5.046373338234541E-4,YES
25,483,0.13361430502338875,NO
26,611,0.7552701326397696,NO
27,41,1.7535499467180064E-4,NO
28,127,2.5662237474405916E-4,NO
29,54,0.0010105878964841964,NO
30,72,9.639225235084613E-5,NO
31,312,0.12243676022042652,NO
32,35,8.54282067667767E-5,NO
33,451,0.9999999998256878,NO
34,40,8.695358774742583E-5,NO
35,223,2.768800147073533E-4,NO
36,102,1.1102803710246491E-4,NO
37,205,0.0026122517549005846,NO
38,116,2.4136441033882552E-4,NO
39,240,0.7305255513501019,NO
40,207,4.7289567500709414E-4,NO
41,66,9.389856654199066E-5,NO
42,203,0.0025307236800457644,NO
43,74,9.773312482637403E-5,NO
44,97,0.018482724908761548,NO
45,72,9.639225235084613E-5,NO
46,75,9.773312482637403E-5,NO
47,103,2.238992640973152E-4,NO
48,287,0.0888368353709585,NO
49,539,0.046259993082221985,NO
50,164,0.5752086473328072,NO
51,40,8.695358774742583E-5,NO
52,65,9.389856654199066E-5,NO
53,147,2.9381925036612314E-4,NO
54,143,2.869256691102029E-4,NO
55,103,2.238992640973152E-4,NO
56,98,1.0723898326346334E-4,NO
57,75,9.773312482637403E-5,NO
58,87,1.0215815384893803E-4,NO
59,40,8.695358774742583E-5,NO
60,27,8.408850507410327E-5,NO
61,40,8.695358774742583E-5,NO
62,221,5.395276189062345E-4,NO
63,102,2.238992640973152E-4,NO
64,32,8.473566966038297E-5,NO
65,245,0.7377452782060876,NO
66,94,1.0546801232848281E-4,NO
67,144,2.869256691102029E-4,NO
68,102,1.1102803710246491E-4,NO
69,72,9.639225235084613E-5,NO
70,85,1.0215815384893803E-4,NO
71,121,1.221030654117061E-4,NO
72,318,8.321123902881556E-4,NO
73,19,1.6723452721104649E-4,NO
74,272,4.692841306130422E-4,NO
75,32,1.708826144395233E-4,NO
76,68,9.511474631706376E-5,NO
77,74,9.773312482637403E-5,NO
78,193,0.002307580883948009,NO
79,28,1.6957761830326017E-4,NO
80,43,8.695358774742583E-5,NO
81,87,1.0215815384893803E-4,YES
82,28,1.6957761830326017E-4,NO
83,66,0.0010473550010264606,NO
84,28,8.408850507410327E-5,NO
85,32,8.473566966038297E-5,NO
86,437,0.0115567014212359,NO
87,144,2.869256691102029E-4,NO
88,135,1.328795747482666E-4,NO
89,47,1.7882373026210468E-4,NO
90,62,9.274178585236847E-5,NO
91,453,0.015916096988814406,NO
92,29,8.408850507410327E-5,NO
93,49,8.867379081827042E-5,NO
94,50,8.961015750645383E-5,NO
95,143,1.4228633754968334E-4,NO
96,38,8.616714500216531E-5,NO
97,194,4.1763665748819685E-4,NO
98,85,1.0215815384893803E-4,NO
99,151,1.4927712072193718E-4,NO
100,54,1.8270633994486312E-4,NO
101,95,0.0011959934606776677,NO
102,63,9.274178585236847E-5,NO
103,341,0.0023582560192993976,NO
104,46,8.778871589855243E-5,NO
105,384,0.9999991980516809,NO
106,52,8.961015750645383E-5,NO
107,291,0.9985969701155285,NO
108,45,1.770390059354764E-4,NO
109,52,8.961015750645383E-5,NO
110,35,8.54282067667767E-5,NO
111,30,8.473566966038297E-5,NO
112,56,1.8270633994486312E-4,NO
113,46,8.778871589855243E-5,NO
114,193,4.1763665748819685E-4,NO
115,171,3.5156326727872817E-4,NO
116,28,8.408850507410327E-5,NO
117,41,1.7535499467180064E-4,NO
118,151,1.4927712072193718E-4,NO
119,75,9.773312482637403E-5,YES
120,180,0.03135034487439343,NO
121,30,1.708826144395233E-4,NO
122,445,0.006548060153478971,NO
123,112,2.3670645629024815E-4,NO
124,215,0.002787190646970805,YES
125,59,9.164258501770348E-5,NO
126,37,1.737691534772588E-4,NO
127,101,1.0909126767460509E-4,NO
128,162,0.0017943929527095242,NO
129,94,1.0546801232848281E-4,NO
130,69,9.511474631706376E-5,NO
131,483,0.13361430502338875,NO
132,117,0.0013346834332633743,NO
133,45,8.778871589855243E-5,NO
134,142,0.5325224374159365,NO
135,99,2.1999400589685844E-4,NO
136,112,1.1737967534246785E-4,NO
137,264,4.3275290426600025E-4,YES
138,40,8.695358774742583E-5,NO
139,56,1.8270633994486312E-4,NO
140,46,8.778871589855243E-5,NO
141,32,8.473566966038297E-5,NO
142,32,8.473566966038297E-5,NO
143,66,0.016220575817608097,NO
144,144,2.869256691102029E-4,NO
145,33,8.54282067667767E-5,NO
146,353,0.001437618589591549,NO
147,86,2.0601410544690804E-4,NO
148,79,9.913952233915343E-5,NO
149,445,0.9999999998014353,NO
150,102,0.019123354070471638,NO
151,31,8.473566966038297E-5,NO
152,49,8.867379081827042E-5,NO
153,49,8.867379081827042E-5,NO
154,146,1.4228633754968334E-4,NO
155,19,8.292653781156495E-5,NO
156,41,8.695358774742583E-5,NO
157,86,0.0011393877837480783,NO
158,166,0.028199100457259808,NO
159,111,1.151686089290838E-4,NO
160,110,1.151686089290838E-4,NO
161,83,0.0011221801264085236,NO
162,56,0.0010105878964841964,NO
163,40,8.695358774742583E-5,NO
164,199,0.0024528908649305643,NO
165,156,3.0854446061836084E-4,NO
166,350,0.9180107132398405,NO
167,40,8.695358774742583E-5,NO
168,131,0.0014495827272296413,NO
169,100,1.0909126767460509E-4,NO
170,78,1.999272884621024E-4,NO
171,39,8.616714500216531E-5,NO
172,94,0.0011762636820668163,NO
173,65,1.8935925239844028E-4,NO
174,90,1.0377535083404377E-4,NO
175,40,8.695358774742583E-5,NO
176,111,1.151686089290838E-4,NO
177,281,0.0010720156630773196,NO
178,74,0.001090083640362717,NO
179,31,8.473566966038297E-5,NO
180,48,8.867379081827042E-5,NO
181,40,1.7535499467180064E-4,NO
182,48,9.891297556661367E-4,NO
183,91,1.0377535083404377E-4,NO
184,191,2.0711952165159187E-4,YES
185,32,8.473566966038297E-5,NO
186,165,3.3320650217413177E-4,NO
187,40,1.7535499467180064E-4,NO
188,362,0.0032168531839630813,NO
189,56,1.8270633994486312E-4,NO
190,38,8.616714500216531E-5,NO
191,56,9.059924800051626E-5,NO
192,174,1.7921173533201452E-4,NO
193,187,0.6153239387647328,NO
194,28,8.408850507410327E-5,NO
195,65,9.389856654199066E-5,NO
196,40,8.695358774742583E-5,NO
197,40,8.695358774742583E-5,NO
198,76,9.773312482637403E-5,NO
199,274,0.8003513419318644,NO
200,75,1.970913932047744E-4,NO
201,78,1.999272884621024E-4,NO
202,113,1.1737967534246785E-4,NO
203,44,1.770390059354764E-4,NO
204,46,8.778871589855243E-5,NO
205,695,0.9999531972548199,NO
206,40,1.7535499467180064E-4,NO
207,40,8.695358774742583E-5,NO
208,64,9.389856654199066E-5,YES
209,45,8.778871589855243E-5,NO
210,19,8.292653781156495E-5,NO
211,28,8.408850507410327E-5,NO
212,66,0.0010473550010264606,NO
213,32,8.473566966038297E-5,NO
214,78,9.913952233915343E-5,NO
215,668,1.0,NO
216,193,0.002307580883948009,NO
217,132,1.3000716177248516E-4,NO
218,75,1.970913932047744E-4,NO
219,32,8.473566966038297E-5,NO
220,37,8.616714500216531E-5,NO
221,19,8.292653781156495E-5,NO
222,31,8.473566966038297E-5,NO
223,195,0.03613961203787092,NO
224,37,8.616714500216531E-5,NO
225,84,0.45188800497703663,NO
226,92,2.126881142209618E-4,NO
227,31,8.473566966038297E-5,NO
228,588,0.9991934743501788,NO
229,70,0.0010609073021949095,NO
230,103,0.0012382036244214566,NO
231,57,9.164258501770348E-5,NO
232,57,1.848101821986488E-4,NO
233,40,8.695358774742583E-5,NO
234,527,1.0,NO
235,210,4.883934344397852E-4,NO
236,271,9.460143238915085E-4,NO
237,359,0.9255559785799803,NO
238,59,0.001022214952055325,NO
239,72,9.639225235084613E-5,NO
240,265,8.724046264600464E-4,NO
241,155,0.02616594873740197,NO
242,44,8.778871589855243E-5,NO
243,31,1.708826144395233E-4,NO
244,305,7.239499117970203E-4,NO
245,67,9.389856654199066E-5,NO
246,33,8.54282067667767E-5,NO
247,40,8.695358774742583E-5,NO
248,29,8.408850507410327E-5,NO
249,69,0.016427234133832642,NO
250,32,8.473566966038297E-5,NO
251,180,1.8430060382231182E-4,NO
252,323,0.0018441021084284483,NO
