ID,Size,Predicted %,Actual value
0,58,2.7644704410286113E-6,NO
1,126,2.832828823171359E-7,NO
2,63,2.4861050461464234E-7,NO
3,64,2.4861050461464234E-7,NO
4,129,2.8708066885120044E-7,YES
5,78,2.5383591487543037E-7,NO
6,53,2.459686141102628E-7,NO
7,226,2.733206399334796E-6,YES
8,84,2.556689176411105E-7,NO
9,26,2.4315663918496007E-7,NO
10,67,2.492462941990813E-7,NO
11,75,4.9839899072073655E-6,NO
12,41,2.439529209481733E-7,NO
13,109,2.700865230959918E-7,NO
14,41,2.439529209481733E-7,NO
15,40,2.439529209481733E-7,NO
16,73,2.513731988882581E-7,NO
17,37,2.4355564977343255E-7,NO
18,646,0.0013096437395608506,NO
19,208,2.5677558498319363E-6,NO
20,187,4.0116604180786795E-5,NO
21,147,1.7574362336059455E-6,NO
22,365,1.6646383752225038E-5,NO
23,221,1.967204771191069E-5,NO
24,84,2.556689176411105E-7,NO
25,175,3.414482228589292E-7,NO
26,37,2.4355564977343255E-7,NO
27,89,2.5871310256580657E-7,NO
28,135,1.5236803386627E-6,NO
29,37,2.4355564977343255E-7,NO
30,215,2.43227760299011E-6,YES
31,489,6.604590990818192E-6,NO
32,54,2.459686141102628E-7,NO
33,86,2.566439339810152E-7,NO
34,42,2.442027604376802E-7,NO
35,61,1.439683511566372E-6,NO
36,127,2.851556151206714E-7,NO
37,121,2.796909542368075E-7,YES
38,54,2.459686141102628E-7,NO
39,42,2.442027604376802E-7,NO
40,39,2.437372474598038E-7,NO
41,75,2.5215635129803034E-7,NO
42,264,5.806447862175195E-7,NO
43,301,3.921168906813919E-5,NO
44,426,1.8915157391115092E-5,NO
45,36,2.4355564977343255E-7,NO
46,42,2.442027604376802E-7,NO
47,125,2.832828823171359E-7,NO
48,43,2.442027604376802E-7,NO
49,185,3.5907577759307684E-7,NO
50,231,2.4126085485024876E-6,NO
51,75,7.675144242031387E-5,NO
52,203,3.9201824203815504E-7,NO
53,90,2.5871310256580657E-7,NO
54,66,2.492462941990813E-7,NO
55,75,2.5215635129803034E-7,NO
56,204,3.965913298568219E-7,NO
57,74,2.5215635129803034E-7,NO
58,43,2.442027604376802E-7,NO
59,180,0.026936383371869925,YES
60,99,2.6334093894048137E-7,NO
61,120,2.7797011324410355E-7,NO
62,73,2.513731988882581E-7,NO
63,73,2.513731988882581E-7,NO
64,103,2.659077007583777E-7,NO
65,287,3.6195417503183424E-4,NO
66,583,0.0035680822871821073,NO
67,130,1.4033692876357833E-5,YES
68,115,1.4285974753193014E-6,NO
69,152,3.094194475756592E-7,NO
70,144,3.020995191826478E-7,NO
71,101,2.64602799150193E-7,NO
72,102,2.659077007583777E-7,NO
73,40,2.439529209481733E-7,NO
74,225,4.487826346144869E-7,NO
75,103,2.659077007583777E-7,NO
76,32,2.4329439241906473E-7,NO
77,250,5.224892729728309E-7,NO
78,84,2.556689176411105E-7,NO
79,170,3.34968014443973E-7,NO
80,165,3.258173888651046E-7,NO
81,102,2.659077007583777E-7,NO
82,189,3.667360425726908E-7,NO
83,72,2.513731988882581E-7,NO
84,89,2.5871310256580657E-7,YES
85,143,2.997816385406279E-7,NO
86,319,9.121594465933541E-7,NO
87,19,2.433234698935634E-7,NO
88,32,2.4329439241906473E-7,NO
89,278,3.7790423509793868E-6,NO
90,69,2.499184801037506E-7,NO
91,75,2.5215635129803034E-7,NO
92,173,1.6501927773972994E-5,YES
93,28,2.4316871225738823E-7,NO
94,185,3.5907577759307684E-7,NO
95,97,2.6334093894048137E-7,NO
96,44,2.444868704827718E-7,NO
97,100,3.065910044474251E-6,YES
98,48,2.4515839268147527E-7,NO
99,28,2.4316871225738823E-7,NO
100,269,5.991692991121084E-7,NO
101,31,2.4329439241906473E-7,NO
102,32,2.4329439241906473E-7,NO
103,215,4.211475730762736E-7,NO
104,441,1.791765429896387E-5,YES
105,149,3.0691726732484416E-7,NO
106,156,3.146164688646687E-7,NO
107,34,2.4340805198226213E-7,NO
108,110,1.5684995093004364E-6,NO
109,28,2.4316871225738823E-7,NO
110,48,2.4515839268147527E-7,YES
111,68,2.499184801037506E-7,NO
112,66,2.492462941990813E-7,NO
113,164,1.8642865821472638E-6,YES
114,65,2.492462941990813E-7,NO
115,166,3.2879372919917577E-7,NO
116,469,4.911625820942028E-6,NO
117,27,2.4316871225738823E-7,NO
118,38,2.437372474598038E-7,NO
119,29,2.4321462361316107E-7,NO
120,110,2.715695668791338E-7,NO
121,50,1.4136865752294667E-6,NO
122,159,3.200788685735023E-7,YES
123,39,2.437372474598038E-7,NO
124,19,2.433234698935634E-7,NO
125,193,3.7476824383684493E-7,NO
126,47,2.4480537006607325E-7,NO
127,52,2.455460864273904E-7,NO
128,35,2.4340805198226213E-7,NO
129,56,2.464261533585738E-7,NO
130,67,2.492462941990813E-7,NO
131,346,6.681904302684889E-6,YES
132,382,1.6867651255934083E-6,NO
133,52,2.455460864273904E-7,NO
134,289,7.069199346721805E-7,YES
135,45,2.444868704827718E-7,NO
136,52,2.455460864273904E-7,NO
137,577,2.5725329976074644E-5,NO
138,30,2.4321462361316107E-7,NO
139,55,2.464261533585738E-7,NO
140,57,2.469188967472693E-7,NO
141,28,2.4316871225738823E-7,NO
142,63,2.4861050461464234E-7,NO
143,119,2.7797011324410355E-7,NO
144,41,2.439529209481733E-7,NO
145,74,2.5215635129803034E-7,NO
146,178,3.482475576188699E-7,NO
147,30,2.4321462361316107E-7,NO
148,422,1.7080460890190276E-5,NO
149,41,2.439529209481733E-7,NO
150,109,2.700865230959918E-7,NO
151,196,2.026973497172614E-6,YES
152,57,2.469188967472693E-7,NO
153,37,2.4355564977343255E-7,NO
154,165,3.258173888651046E-7,NO
155,84,3.0449592348224535E-6,NO
156,69,1.4401833282226478E-6,NO
157,483,3.476418584417755E-5,NO
158,113,2.7309874941318933E-7,NO
159,46,1.2814026501426249E-6,NO
160,39,2.437372474598038E-7,YES
161,62,2.480108417992862E-7,NO
162,149,3.0691726732484416E-7,YES
163,100,2.64602799150193E-7,NO
164,55,2.464261533585738E-7,NO
165,28,2.4316871225738823E-7,NO
166,133,2.890589342573074E-7,NO
167,250,1.2363210571649303E-5,YES
168,52,2.455460864273904E-7,NO
169,41,2.439529209481733E-7,NO
170,57,2.469188967472693E-7,YES
171,79,1.3909683342188087E-6,NO
172,40,2.439529209481733E-7,NO
173,32,2.4329439241906473E-7,NO
174,67,2.492462941990813E-7,YES
175,162,3.229129171083713E-7,NO
176,141,1.8854020179693701E-6,NO
177,33,2.4329439241906473E-7,NO
178,87,2.5765851584875296E-7,NO
179,81,2.547330456914667E-7,NO
