ID,Size,Predicted %,Actual value
0,58,0.38,NO
1,125,0.0,YES
2,78,0.03066666666666667,NO
3,59,0.16449999999999995,NO
4,134,0.21,YES
5,55,0.05166666666666666,NO
6,81,0.0,NO
7,96,0.21333333333333335,NO
8,30,0.015,NO
9,226,0.777,YES
10,69,0.02,NO
11,26,0.0,NO
12,75,0.013928571428571427,NO
13,47,0.0,NO
14,108,0.02,NO
15,41,9.953703703703704E-4,NO
16,41,0.05193362219684927,NO
17,69,0.02,NO
18,30,0.015,NO
19,640,0.45,YES
20,171,0.005,NO
21,94,0.35966666666666663,NO
22,28,0.0,NO
23,296,0.41,NO
24,434,0.4715,NO
25,170,0.005,NO
26,101,0.6280952380952382,YES
27,37,0.0,NO
28,89,0.0033333333333333335,NO
29,131,0.22666666666666666,NO
30,37,0.0,NO
31,217,0.31,YES
32,603,0.12,NO
33,49,0.02,NO
34,107,0.06345238095238095,NO
35,32,0.0,NO
36,47,0.0,NO
37,42,0.0,NO
38,61,0.17083333333333336,NO
39,127,0.0,NO
40,148,0.15,YES
41,42,0.0,NO
42,39,0.0,NO
43,75,0.013928571428571427,NO
44,60,0.0,NO
45,282,0.82,NO
46,433,0.4715,YES
47,36,0.0,NO
48,42,0.0,NO
49,124,0.0,NO
50,279,0.825,NO
51,43,0.3360714285714286,NO
52,48,0.0,NO
53,130,0.51,NO
54,191,0.3498333333333334,NO
55,70,0.47466666666666674,NO
56,92,0.6751190476190476,NO
57,51,0.0,NO
58,97,0.10564285714285712,NO
59,204,0.04,NO
60,74,0.15,NO
61,43,0.0,NO
62,184,0.04,YES
63,97,0.10564285714285712,NO
64,94,0.35966666666666663,NO
65,74,0.15,NO
66,73,0.01,NO
67,103,0.18710786435786428,NO
68,269,0.625,NO
69,140,0.12,YES
70,103,0.18710786435786428,NO
71,151,0.0,NO
72,180,0.19833333333333336,NO
73,112,0.1628333333333333,NO
74,40,0.0,NO
75,108,0.3471666666666666,NO
76,262,0.225,NO
77,103,0.01683730158730159,NO
78,32,0.0,NO
79,246,0.1115,NO
80,154,0.7983333333333333,NO
81,172,0.12,NO
82,95,0.09,NO
83,191,0.07,NO
84,76,0.0,NO
85,89,0.0033333333333333335,YES
86,191,0.07,NO
87,75,0.0,NO
88,19,0.0,NO
89,35,0.005523809523809522,NO
90,32,0.0,NO
91,244,0.17816666666666667,YES
92,70,0.47466666666666674,NO
93,76,0.01,NO
94,39,0.0,NO
95,172,0.055,YES
96,29,0.0,NO
97,175,0.08,NO
98,86,0.0,NO
99,58,0.04,NO
100,44,0.0,NO
101,100,0.7788095238095237,YES
102,45,0.1456049506049506,NO
103,29,0.0,NO
104,300,0.31,YES
105,46,0.27175793650793645,NO
106,58,0.04,NO
107,31,0.29158333333333325,NO
108,32,0.0,NO
109,258,0.08166666666666667,NO
110,353,0.51,YES
111,149,0.065,NO
112,102,0.0,NO
113,162,0.03,NO
114,34,0.0,NO
115,87,0.015,NO
116,110,0.0,NO
117,28,0.0,NO
118,48,0.01,YES
119,38,0.0,NO
120,69,0.0275,NO
121,135,0.17,YES
122,65,0.05,NO
123,58,0.04,NO
124,76,0.0,NO
125,551,0.47,NO
126,27,0.0,NO
127,29,0.0,NO
128,97,0.0175,NO
129,45,0.015046869796869797,NO
130,156,0.0,YES
131,39,0.0,NO
132,58,0.04,NO
133,103,0.18710786435786428,YES
134,23,0.59,NO
135,198,0.24,NO
136,49,0.02,NO
137,62,0.0,NO
138,56,0.42,NO
139,468,0.27,NO
140,70,0.47466666666666674,NO
141,341,0.41,YES
142,23,0.59,NO
143,49,0.02,NO
144,33,0.0,NO
145,388,0.13,NO
146,54,0.63,NO
147,56,0.0,NO
148,285,1.0,NO
149,45,0.015046869796869797,NO
150,52,0.03,NO
151,666,0.32,YES
152,30,0.015,NO
153,65,0.0,NO
154,57,0.44083333333333335,NO
155,35,0.1412140522875817,NO
156,28,0.0,NO
157,63,0.07,NO
158,167,0.026666666666666665,NO
159,41,9.953703703703704E-4,NO
160,103,0.18710786435786428,NO
161,77,0.01,NO
162,204,0.15333333333333335,NO
163,30,0.0,NO
164,81,0.0,NO
165,41,9.953703703703704E-4,NO
166,111,0.0,NO
167,197,0.21,YES
168,54,0.07333333333333335,NO
169,44,0.008916666666666666,NO
170,165,0.0,NO
171,70,0.47466666666666674,NO
172,96,0.21333333333333335,NO
173,69,0.02,NO
174,239,0.49483333333333307,YES
175,128,0.13,NO
176,46,0.014785714285714284,NO
177,187,0.02,NO
178,43,0.0,YES
179,77,0.01,NO
180,171,0.399,YES
181,40,0.0,NO
182,255,0.1,YES
183,100,0.02,NO
184,55,0.46,NO
185,28,0.0,NO
186,101,0.6280952380952382,NO
187,197,0.31183333333333335,NO
188,31,0.29158333333333325,NO
189,41,9.953703703703704E-4,NO
190,57,0.44083333333333335,YES
191,79,0.04000000000000001,NO
192,40,0.0,NO
193,32,0.0,NO
194,68,0.7757142857142857,YES
195,143,0.08166666666666668,NO
196,126,0.01,NO
197,97,0.0175,NO
198,29,0.0,NO
199,19,0.0,NO
200,43,0.0,NO
201,37,0.0,NO
202,38,0.0,NO
203,77,0.0,NO
204,41,9.953703703703704E-4,YES
205,77,0.01,NO
206,32,0.0,NO
207,166,0.0,NO
208,42,0.0,NO
209,119,0.01,NO
210,57,0.44083333333333335,NO
211,59,0.16449999999999995,NO
212,355,0.37,YES
213,58,0.0,NO
214,83,0.07766666666666666,YES
215,54,0.63,NO
216,41,9.953703703703704E-4,YES
217,213,0.58,NO
218,157,0.0,NO
219,354,0.21,NO
220,88,0.005,NO
221,552,0.65,YES
222,32,0.0,NO
223,126,0.0,YES
224,136,0.4968333333333333,NO
225,100,0.02,NO
226,78,0.020000000000000004,NO
227,40,0.0,NO
228,100,0.02,NO
229,99,0.7118095238095238,NO
230,76,0.0,NO
231,47,0.01,YES
232,34,0.0,NO
233,25,0.02,NO
234,85,0.004,NO
235,41,9.953703703703704E-4,NO
236,116,0.0,NO
237,513,0.61,NO
238,274,1.0,YES
239,69,0.0275,NO
240,82,0.20199999999999999,NO
241,135,0.06,NO
242,31,0.02,NO
243,94,0.035,NO
244,38,0.0,NO
245,38,0.0,NO
246,40,0.0,NO
247,153,0.0,NO
248,32,0.0,NO
249,45,0.015046869796869797,NO
250,376,0.15,NO
251,94,0.35966666666666663,NO
252,105,0.025,NO
253,29,0.0,NO
254,166,0.0,NO
255,299,0.31,YES
256,78,0.020000000000000004,NO
257,357,0.37,NO
258,38,0.0,NO
259,59,0.3393333333333334,NO
260,297,0.84,YES
261,295,0.84,NO
262,45,0.015046869796869797,NO
263,66,0.185,NO
264,41,9.953703703703704E-4,NO
265,41,9.953703703703704E-4,NO
266,128,0.04,NO
267,78,0.03066666666666667,NO
268,242,0.0,NO
269,57,0.4267857142857144,NO
270,112,0.1628333333333333,NO
271,28,0.0,NO
272,156,0.4506666666666666,NO
273,119,0.0,NO
274,296,0.41,NO
275,523,0.73,NO
276,43,0.0,NO
277,68,0.21,NO
278,114,0.0,NO
279,68,0.7757142857142857,NO
280,47,0.01,NO
281,204,0.1,NO
282,41,9.953703703703704E-4,NO
283,54,0.07333333333333335,NO
284,65,0.05,YES
285,55,0.05166666666666666,NO
286,86,0.006666666666666666,NO
287,66,0.185,NO
288,31,0.02,NO
289,120,0.0,NO
290,49,0.02,NO
291,115,0.0033333333333333335,NO
292,196,0.21,NO
293,127,0.17,NO
294,176,0.05916666666666665,YES
295,162,0.1,YES
296,68,0.7757142857142857,NO
297,30,0.015,NO
298,128,0.17,NO
299,59,0.013000000000000001,NO
300,31,0.29158333333333325,NO
301,19,0.0,NO
302,51,0.02,NO
303,31,0.02,NO
304,155,0.01,NO
305,32,0.0,NO
306,130,0.15,NO
307,36,0.0,NO
308,31,0.02,NO
309,66,0.185,NO
310,55,0.05166666666666666,NO
311,54,0.07333333333333335,NO
312,42,0.0,NO
313,412,0.18,YES
314,374,0.1,NO
315,59,0.16449999999999995,NO
316,77,0.0,NO
317,324,0.72,NO
318,72,0.13166666666666665,NO
319,168,0.0,YES
320,89,0.01,NO
321,153,0.0425,NO
322,31,0.29158333333333325,NO
323,303,0.46,NO
324,57,0.4267857142857144,NO
325,115,0.0,NO
326,71,0.04166666666666666,NO
327,34,0.0,NO
328,41,9.953703703703704E-4,NO
329,94,0.35966666666666663,NO
330,32,0.0,NO
331,54,0.63,NO
332,47,0.0,NO
333,181,0.03,NO
334,160,0.01,YES
335,329,0.41,NO
336,61,0.17083333333333336,NO
337,37,0.0,NO
338,321,0.55,YES
339,52,0.03,NO
340,217,0.31,NO
341,23,0.59,NO
342,84,0.30830952380952387,NO
343,88,0.0,NO
344,43,0.0,NO
345,108,0.3471666666666666,NO
346,52,0.03,NO
347,64,0.06,NO
348,115,0.0,NO
349,252,0.015,NO
350,183,0.01,NO
351,128,0.04,NO
352,253,0.07166666666666667,NO
353,145,0.08,NO
354,41,9.953703703703704E-4,NO
355,189,0.01,NO
356,107,0.5089523809523809,NO
357,35,0.1412140522875817,NO
358,65,0.027000000000000003,NO
359,45,0.015046869796869797,NO
360,197,0.21,NO
361,71,0.04166666666666666,NO
362,268,0.375,NO
363,407,0.065,YES
364,58,0.04,NO
365,31,0.29158333333333325,NO
366,95,0.09,NO
367,72,0.45300000000000007,NO
368,46,0.27175793650793645,NO
369,153,0.0,NO
370,307,0.45,YES
371,26,0.0,NO
372,200,0.2733333333333334,NO
373,68,0.7757142857142857,NO
374,79,0.10566666666666666,NO
375,68,0.21,NO
376,100,0.02,NO
377,105,0.025,NO
378,91,0.015,YES
379,38,0.0,NO
