ID,Size,Predicted %,Actual value
0,58,1.0,NO
1,125,0.0,NO
2,78,1.0,NO
3,59,1.0,NO
4,129,1.0,NO
5,79,1.0,NO
6,53,0.0,NO
7,225,1.0,NO
8,84,0.0,NO
9,26,0.0,NO
10,65,0.0,NO
11,75,0.0,NO
12,96,0.0,NO
13,41,0.0,NO
14,40,0.0,NO
15,69,0.0,NO
16,37,0.0,NO
17,643,0.0,NO
18,94,1.0,NO
19,209,1.0,NO
20,188,0.0,NO
21,143,0.0,NO
22,425,0.0,NO
23,221,0.0,NO
24,84,0.0,NO
25,176,0.0,NO
26,37,0.0,NO
27,89,1.0,NO
28,131,0.0,NO
29,37,0.0,NO
30,207,0.0,NO
31,489,0.0,YES
32,49,0.0,NO
33,107,0.0,NO
34,42,0.0,NO
35,61,0.0,NO
36,127,0.0,NO
37,122,1.0,YES
38,54,0.0,NO
39,42,0.0,NO
40,39,0.0,NO
41,75,0.0,NO
42,60,0.0,NO
43,283,1.0,NO
44,432,0.0,NO
45,36,0.0,NO
46,42,0.0,NO
47,125,1.0,NO
48,300,1.0,NO
49,43,0.0,NO
50,185,1.0,NO
51,225,1.0,NO
52,80,0.0,NO
53,170,0.0,NO
54,90,0.0,NO
55,66,1.0,NO
56,75,0.0,NO
57,204,1.0,NO
58,74,0.0,NO
59,43,0.0,NO
60,225,1.0,NO
61,99,0.0,NO
62,120,0.0,NO
63,74,0.0,NO
64,73,0.0,NO
65,97,0.0,NO
66,271,0.0,NO
67,130,1.0,NO
68,115,1.0,NO
69,152,0.0,NO
70,185,0.0,NO
71,101,1.0,NO
72,94,1.0,NO
73,40,0.0,NO
74,225,1.0,NO
75,103,0.0,NO
76,32,0.0,NO
77,228,1.0,NO
78,66,1.0,NO
79,170,1.0,NO
80,176,0.0,NO
81,102,0.0,NO
82,202,1.0,NO
83,74,0.0,NO
84,89,0.0,NO
85,143,0.0,NO
86,319,1.0,NO
87,19,0.0,NO
88,35,0.0,NO
89,32,0.0,NO
90,280,1.0,NO
91,69,0.0,NO
92,75,0.0,NO
93,173,0.0,NO
94,28,0.0,NO
95,195,1.0,NO
96,86,0.0,NO
97,44,0.0,NO
98,101,1.0,NO
99,48,0.0,NO
100,28,0.0,NO
101,305,0.0,NO
102,31,0.0,NO
103,32,0.0,NO
104,217,1.0,NO
105,423,0.0,NO
106,149,0.0,NO
107,102,0.0,NO
108,162,0.0,NO
109,34,0.0,NO
110,110,0.0,NO
111,28,0.0,NO
112,48,0.0,NO
113,68,0.0,NO
114,66,1.0,NO
115,36,0.0,NO
116,164,1.0,NO
117,65,0.0,NO
118,166,1.0,NO
119,516,1.0,YES
120,27,0.0,NO
121,38,0.0,NO
122,29,0.0,NO
123,110,0.0,NO
124,45,0.0,NO
125,192,0.0,YES
126,39,0.0,NO
127,58,1.0,NO
128,19,0.0,NO
129,198,0.0,NO
130,49,0.0,NO
131,52,0.0,NO
132,35,0.0,NO
133,56,0.0,NO
134,468,0.0,NO
135,67,0.0,NO
136,346,1.0,NO
137,33,0.0,NO
138,383,0.0,NO
139,54,0.0,NO
140,288,1.0,NO
141,45,0.0,NO
142,52,0.0,NO
143,634,0.0,NO
144,30,0.0,NO
145,45,0.0,NO
146,57,0.0,NO
147,28,0.0,NO
148,63,0.0,NO
149,119,0.0,NO
150,167,0.0,NO
151,41,0.0,NO
152,74,0.0,NO
153,203,1.0,NO
154,30,0.0,NO
155,380,0.0,NO
156,41,0.0,NO
157,110,0.0,NO
158,195,1.0,NO
159,54,0.0,NO
160,37,0.0,NO
161,165,0.0,NO
162,100,0.0,NO
163,69,0.0,NO
164,479,0.0,NO
165,113,0.0,NO
166,46,0.0,NO
167,39,0.0,NO
168,77,0.0,NO
169,149,1.0,YES
170,40,0.0,NO
171,100,0.0,NO
172,55,0.0,NO
173,28,0.0,NO
174,133,0.0,NO
175,229,1.0,NO
176,52,0.0,NO
177,41,0.0,NO
178,57,0.0,NO
179,79,1.0,NO
180,40,0.0,NO
181,32,0.0,NO
182,73,0.0,NO
183,173,0.0,NO
184,143,0.0,NO
185,33,0.0,NO
186,87,0.0,NO
187,97,0.0,NO
188,29,0.0,NO
189,19,0.0,NO
190,43,0.0,NO
191,44,0.0,NO
192,38,0.0,NO
193,73,0.0,NO
194,52,0.0,NO
195,42,0.0,NO
196,77,0.0,NO
197,53,0.0,NO
198,167,0.0,NO
199,42,0.0,NO
200,119,0.0,NO
201,103,0.0,NO
202,59,1.0,NO
203,355,1.0,NO
204,136,0.0,NO
205,82,1.0,NO
206,54,0.0,NO
207,41,0.0,NO
208,190,0.0,NO
209,157,0.0,NO
210,365,1.0,NO
211,88,0.0,NO
212,562,1.0,NO
213,41,0.0,NO
214,53,0.0,NO
215,118,0.0,NO
216,122,0.0,NO
217,100,0.0,NO
218,78,1.0,NO
219,108,0.0,NO
220,40,0.0,NO
221,100,0.0,NO
222,75,0.0,NO
223,71,1.0,NO
224,47,0.0,NO
225,34,0.0,NO
