ID,Size,Predicted %,Actual value
0,209,0.02,NO
1,224,0.1125,NO
2,109,0.5381666666666667,NO
3,60,0.0,NO
4,68,0.01,NO
5,78,0.0,NO
6,34,0.0,NO
7,130,0.06933333333333332,NO
8,114,0.06850000000000003,YES
9,211,0.13,NO
10,63,0.002,NO
11,31,0.0,NO
12,65,0.1926626984126985,NO
13,90,0.06333333333333334,NO
14,166,0.0,NO
15,65,0.1926626984126985,NO
16,31,0.0,NO
17,80,0.005,NO
18,47,0.20724145299145302,NO
19,35,0.0,NO
20,106,0.0,NO
21,257,0.24,NO
22,70,0.87,NO
23,77,0.002857142857142857,YES
24,153,0.018000000000000002,YES
25,121,0.08,YES
26,52,0.3402363747363747,NO
27,71,0.01,NO
28,143,0.0,NO
29,143,0.0,NO
30,265,0.245,NO
31,55,0.0,NO
32,61,0.04,NO
33,233,0.54,NO
34,167,0.0,NO
35,123,0.0,NO
36,50,0.0,NO
37,195,0.040999999999999995,NO
38,309,0.72,NO
39,73,0.0,NO
40,219,0.13,NO
41,422,0.05,NO
42,41,0.049551070007447504,NO
43,44,0.0,NO
44,62,0.0,NO
45,61,0.04,NO
46,482,0.26,NO
47,32,0.0,NO
48,102,0.04183333333333333,NO
49,93,0.8008333333333334,NO
50,93,0.8008333333333334,NO
51,94,0.516952380952381,NO
52,153,0.0,NO
53,107,0.0,NO
54,65,0.1926626984126985,NO
55,47,0.20724145299145302,NO
56,103,0.0,NO
57,61,0.0,NO
58,80,0.005,NO
59,56,0.15333333333333335,NO
60,203,0.0,NO
61,90,0.06333333333333334,NO
62,337,0.13,YES
63,30,0.0,NO
64,28,0.0,NO
65,63,0.002,NO
66,269,0.18,NO
67,373,0.14,NO
68,26,0.0,NO
69,51,0.0,NO
70,85,0.04,NO
71,121,0.0,NO
72,52,0.3402363747363747,NO
73,27,0.0,NO
74,82,0.07333333333333335,NO
75,61,0.0,NO
76,79,0.0,NO
77,107,0.07,NO
78,103,0.0,NO
79,69,0.07,NO
80,26,0.0,NO
81,371,0.03,NO
82,182,0.013333333333333334,NO
83,53,0.0,NO
84,109,0.5381666666666667,NO
85,66,0.19913239538239536,NO
86,37,0.0,NO
87,249,0.71,NO
88,49,0.0,NO
89,78,0.0,NO
90,57,0.3592857142857142,NO
91,37,0.01,NO
92,31,0.0,NO
93,42,0.0,NO
94,297,0.27,NO
95,31,0.0,NO
96,32,0.0,NO
97,291,0.54,NO
98,142,0.02,NO
99,28,0.0,NO
100,339,0.7440000000000001,NO
101,70,0.01,NO
102,44,0.0,NO
103,32,0.0,NO
104,45,0.0,NO
105,62,0.0,NO
106,43,0.0,NO
107,342,0.15,NO
108,150,0.06,NO
109,309,0.72,YES
110,58,0.0,NO
111,83,0.17,NO
112,201,0.091,NO
113,198,0.06233333333333332,NO
114,334,0.74,YES
115,80,0.005,NO
116,41,0.049551070007447504,NO
117,116,0.0,NO
118,44,0.0,NO
119,119,0.0,NO
120,87,0.14080952380952383,NO
121,95,0.02,NO
122,70,0.87,NO
123,30,0.0,NO
124,83,0.17,NO
125,141,0.06,NO
126,52,0.3402363747363747,NO
127,65,0.1926626984126985,NO
128,69,0.0,NO
129,100,0.0,NO
130,53,0.0,NO
131,60,0.0,NO
132,22,0.0,NO
133,73,0.0,NO
134,34,0.0,NO
135,155,0.01,NO
136,91,0.5983333333333333,NO
137,79,0.05,NO
138,252,0.11,NO
139,114,0.06850000000000003,NO
140,117,0.0,NO
141,77,0.002857142857142857,NO
142,65,0.01,NO
143,33,0.18711111111111117,NO
144,40,5.88235294117647E-4,NO
145,672,0.36,YES
146,413,0.1,NO
147,30,0.0,NO
148,27,0.0,NO
149,122,0.0,NO
150,90,0.06333333333333334,NO
151,95,0.006666666666666666,NO
152,74,0.0,NO
153,94,0.26,NO
154,41,0.049551070007447504,NO
155,239,0.2125,NO
156,117,0.0,NO
157,54,0.0,NO
158,104,0.0,NO
159,35,0.0,NO
160,374,0.13,NO
161,103,0.02,NO
162,209,0.0,YES
163,130,0.06933333333333332,NO
164,33,0.18711111111111117,NO
165,92,0.12583333333333335,NO
166,151,0.10366666666666667,NO
167,55,0.0,NO
168,75,0.17,NO
169,96,0.0,NO
170,43,0.0,NO
171,26,0.0,NO
172,69,0.0,NO
173,254,0.26,NO
174,137,0.51,NO
175,41,0.049551070007447504,NO
176,78,0.1,NO
177,25,0.0,NO
178,220,0.441,NO
179,100,0.0,NO
180,38,0.0,NO
181,256,0.24,NO
182,66,0.19913239538239536,NO
183,76,0.0,NO
184,154,0.01,NO
185,42,0.0,NO
186,125,0.0,NO
187,99,0.09,NO
188,664,0.75,YES
189,163,0.05,NO
190,227,0.07,YES
191,132,0.05,NO
192,50,0.0,NO
193,219,0.436,NO
194,33,0.18711111111111117,NO
195,66,0.0025,NO
196,542,0.38,YES
197,32,0.0,NO
198,116,0.0,NO
199,78,0.0,NO
200,51,0.009166666666666667,NO
201,66,0.19913239538239536,NO
202,66,0.19913239538239536,NO
203,290,0.13,NO
204,37,0.0,NO
205,87,0.1,NO
206,101,0.426,NO
207,28,0.0,NO
208,91,0.5983333333333333,NO
209,80,0.005,NO
210,34,0.0,NO
211,54,0.0,NO
212,346,0.19,NO
213,33,0.18711111111111117,NO
214,112,0.12166666666666666,NO
215,435,0.18,YES
216,81,0.07319444444444445,NO
217,100,0.0,NO
218,44,0.0,NO
219,58,0.005,NO
220,30,0.0,NO
221,172,0.0,NO
222,51,0.009166666666666667,NO
223,73,0.13,NO
224,145,0.0,NO
225,235,0.06,NO
226,67,0.24339357864357866,NO
227,51,0.009166666666666667,NO
228,81,0.32,NO
229,54,0.0,NO
230,38,0.0,NO
231,31,0.0,NO
232,101,0.426,NO
233,46,0.0063803418803418804,NO
234,117,0.0,NO
235,36,0.0,NO
236,57,0.3592857142857142,NO
237,55,0.0,NO
238,143,0.08,NO
239,50,0.0,NO
240,28,0.0,NO
241,64,0.010968253968253969,NO
242,124,0.04266666666666666,NO
243,54,0.0,NO
244,121,0.0,NO
245,119,0.0,NO
246,29,0.0,NO
247,26,0.0,NO
248,213,0.18,NO
249,70,0.87,NO
250,97,0.011666666666666665,NO
251,36,0.0,NO
252,47,0.20724145299145302,NO
253,61,0.0,NO
254,191,0.06,NO
255,39,0.0028571428571428567,NO
256,37,0.0,NO
257,360,0.16,NO
258,156,0.01,NO
259,33,0.18711111111111117,NO
260,113,0.3078095238095238,NO
261,118,0.0,NO
262,24,0.0,NO
263,82,0.07333333333333335,NO
264,69,0.0,NO
265,71,0.04,NO
266,43,0.0,NO
267,66,0.19913239538239536,NO
268,50,0.0,NO
269,354,0.15,NO
270,41,0.049551070007447504,NO
271,341,0.6265,NO
272,50,0.0,NO
273,78,0.0,NO
274,103,0.0,NO
275,55,0.0,NO
276,59,0.0,NO
277,41,0.049551070007447504,NO
278,135,0.02,NO
279,197,0.46099999999999997,NO
280,41,0.049551070007447504,NO
281,371,0.07,NO
282,92,0.12583333333333335,NO
283,147,0.06833333333333333,NO
284,34,0.0,NO
285,68,0.21,NO
286,42,0.0,NO
287,35,0.0,NO
288,40,5.88235294117647E-4,NO
289,70,0.87,NO
290,26,0.0,NO
291,27,0.0,NO
292,151,0.0,NO
293,148,0.15783333333333333,NO
294,85,0.04,NO
295,165,0.0,NO
296,68,0.0025,NO
297,174,0.2,NO
298,33,0.18711111111111117,NO
299,48,0.20545238095238097,NO
300,45,0.0,NO
301,142,0.02,NO
302,76,0.0,NO
303,190,0.085,NO
304,87,0.14080952380952383,NO
305,141,0.06,NO
306,61,0.0,NO
307,37,0.0,NO
308,30,0.01,NO
309,127,0.0,NO
310,129,0.086,NO
311,208,0.17,NO
312,36,0.0,NO
313,43,0.0,NO
314,103,0.0,YES
315,27,0.0,NO
316,32,0.01,NO
317,83,0.17,NO
318,274,0.15,NO
319,110,0.615,NO
320,29,0.0,NO
321,56,0.15333333333333335,NO
322,28,0.0,NO
323,196,0.12516666666666665,NO
324,29,0.0,NO
325,34,0.0,NO
326,92,0.12583333333333335,NO
327,105,0.0,NO
328,23,0.0,NO
329,693,0.46,NO
330,23,0.0,NO
331,59,0.0,NO
332,89,0.33634523809523803,NO
333,48,0.20545238095238097,NO
334,62,0.0,YES
335,62,0.0,NO
336,180,0.02,NO
337,507,0.33,NO
338,47,0.0,NO
339,35,0.0,NO
340,903,0.63,NO
341,62,0.0,NO
342,75,0.01,NO
343,28,0.0,NO
344,46,0.0063803418803418804,NO
345,95,0.006666666666666666,NO
346,98,0.4483333333333333,NO
347,55,0.0,NO
348,96,0.006666666666666666,NO
349,68,0.0025,NO
350,43,0.0,NO
351,333,0.11,NO
352,225,0.1125,NO
353,78,0.0,NO
354,104,0.0,NO
355,46,0.0063803418803418804,NO
356,29,0.0,NO
357,110,0.615,NO
358,388,0.04,NO
359,187,0.7999999999999999,NO
360,29,0.0,NO
361,63,0.002,NO
362,331,0.11,NO
363,53,0.0,NO
364,172,0.0,NO
365,122,0.0,NO
366,34,0.0,NO
367,278,0.18666666666666665,YES
368,319,0.21,YES
369,122,0.0,YES
370,33,0.18711111111111117,NO
371,54,0.0,NO
372,30,0.0,NO
373,49,0.0,NO
374,48,0.20545238095238097,NO
375,66,0.0025,NO
376,50,0.0,NO
377,23,0.0,NO
378,27,0.0,NO
379,118,0.0,NO
380,82,0.11,NO
381,57,0.0,NO
382,150,0.4035,YES
383,114,0.06850000000000003,YES
384,34,0.0,NO
385,64,0.010968253968253969,NO
386,156,0.01,YES
387,46,0.0063803418803418804,NO
388,94,0.516952380952381,NO
389,23,0.0,NO
390,131,0.06666666666666665,YES
391,30,0.0,NO
392,51,0.009166666666666667,NO
393,70,0.87,NO
394,66,0.0025,NO
395,69,0.0,NO
396,289,0.935,NO
397,64,0.01,NO
398,48,0.20545238095238097,NO
399,32,0.0,NO
400,78,0.0,NO
401,56,0.15333333333333335,NO
402,57,0.3592857142857142,NO
403,113,0.3078095238095238,NO
404,79,0.0,YES
405,121,0.0,NO
406,79,0.0,NO
407,93,0.8008333333333334,NO
408,33,0.00375,NO
409,114,0.06850000000000003,NO
410,84,0.59,NO
411,76,0.01,NO
412,27,0.0,NO
413,27,0.0,NO
414,98,0.4483333333333333,NO
415,61,0.0,NO
416,128,0.0033333333333333335,NO
417,66,0.19913239538239536,NO
418,56,0.15333333333333335,NO
419,175,0.11333333333333334,NO
420,78,0.0,NO
421,87,0.14080952380952383,NO
422,194,0.0,YES
423,31,0.0,NO
424,121,0.0,NO
425,31,0.0,NO
426,126,0.0,NO
427,54,0.0,NO
428,81,0.07319444444444445,YES
429,83,0.17,NO
430,241,0.2125,NO
431,66,0.19913239538239536,NO
432,88,0.13,NO
433,732,0.28,NO
434,61,0.0,NO
435,57,0.3592857142857142,NO
436,66,0.19913239538239536,NO
437,58,0.005,NO
438,63,0.03,NO
439,116,0.0,NO
440,89,0.33634523809523803,NO
441,112,0.01,NO
442,109,0.06,NO
443,95,0.006666666666666666,NO
444,37,0.01,NO
445,158,0.04,NO
446,347,0.6,NO
447,41,0.049551070007447504,NO
448,41,0.049551070007447504,NO
449,39,0.2341911976911977,NO
450,43,0.0,NO
451,34,0.0,NO
452,54,0.0,NO
453,116,0.0,NO
454,27,0.0,NO
455,35,0.0,NO
456,53,0.0,NO
457,45,0.0,NO
458,89,0.33634523809523803,NO
459,32,0.0,NO
460,191,0.08166666666666667,NO
461,41,0.049551070007447504,NO
462,19,0.0,NO
463,519,0.47,NO
464,193,0.015,NO
465,64,0.01,NO
466,60,0.0,NO
467,96,0.0,NO
468,35,0.0,NO
469,87,0.12,NO
470,106,0.0,NO
471,501,0.12,YES
472,59,0.0,NO
473,45,0.0,NO
474,141,0.06,NO
475,129,0.52,NO
476,78,0.0,NO
477,68,0.0025,NO
478,87,0.14080952380952383,NO
479,34,0.0,NO
480,90,0.026666666666666665,NO
481,58,0.005,NO
482,186,0.7849999999999999,NO
483,81,0.07319444444444445,NO
484,54,0.0,NO
485,42,0.0,NO
486,72,0.0,NO
487,51,0.009166666666666667,NO
488,32,0.0,NO
489,95,0.006666666666666666,NO
490,128,0.0025,NO
491,43,0.0,NO
492,42,0.0,NO
493,193,0.015,NO
494,32,0.0,NO
495,63,0.002,NO
496,82,0.07333333333333335,NO
497,198,0.46124999999999994,NO
498,52,0.3402363747363747,NO
499,45,0.0,NO
500,127,0.0,NO
501,61,0.21,NO
502,53,0.0,NO
503,82,0.07333333333333335,YES
504,65,0.06,NO
505,63,0.002,NO
506,119,0.0,NO
507,129,0.21,NO
508,35,0.0,NO
509,26,0.0,NO
510,268,0.05,YES
511,117,0.0,NO
512,129,0.086,NO
513,70,0.87,NO
514,61,0.0,NO
515,99,0.0,NO
516,123,0.04333333333333333,NO
517,111,0.11666666666666665,NO
518,108,0.06,NO
519,376,0.02,NO
520,537,0.2,YES
521,56,0.15333333333333335,NO
522,185,0.05,YES
523,171,0.0,NO
524,82,0.07333333333333335,NO
525,36,0.0,NO
526,28,0.0,NO
527,518,0.4,YES
528,139,0.89,NO
529,322,0.16,NO
530,1418,0.78,NO
531,78,0.0,NO
532,277,0.23666666666666664,YES
533,33,0.18711111111111117,NO
534,64,0.010968253968253969,NO
535,159,0.09,NO
536,47,0.052222222222222225,NO
537,69,0.0,NO
538,41,0.049551070007447504,NO
539,30,0.0,NO
540,45,0.0,NO
541,23,0.0,NO
542,69,0.0,NO
543,42,0.0,NO
544,32,0.0,NO
545,27,0.0,NO
546,85,0.09,NO
547,222,0.4676666666666667,NO
548,35,0.0,NO
549,518,0.42,YES
550,33,0.18711111111111117,NO
551,211,0.13,NO
552,93,0.8008333333333334,NO
553,46,0.0063803418803418804,NO
554,82,0.07333333333333335,NO
555,57,0.3592857142857142,NO
556,27,0.0,NO
