ID,Size,Predicted %,Actual value
0,209,0.0,NO
1,224,0.03,NO
2,109,0.0,NO
3,60,0.0,NO
4,68,0.0,NO
5,78,0.0,NO
6,34,0.0,NO
7,130,0.0,NO
8,114,0.0,YES
9,211,0.0,NO
10,63,0.0,NO
11,31,0.0,NO
12,65,0.0,NO
13,90,0.020833333333333332,NO
14,166,0.0,NO
15,65,0.0,NO
16,31,0.0,NO
17,80,0.0,NO
18,47,0.0,NO
19,35,0.0,NO
20,106,0.0,NO
21,257,0.0,NO
22,70,0.0,NO
23,77,0.0,YES
24,153,0.0,YES
25,121,0.0,YES
26,52,0.0,NO
27,71,0.0,NO
28,143,0.0,NO
29,143,0.0,NO
30,265,0.0,NO
31,55,0.0,NO
32,61,0.0,NO
33,233,0.0,NO
34,167,0.0,NO
35,123,0.0,NO
36,50,0.0,NO
37,195,0.0,NO
38,309,0.44766666666666666,NO
39,73,0.0,NO
40,219,0.0,NO
41,422,0.09,NO
42,41,0.0,NO
43,44,0.0,NO
44,62,0.0,NO
45,77,0.01,NO
46,61,0.0,NO
47,482,0.0,NO
48,32,0.0,NO
49,102,0.0,NO
50,93,0.11,NO
51,93,0.11,NO
52,94,0.0,NO
53,153,0.0,NO
54,107,0.0,NO
55,65,0.0,NO
56,47,0.0,NO
57,103,0.0,NO
58,61,0.0,NO
59,80,0.0,NO
60,56,0.0,NO
61,203,0.0,NO
62,90,0.020833333333333332,NO
63,337,0.0,YES
64,30,0.0,NO
65,28,0.0,NO
66,43,0.0,NO
67,63,0.0,NO
68,269,0.0,NO
69,373,0.0,NO
70,26,0.0,NO
71,51,0.0,NO
72,85,0.0,NO
73,124,0.05,NO
74,52,0.0,NO
75,27,0.0,NO
76,82,0.0,NO
77,61,0.0,NO
78,79,0.0,NO
79,107,0.0,NO
80,103,0.0,NO
81,69,0.0,NO
82,26,0.0,NO
83,382,0.03,NO
84,182,0.0,NO
85,53,0.0,NO
86,109,0.0,NO
87,66,0.0,NO
88,37,0.0,NO
89,249,0.005357142857142856,NO
90,49,0.0,NO
91,78,0.0,NO
92,57,0.0,NO
93,37,0.0,NO
94,31,0.0,NO
95,42,0.0,NO
96,297,0.0,NO
97,31,0.0,NO
98,32,0.0,NO
99,291,0.14,NO
100,142,0.0,NO
101,28,0.0,NO
102,339,0.01,NO
103,72,0.0,NO
104,44,0.0,NO
105,32,0.0,NO
106,45,0.0,NO
107,62,0.0,NO
108,43,0.0,NO
109,342,0.05,NO
110,162,0.02,NO
111,319,0.0,NO
112,58,0.0,NO
113,83,0.0,NO
114,201,0.09,NO
115,198,0.005,NO
116,334,0.0,YES
117,80,0.0,NO
118,41,0.0,NO
119,116,0.0,NO
120,44,0.0,NO
121,119,0.0,NO
122,87,0.2628861000111,NO
123,95,0.0,NO
124,70,0.0,NO
125,30,0.0,NO
126,83,0.0,NO
127,136,0.09,NO
128,52,0.0,NO
129,65,0.0,NO
130,69,0.0,NO
131,100,0.0,NO
132,53,0.0,NO
133,60,0.0,NO
134,22,0.0,NO
135,73,0.0,NO
136,34,0.0,NO
137,155,0.0,NO
138,91,0.01,NO
139,79,0.0,NO
140,252,0.0028571428571428567,NO
141,94,0.03,NO
142,117,0.0,NO
143,77,0.0,NO
144,65,0.0,NO
145,33,0.0,NO
146,40,0.0,NO
147,672,0.01,YES
148,413,0.07,NO
149,30,0.0,NO
150,27,0.0,NO
151,122,0.0,NO
152,90,0.020833333333333332,NO
153,95,0.0,NO
154,74,0.0,NO
155,94,0.0,NO
156,41,0.0,NO
157,239,0.0,NO
158,117,0.0,NO
159,54,0.0,NO
160,104,0.0033333333333333335,NO
161,35,0.0,NO
162,374,0.0,NO
163,103,0.0,NO
164,209,0.0,YES
165,130,0.0,NO
166,33,0.0,NO
167,92,0.0,NO
168,151,0.0,NO
169,55,0.0,NO
170,75,0.001,NO
171,96,0.0,NO
172,43,0.0,NO
173,26,0.0,NO
174,69,0.0,NO
175,254,0.0,NO
176,137,0.0,NO
177,41,0.0,NO
178,78,0.0,NO
179,25,0.0,NO
180,220,0.0,NO
181,100,0.0,NO
182,38,0.0,NO
183,256,0.0,NO
184,66,0.0,NO
185,76,0.0,NO
186,154,0.0,NO
187,42,0.0,NO
188,125,0.0,NO
189,78,0.0,NO
190,99,0.0,NO
191,676,0.14,YES
192,163,0.0,NO
193,226,0.0,NO
194,132,0.14338852813852815,NO
195,50,0.0,NO
196,76,0.0,NO
197,219,0.0,NO
198,33,0.0,NO
199,66,0.0,NO
200,542,0.03,YES
201,32,0.0,NO
202,116,0.0,NO
203,78,0.0,NO
204,51,0.0,NO
205,66,0.0,NO
206,66,0.0,NO
207,290,0.22,NO
208,37,0.0,NO
209,87,0.2628861000111,NO
210,101,0.0,NO
211,28,0.0,NO
212,91,0.01,NO
213,80,0.0,NO
214,34,0.0,NO
215,54,0.0,NO
216,318,0.26,YES
217,33,0.0,NO
218,112,0.0,NO
219,435,0.51,YES
220,100,0.0,NO
