ID,Size,Predicted %,Actual value
0,58,0.12,NO
1,126,0.02,NO
2,66,0.1,NO
3,64,0.13,NO
4,129,0.27,YES
5,78,0.21,NO
6,53,0.0,NO
7,226,0.34,YES
8,84,0.15366666666666665,NO
9,26,0.0,NO
10,67,0.32,NO
11,75,0.27,NO
12,41,0.0807857142857143,NO
13,109,0.09,NO
14,41,0.0807857142857143,NO
15,40,0.03,NO
16,73,0.16,NO
17,37,0.02,NO
18,646,0.13,NO
19,208,0.33,NO
20,187,0.04,NO
21,147,0.03,NO
22,365,0.13,NO
23,221,0.34,NO
24,84,0.15366666666666665,NO
25,176,0.07,NO
26,37,0.02,NO
27,89,0.32,NO
28,135,0.1,NO
29,37,0.02,NO
30,215,0.33,YES
31,489,0.13,NO
32,54,0.04,NO
33,86,0.02,NO
34,42,0.0,NO
35,61,0.02,NO
36,127,0.03,NO
37,121,0.0,YES
38,54,0.04,NO
39,42,0.0,NO
40,39,0.18,NO
41,75,0.27,NO
42,264,0.35,NO
43,301,0.33,NO
44,426,0.13,NO
45,36,0.06,NO
46,42,0.0,NO
47,125,0.03,NO
48,300,0.21,NO
49,43,0.01,NO
50,185,0.03,NO
51,232,0.2,NO
52,75,0.27,NO
53,203,0.33,NO
54,90,0.3,NO
55,66,0.28,NO
56,75,0.27,NO
57,204,0.33,NO
58,74,0.33,NO
59,43,0.01,NO
60,180,0.01,YES
61,99,0.2165,NO
62,120,0.0,NO
63,73,0.16,NO
64,73,0.16,NO
65,103,0.02,NO
66,287,0.33,NO
67,130,0.26,YES
68,115,0.11,NO
69,152,0.0,NO
70,144,0.04,NO
71,101,0.33,NO
72,102,0.01,NO
73,40,0.03,NO
74,225,0.34,NO
75,103,0.02,NO
76,32,0.046,NO
77,250,0.2,NO
78,84,0.15366666666666665,NO
79,170,0.0,NO
80,165,0.0,NO
81,102,0.01,NO
82,189,0.08,NO
83,72,0.1,NO
84,89,0.32,YES
85,143,0.04,NO
86,319,0.13,NO
87,19,0.08,NO
88,32,0.046,NO
89,278,0.35,NO
90,69,0.11,NO
91,75,0.27,NO
92,173,0.0,YES
93,28,0.0,NO
94,195,0.16,NO
95,86,0.17,NO
96,44,0.04,NO
97,100,0.35,YES
98,48,0.0,NO
99,28,0.0,NO
100,269,0.33,NO
101,31,0.15254761904761904,NO
102,32,0.046,NO
103,215,0.33,YES
104,441,0.12,YES
105,149,0.02,NO
106,102,0.2,NO
107,156,0.0,NO
108,34,0.02,NO
109,110,0.07,NO
110,28,0.0,NO
111,48,0.0,YES
112,68,0.34,NO
113,66,0.28,NO
114,164,0.0,YES
115,65,0.04,NO
116,166,0.0,NO
117,510,0.12,NO
118,27,0.0,NO
119,38,0.17,NO
120,29,0.04,NO
121,110,0.07,NO
122,50,0.04,NO
123,159,0.01,YES
124,39,0.18,NO
125,19,0.07,NO
126,193,0.27,NO
127,47,0.0,NO
128,52,0.0,NO
129,35,0.0,NO
130,56,0.04,NO
131,67,0.32,NO
132,346,0.13,YES
133,382,0.11,YES
134,52,0.0,NO
135,289,0.33,YES
136,45,0.0,NO
137,52,0.0,NO
