Dataset, #TrainingReleases, Classifier, Feature, TruePositive, FalsePositive, TrueNegative, FalseNegative, Cost, Precision, Recall, AUC, Kappa, FMeasure
SYNCOPE,2,NAIVE_BAYES,NONE,0,0,481,10,0.0,0.0,0.0,0.6437629937629937,0.0,0.0
SYNCOPE,2,NAIVE_BAYES,BESTFIRST,0,0,481,10,0.0,0.0,0.0,0.518918918918919,0.0,0.0
SYNCOPE,2,NAIVE_BAYES,GREEDYSTEPWISE,0,0,481,10,0.0,0.0,0.0,0.518918918918919,0.0,0.0
SYNCOPE,2,NAIVE_BAYES,OVERSAMPLING,0,0,481,10,0.0,0.0,0.0,0.6470893970893971,0.0,0.0
SYNCOPE,2,NAIVE_BAYES,UNDERSAMPLING,1,56,425,9,0.0,0.017543859649122806,0.1,0.6296257796257796,-0.004975281040400507,0.029850746268656716
SYNCOPE,2,NAIVE_BAYES,SMOTE,0,0,481,10,0.0,0.0,0.0,0.6452182952182952,0.0,0.0
SYNCOPE,2,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,0,0,481,10,100.0,0.0,0.0,0.5,0.0,0.0
SYNCOPE,3,NAIVE_BAYES,NONE,0,0,482,9,0.0,0.0,0.0,0.5771092669432918,0.0,0.0
SYNCOPE,3,NAIVE_BAYES,BESTFIRST,0,0,482,9,0.0,0.0,0.0,0.495850622406639,0.0,0.0
SYNCOPE,3,NAIVE_BAYES,GREEDYSTEPWISE,0,0,482,9,0.0,0.0,0.0,0.495850622406639,0.0,0.0
SYNCOPE,3,NAIVE_BAYES,OVERSAMPLING,0,0,482,9,0.0,0.0,0.0,0.5782618718303366,0.0,0.0
SYNCOPE,3,NAIVE_BAYES,UNDERSAMPLING,0,21,461,9,0.0,0.0,0.0,0.5484094052558783,-0.026337792642139497,0.0
SYNCOPE,3,NAIVE_BAYES,SMOTE,0,0,482,9,0.0,0.0,0.0,0.5772245274319963,0.0,0.0
SYNCOPE,3,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,0,0,482,9,90.0,0.0,0.0,0.5,0.0,0.0
SYNCOPE,4,NAIVE_BAYES,NONE,0,31,475,14,0.0,0.0,0.0,0.48743647656691136,-0.03852298952600788,0.0
SYNCOPE,4,NAIVE_BAYES,BESTFIRST,0,40,466,14,0.0,0.0,0.0,0.5275268210050819,-0.04154302670623122,0.0
SYNCOPE,4,NAIVE_BAYES,GREEDYSTEPWISE,0,40,466,14,0.0,0.0,0.0,0.5275268210050819,-0.04154302670623122,0.0
SYNCOPE,4,NAIVE_BAYES,OVERSAMPLING,0,37,469,14,0.0,0.0,0.0,0.48870694522868435,-0.040652958719195914,0.0
SYNCOPE,4,NAIVE_BAYES,UNDERSAMPLING,1,64,442,13,0.0,0.015384615384615385,0.07142857142857142,0.528020892151327,-0.019867549668874097,0.02531645569620253
SYNCOPE,4,NAIVE_BAYES,SMOTE,1,69,437,13,0.0,0.014285714285714285,0.07142857142857142,0.48680124223602483,-0.022051773729625718,0.023809523809523805
SYNCOPE,4,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,0,37,469,14,177.0,0.0,0.0,0.4634387351778656,-0.040652958719195914,0.0
SYNCOPE,5,NAIVE_BAYES,NONE,20,31,429,106,0.0,0.39215686274509803,0.15873015873015872,0.6785541752933058,0.11651810278419716,0.22598870056497172
SYNCOPE,5,NAIVE_BAYES,BESTFIRST,5,4,456,121,0.0,0.5555555555555556,0.03968253968253968,0.741123188405797,0.04674526951406804,0.07407407407407407
SYNCOPE,5,NAIVE_BAYES,GREEDYSTEPWISE,5,4,456,121,0.0,0.5555555555555556,0.03968253968253968,0.741123188405797,0.04674526951406804,0.07407407407407407
SYNCOPE,5,NAIVE_BAYES,OVERSAMPLING,25,36,424,101,0.0,0.4098360655737705,0.1984126984126984,0.6781832298136646,0.14783993206665946,0.26737967914438504
SYNCOPE,5,NAIVE_BAYES,UNDERSAMPLING,70,133,327,56,0.0,0.3448275862068966,0.5555555555555556,0.6929434092477571,0.21804882870416126,0.4255319148936171
SYNCOPE,5,NAIVE_BAYES,SMOTE,44,69,391,82,0.0,0.3893805309734513,0.3492063492063492,0.6839975845410629,0.20695836096721593,0.36820083682008364
SYNCOPE,5,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,29,42,418,97,1012.0,0.4084507042253521,0.23015873015873015,0.5694271911663216,0.1650025627883137,0.29441624365482233
SYNCOPE,6,NAIVE_BAYES,NONE,10,10,533,71,0.0,0.5,0.12345679012345678,0.7547575199508901,0.15455640305098342,0.198019801980198
SYNCOPE,6,NAIVE_BAYES,BESTFIRST,5,5,538,76,0.0,0.5,0.06172839506172839,0.7450946956778756,0.0837502719164672,0.10989010989010987
SYNCOPE,6,NAIVE_BAYES,GREEDYSTEPWISE,5,5,538,76,0.0,0.5,0.06172839506172839,0.7450946956778756,0.0837502719164672,0.10989010989010987
SYNCOPE,6,NAIVE_BAYES,OVERSAMPLING,9,6,537,72,0.0,0.6,0.1111111111111111,0.7536207170952414,0.1531475101785153,0.18750000000000003
SYNCOPE,6,NAIVE_BAYES,UNDERSAMPLING,38,88,455,43,0.0,0.30158730158730157,0.4691358024691358,0.7298501693836255,0.248372503586009,0.3671497584541063
SYNCOPE,6,NAIVE_BAYES,SMOTE,17,26,517,64,0.0,0.3953488372093023,0.20987654320987653,0.7213809881090422,0.20238602471239847,0.27419354838709675
SYNCOPE,6,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,14,17,526,67,687.0,0.45161290322580644,0.1728395061728395,0.5707659777641362,0.1919341411525302,0.25
SYNCOPE,7,NAIVE_BAYES,NONE,0,1,574,63,0.0,0.0,0.0,0.7254382332643202,-0.0030953667763957775,0.0
SYNCOPE,7,NAIVE_BAYES,BESTFIRST,0,0,575,63,0.0,0.0,0.0,0.4148792270531401,0.0,0.0
SYNCOPE,7,NAIVE_BAYES,GREEDYSTEPWISE,0,0,575,63,0.0,0.0,0.0,0.47391304347826085,0.0,0.0
SYNCOPE,7,NAIVE_BAYES,OVERSAMPLING,1,1,574,62,0.0,0.5,0.015873015873015872,0.7258523119392685,0.024843514969187814,0.03076923076923077
SYNCOPE,7,NAIVE_BAYES,UNDERSAMPLING,2,1,574,61,0.0,0.6666666666666666,0.031746031746031744,0.7280055210489993,0.052096812844476946,0.06060606060606061
SYNCOPE,7,NAIVE_BAYES,SMOTE,0,1,574,63,0.0,0.0,0.0,0.7263906142167011,-0.0030953667763957775,0.0
SYNCOPE,7,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,2,1,574,61,611.0,0.6666666666666666,0.031746031746031744,0.5150034506556246,0.052096812844476946,0.06060606060606061
SYNCOPE,8,NAIVE_BAYES,NONE,33,83,484,45,0.0,0.28448275862068967,0.4230769230769231,0.7525776692443359,0.22865631481585305,0.3402061855670103
SYNCOPE,8,NAIVE_BAYES,BESTFIRST,0,0,567,78,0.0,0.0,0.0,0.4991181657848324,0.0,0.0
SYNCOPE,8,NAIVE_BAYES,GREEDYSTEPWISE,0,0,567,78,0.0,0.0,0.0,0.4991181657848324,0.0,0.0
SYNCOPE,8,NAIVE_BAYES,OVERSAMPLING,36,104,463,42,0.0,0.2571428571428571,0.46153846153846156,0.7532446976891422,0.20712301086132848,0.33027522935779813
SYNCOPE,8,NAIVE_BAYES,UNDERSAMPLING,53,168,399,25,0.0,0.2398190045248869,0.6794871794871795,0.7519219463663908,0.21400564468774286,0.35451505016722407
SYNCOPE,8,NAIVE_BAYES,SMOTE,38,115,452,40,0.0,0.24836601307189543,0.48717948717948717,0.7577782300004522,0.20101177203960768,0.329004329004329
SYNCOPE,8,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,37,118,449,41,528.0,0.23870967741935484,0.47435897435897434,0.6331230497897165,0.18674913762340906,0.3175965665236052
SYNCOPE,9,NAIVE_BAYES,NONE,6,2,570,67,0.0,0.75,0.0821917808219178,0.7417017913593256,0.1286684809209626,0.14814814814814814
SYNCOPE,9,NAIVE_BAYES,BESTFIRST,0,0,572,73,0.0,0.0,0.0,0.5444487019829486,0.0,0.0
SYNCOPE,9,NAIVE_BAYES,GREEDYSTEPWISE,0,0,572,73,0.0,0.0,0.0,0.5444487019829486,0.0,0.0
SYNCOPE,9,NAIVE_BAYES,OVERSAMPLING,6,2,570,67,0.0,0.75,0.0821917808219178,0.733619120605422,0.1286684809209626,0.14814814814814814
SYNCOPE,9,NAIVE_BAYES,UNDERSAMPLING,9,5,567,64,0.0,0.6428571428571429,0.1232876712328767,0.7495808985535013,0.17691553697915685,0.20689655172413793
SYNCOPE,9,NAIVE_BAYES,SMOTE,10,7,565,63,0.0,0.5882352941176471,0.136986301369863,0.747736852188907,0.18748200403109735,0.22222222222222224
SYNCOPE,9,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,10,3,569,63,633.0,0.7692307692307693,0.136986301369863,0.5658707730625538,0.20536847606958825,0.23255813953488372
SYNCOPE,10,NAIVE_BAYES,NONE,2,2,571,71,0.0,0.5,0.0273972602739726,0.7299242152573573,0.040685137719191564,0.051948051948051945
SYNCOPE,10,NAIVE_BAYES,BESTFIRST,3,5,568,70,0.0,0.375,0.0410958904109589,0.7303903990054746,0.052934047460807265,0.07407407407407407
SYNCOPE,10,NAIVE_BAYES,GREEDYSTEPWISE,3,5,568,70,0.0,0.375,0.0410958904109589,0.7303903990054746,0.052934047460807265,0.07407407407407407
SYNCOPE,10,NAIVE_BAYES,OVERSAMPLING,2,1,572,71,0.0,0.6666666666666666,0.0273972602739726,0.7256209806593512,0.04410374450244586,0.05263157894736842
